group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
transform point2,glam,1,1,elements,1113271.0,ns,254611
transform point2,glam,1,1,elements,2113680.0,ns,509222
transform point2,glam,1,1,elements,3092533.0,ns,763833
transform point2,glam,1,1,elements,4230897.0,ns,1018444
transform point2,glam,1,1,elements,5068124.0,ns,1273055
transform point2,glam,1,1,elements,6055933.0,ns,1527666
transform point2,glam,1,1,elements,7044735.0,ns,1782277
transform point2,glam,1,1,elements,8025839.0,ns,2036888
transform point2,glam,1,1,elements,9039347.0,ns,2291499
transform point2,glam,1,1,elements,10028051.0,ns,2546110
transform point2,glam,1,1,elements,11017412.0,ns,2800721
transform point2,glam,1,1,elements,12005642.0,ns,3055332
transform point2,glam,1,1,elements,12978273.0,ns,3309943
transform point2,glam,1,1,elements,13960095.0,ns,3564554
transform point2,glam,1,1,elements,14972071.0,ns,3819165
transform point2,glam,1,1,elements,15939331.0,ns,4073776
transform point2,glam,1,1,elements,16950220.0,ns,4328387
transform point2,glam,1,1,elements,17924060.0,ns,4582998
transform point2,glam,1,1,elements,18934390.0,ns,4837609
transform point2,glam,1,1,elements,19895052.0,ns,5092220
transform point2,glam,1,1,elements,20883091.0,ns,5346831
transform point2,glam,1,1,elements,21870234.0,ns,5601442
transform point2,glam,1,1,elements,22858378.0,ns,5856053
transform point2,glam,1,1,elements,23868923.0,ns,6110664
transform point2,glam,1,1,elements,24994241.0,ns,6365275
transform point2,glam,1,1,elements,26804136.0,ns,6619886
transform point2,glam,1,1,elements,26852123.0,ns,6874497
transform point2,glam,1,1,elements,27822809.0,ns,7129108
transform point2,glam,1,1,elements,28809590.0,ns,7383719
transform point2,glam,1,1,elements,29871354.0,ns,7638330
transform point2,glam,1,1,elements,30784972.0,ns,7892941
transform point2,glam,1,1,elements,31811325.0,ns,8147552
transform point2,glam,1,1,elements,32740827.0,ns,8402163
transform point2,glam,1,1,elements,33732009.0,ns,8656774
transform point2,glam,1,1,elements,34726319.0,ns,8911385
transform point2,glam,1,1,elements,35710971.0,ns,9165996
transform point2,glam,1,1,elements,36716290.0,ns,9420607
transform point2,glam,1,1,elements,37799006.0,ns,9675218
transform point2,glam,1,1,elements,38673043.0,ns,9929829
transform point2,glam,1,1,elements,39680226.0,ns,10184440
transform point2,glam,1,1,elements,40801445.0,ns,10439051
transform point2,glam,1,1,elements,41683067.0,ns,10693662
transform point2,glam,1,1,elements,42627420.0,ns,10948273
transform point2,glam,1,1,elements,43677496.0,ns,11202884
transform point2,glam,1,1,elements,44604015.0,ns,11457495
transform point2,glam,1,1,elements,45672392.0,ns,11712106
transform point2,glam,1,1,elements,46817360.0,ns,11966717
transform point2,glam,1,1,elements,47607194.0,ns,12221328
transform point2,glam,1,1,elements,48559774.0,ns,12475939
transform point2,glam,1,1,elements,49655861.0,ns,12730550
transform point2,glam,1,1,elements,50583318.0,ns,12985161
transform point2,glam,1,1,elements,51899803.0,ns,13239772
transform point2,glam,1,1,elements,52543725.0,ns,13494383
transform point2,glam,1,1,elements,53544209.0,ns,13748994
transform point2,glam,1,1,elements,54523999.0,ns,14003605
transform point2,glam,1,1,elements,55559219.0,ns,14258216
transform point2,glam,1,1,elements,56463982.0,ns,14512827
transform point2,glam,1,1,elements,57471846.0,ns,14767438
transform point2,glam,1,1,elements,58487336.0,ns,15022049
transform point2,glam,1,1,elements,59429410.0,ns,15276660
transform point2,glam,1,1,elements,60419087.0,ns,15531271
transform point2,glam,1,1,elements,61402484.0,ns,15785882
transform point2,glam,1,1,elements,62531284.0,ns,16040493
transform point2,glam,1,1,elements,63420762.0,ns,16295104
transform point2,glam,1,1,elements,64398296.0,ns,16549715
transform point2,glam,1,1,elements,65382992.0,ns,16804326
