group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
transform point2,pathfinder,100,100,elements,1122388.0,ns,3095
transform point2,pathfinder,100,100,elements,2120408.0,ns,6190
transform point2,pathfinder,100,100,elements,3115968.0,ns,9285
transform point2,pathfinder,100,100,elements,4121311.0,ns,12380
transform point2,pathfinder,100,100,elements,5109417.0,ns,15475
transform point2,pathfinder,100,100,elements,6086655.0,ns,18570
transform point2,pathfinder,100,100,elements,7083012.0,ns,21665
transform point2,pathfinder,100,100,elements,8163082.0,ns,24760
transform point2,pathfinder,100,100,elements,9096723.0,ns,27855
transform point2,pathfinder,100,100,elements,10099219.0,ns,30950
transform point2,pathfinder,100,100,elements,11055919.0,ns,34045
transform point2,pathfinder,100,100,elements,12819942.0,ns,37140
transform point2,pathfinder,100,100,elements,13030293.0,ns,40235
transform point2,pathfinder,100,100,elements,14001752.0,ns,43330
transform point2,pathfinder,100,100,elements,15002753.0,ns,46425
transform point2,pathfinder,100,100,elements,16009082.0,ns,49520
transform point2,pathfinder,100,100,elements,16986764.0,ns,52615
transform point2,pathfinder,100,100,elements,18028304.0,ns,55710
transform point2,pathfinder,100,100,elements,19034529.0,ns,58805
transform point2,pathfinder,100,100,elements,19988719.0,ns,61900
transform point2,pathfinder,100,100,elements,20984579.0,ns,64995
transform point2,pathfinder,100,100,elements,22851802.0,ns,68090
transform point2,pathfinder,100,100,elements,22920052.0,ns,71185
transform point2,pathfinder,100,100,elements,24023613.0,ns,74280
transform point2,pathfinder,100,100,elements,24912231.0,ns,77375
transform point2,pathfinder,100,100,elements,25917225.0,ns,80470
transform point2,pathfinder,100,100,elements,26844898.0,ns,83565
transform point2,pathfinder,100,100,elements,27937487.0,ns,86660
transform point2,pathfinder,100,100,elements,28847005.0,ns,89755
transform point2,pathfinder,100,100,elements,29854601.0,ns,92850
transform point2,pathfinder,100,100,elements,32110749.0,ns,95945
transform point2,pathfinder,100,100,elements,31731636.0,ns,99040
transform point2,pathfinder,100,100,elements,32770775.0,ns,102135
transform point2,pathfinder,100,100,elements,33840800.0,ns,105230
transform point2,pathfinder,100,100,elements,34905900.0,ns,108325
transform point2,pathfinder,100,100,elements,35820702.0,ns,111420
transform point2,pathfinder,100,100,elements,36841014.0,ns,114515
transform point2,pathfinder,100,100,elements,37828587.0,ns,117610
transform point2,pathfinder,100,100,elements,39140196.0,ns,120705
transform point2,pathfinder,100,100,elements,39757364.0,ns,123800
transform point2,pathfinder,100,100,elements,40696855.0,ns,126895
transform point2,pathfinder,100,100,elements,41674939.0,ns,129990
transform point2,pathfinder,100,100,elements,42657309.0,ns,133085
transform point2,pathfinder,100,100,elements,43644533.0,ns,136180
transform point2,pathfinder,100,100,elements,44906535.0,ns,139275
transform point2,pathfinder,100,100,elements,46232277.0,ns,142370
transform point2,pathfinder,100,100,elements,46749172.0,ns,145465
transform point2,pathfinder,100,100,elements,47598591.0,ns,148560
transform point2,pathfinder,100,100,elements,48873388.0,ns,151655
transform point2,pathfinder,100,100,elements,49672903.0,ns,154750
transform point2,pathfinder,100,100,elements,50665580.0,ns,157845
transform point2,pathfinder,100,100,elements,51577355.0,ns,160940
transform point2,pathfinder,100,100,elements,52565007.0,ns,164035
transform point2,pathfinder,100,100,elements,53486472.0,ns,167130
transform point2,pathfinder,100,100,elements,54556318.0,ns,170225
transform point2,pathfinder,100,100,elements,55621136.0,ns,173320
transform point2,pathfinder,100,100,elements,56695544.0,ns,176415
transform point2,pathfinder,100,100,elements,59137419.0,ns,179510
transform point2,pathfinder,100,100,elements,58554539.0,ns,182605
transform point2,pathfinder,100,100,elements,59621583.0,ns,185700
transform point2,pathfinder,100,100,elements,60573406.0,ns,188795
transform point2,pathfinder,100,100,elements,61517605.0,ns,191890
transform point2,pathfinder,100,100,elements,62386533.0,ns,194985
transform point2,pathfinder,100,100,elements,63506451.0,ns,198080
transform point2,pathfinder,100,100,elements,64429668.0,ns,201175
transform point2,pathfinder,100,100,elements,65468141.0,ns,204270
transform point2,pathfinder,100,100,elements,66364358.0,ns,207365
transform point2,pathfinder,100,100,elements,67402219.0,ns,210460
transform point2,pathfinder,100,100,elements,68501195.0,ns,213555
transform point2,pathfinder,100,100,elements,69386342.0,ns,216650
transform point2,pathfinder,100,100,elements,70337322.0,ns,219745
