group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
transform point3,cgmath,100,100,elements,1095178.0,ns,1343
transform point3,cgmath,100,100,elements,2123553.0,ns,2686
transform point3,cgmath,100,100,elements,3089482.0,ns,4029
transform point3,cgmath,100,100,elements,4068195.0,ns,5372
transform point3,cgmath,100,100,elements,5083949.0,ns,6715
transform point3,cgmath,100,100,elements,6034328.0,ns,8058
transform point3,cgmath,100,100,elements,7083236.0,ns,9401
transform point3,cgmath,100,100,elements,8058844.0,ns,10744
transform point3,cgmath,100,100,elements,9051958.0,ns,12087
transform point3,cgmath,100,100,elements,10035520.0,ns,13430
transform point3,cgmath,100,100,elements,10889326.0,ns,14773
transform point3,cgmath,100,100,elements,11906391.0,ns,16116
transform point3,cgmath,100,100,elements,13026861.0,ns,17459
transform point3,cgmath,100,100,elements,13849016.0,ns,18802
transform point3,cgmath,100,100,elements,14938629.0,ns,20145
transform point3,cgmath,100,100,elements,15869577.0,ns,21488
transform point3,cgmath,100,100,elements,16823878.0,ns,22831
transform point3,cgmath,100,100,elements,17773937.0,ns,24174
transform point3,cgmath,100,100,elements,18995802.0,ns,25517
transform point3,cgmath,100,100,elements,19812635.0,ns,26860
transform point3,cgmath,100,100,elements,21016640.0,ns,28203
transform point3,cgmath,100,100,elements,21823695.0,ns,29546
transform point3,cgmath,100,100,elements,22710037.0,ns,30889
transform point3,cgmath,100,100,elements,23816503.0,ns,32232
transform point3,cgmath,100,100,elements,24887028.0,ns,33575
transform point3,cgmath,100,100,elements,25889299.0,ns,34918
transform point3,cgmath,100,100,elements,26861154.0,ns,36261
transform point3,cgmath,100,100,elements,27774092.0,ns,37604
transform point3,cgmath,100,100,elements,29469192.0,ns,38947
transform point3,cgmath,100,100,elements,29697346.0,ns,40290
transform point3,cgmath,100,100,elements,30562737.0,ns,41633
transform point3,cgmath,100,100,elements,31533397.0,ns,42976
transform point3,cgmath,100,100,elements,32805797.0,ns,44319
transform point3,cgmath,100,100,elements,33642025.0,ns,45662
transform point3,cgmath,100,100,elements,34914692.0,ns,47005
transform point3,cgmath,100,100,elements,35627507.0,ns,48348
transform point3,cgmath,100,100,elements,36589797.0,ns,49691
transform point3,cgmath,100,100,elements,37431948.0,ns,51034
transform point3,cgmath,100,100,elements,38417923.0,ns,52377
transform point3,cgmath,100,100,elements,39747027.0,ns,53720
transform point3,cgmath,100,100,elements,40595033.0,ns,55063
transform point3,cgmath,100,100,elements,41800992.0,ns,56406
transform point3,cgmath,100,100,elements,42473357.0,ns,57749
transform point3,cgmath,100,100,elements,43417569.0,ns,59092
transform point3,cgmath,100,100,elements,44534581.0,ns,60435
transform point3,cgmath,100,100,elements,45559946.0,ns,61778
transform point3,cgmath,100,100,elements,46524116.0,ns,63121
transform point3,cgmath,100,100,elements,47512450.0,ns,64464
transform point3,cgmath,100,100,elements,48299416.0,ns,65807
transform point3,cgmath,100,100,elements,49537760.0,ns,67150
transform point3,cgmath,100,100,elements,50361673.0,ns,68493
transform point3,cgmath,100,100,elements,51648868.0,ns,69836
transform point3,cgmath,100,100,elements,52458189.0,ns,71179
transform point3,cgmath,100,100,elements,53714267.0,ns,72522
transform point3,cgmath,100,100,elements,54622752.0,ns,73865
transform point3,cgmath,100,100,elements,55488443.0,ns,75208
transform point3,cgmath,100,100,elements,56241293.0,ns,76551
transform point3,cgmath,100,100,elements,57326249.0,ns,77894
transform point3,cgmath,100,100,elements,58231587.0,ns,79237
transform point3,cgmath,100,100,elements,59471956.0,ns,80580
transform point3,cgmath,100,100,elements,60292976.0,ns,81923
transform point3,cgmath,100,100,elements,61369979.0,ns,83266
transform point3,cgmath,100,100,elements,62127654.0,ns,84609
transform point3,cgmath,100,100,elements,63320028.0,ns,85952
transform point3,cgmath,100,100,elements,64202654.0,ns,87295
transform point3,cgmath,100,100,elements,65107358.0,ns,88638
transform point3,cgmath,100,100,elements,66462088.0,ns,89981
transform point3,cgmath,100,100,elements,67035243.0,ns,91324
transform point3,cgmath,100,100,elements,68254699.0,ns,92667
transform point3,cgmath,100,100,elements,68901970.0,ns,94010
transform point3,cgmath,100,100,elements,70285770.0,ns,95353
transform point3,cgmath,100,100,elements,70939833.0,ns,96696
transform point3,cgmath,100,100,elements,72017181.0,ns,98039
transform point3,cgmath,100,100,elements,74739631.0,ns,99382
transform point3,cgmath,100,100,elements,73862665.0,ns,100725
transform point3,cgmath,100,100,elements,74882396.0,ns,102068
transform point3,cgmath,100,100,elements,76152303.0,ns,103411
transform point3,cgmath,100,100,elements,76947552.0,ns,104754
transform point3,cgmath,100,100,elements,78779566.0,ns,106097
transform point3,cgmath,100,100,elements,80888534.0,ns,107440
transform point3,cgmath,100,100,elements,80557919.0,ns,108783
transform point3,cgmath,100,100,elements,80656557.0,ns,110126
transform point3,cgmath,100,100,elements,82982982.0,ns,111469
transform point3,cgmath,100,100,elements,85439844.0,ns,112812
transform point3,cgmath,100,100,elements,84461523.0,ns,114155
transform point3,cgmath,100,100,elements,86981659.0,ns,115498
transform point3,cgmath,100,100,elements,88722633.0,ns,116841
transform point3,cgmath,100,100,elements,90717782.0,ns,118184
transform point3,cgmath,100,100,elements,88162086.0,ns,119527
transform point3,cgmath,100,100,elements,91449478.0,ns,120870
transform point3,cgmath,100,100,elements,90260696.0,ns,122213
transform point3,cgmath,100,100,elements,90502768.0,ns,123556
transform point3,cgmath,100,100,elements,92130380.0,ns,124899
transform point3,cgmath,100,100,elements,92639254.0,ns,126242
transform point3,cgmath,100,100,elements,96808287.0,ns,127585
transform point3,cgmath,100,100,elements,94856227.0,ns,128928
transform point3,cgmath,100,100,elements,97813375.0,ns,130271
transform point3,cgmath,100,100,elements,100801486.0,ns,131614
transform point3,cgmath,100,100,elements,98964010.0,ns,132957
transform point3,cgmath,100,100,elements,98929803.0,ns,134300
