group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
transform point3,nalgebra,1,1,elements,1072169.0,ns,143299
transform point3,nalgebra,1,1,elements,2019941.0,ns,286598
transform point3,nalgebra,1,1,elements,2968920.0,ns,429897
transform point3,nalgebra,1,1,elements,4349856.0,ns,573196
transform point3,nalgebra,1,1,elements,5255618.0,ns,716495
transform point3,nalgebra,1,1,elements,6077747.0,ns,859794
transform point3,nalgebra,1,1,elements,7347227.0,ns,1003093
transform point3,nalgebra,1,1,elements,7825628.0,ns,1146392
transform point3,nalgebra,1,1,elements,8754117.0,ns,1289691
transform point3,nalgebra,1,1,elements,9713104.0,ns,1432990
transform point3,nalgebra,1,1,elements,10655109.0,ns,1576289
transform point3,nalgebra,1,1,elements,11560917.0,ns,1719588
transform point3,nalgebra,1,1,elements,12460743.0,ns,1862887
transform point3,nalgebra,1,1,elements,13395446.0,ns,2006186
transform point3,nalgebra,1,1,elements,14374779.0,ns,2149485
transform point3,nalgebra,1,1,elements,15301939.0,ns,2292784
transform point3,nalgebra,1,1,elements,16250431.0,ns,2436083
transform point3,nalgebra,1,1,elements,17176151.0,ns,2579382
transform point3,nalgebra,1,1,elements,18143138.0,ns,2722681
transform point3,nalgebra,1,1,elements,19159035.0,ns,2865980
transform point3,nalgebra,1,1,elements,20031332.0,ns,3009279
transform point3,nalgebra,1,1,elements,21005471.0,ns,3152578
transform point3,nalgebra,1,1,elements,22123636.0,ns,3295877
transform point3,nalgebra,1,1,elements,22886344.0,ns,3439176
transform point3,nalgebra,1,1,elements,23811587.0,ns,3582475
transform point3,nalgebra,1,1,elements,24836306.0,ns,3725774
transform point3,nalgebra,1,1,elements,25858447.0,ns,3869073
transform point3,nalgebra,1,1,elements,26799380.0,ns,4012372
transform point3,nalgebra,1,1,elements,27637377.0,ns,4155671
transform point3,nalgebra,1,1,elements,28563719.0,ns,4298970
transform point3,nalgebra,1,1,elements,29490306.0,ns,4442269
transform point3,nalgebra,1,1,elements,30841241.0,ns,4585568
transform point3,nalgebra,1,1,elements,31446635.0,ns,4728867
transform point3,nalgebra,1,1,elements,32350078.0,ns,4872166
transform point3,nalgebra,1,1,elements,34037065.0,ns,5015465
transform point3,nalgebra,1,1,elements,34322103.0,ns,5158764
transform point3,nalgebra,1,1,elements,35196190.0,ns,5302063
transform point3,nalgebra,1,1,elements,36184125.0,ns,5445362
transform point3,nalgebra,1,1,elements,37092590.0,ns,5588661
transform point3,nalgebra,1,1,elements,38012798.0,ns,5731960
transform point3,nalgebra,1,1,elements,38963396.0,ns,5875259
transform point3,nalgebra,1,1,elements,39909045.0,ns,6018558
transform point3,nalgebra,1,1,elements,40999562.0,ns,6161857
transform point3,nalgebra,1,1,elements,41828790.0,ns,6305156
transform point3,nalgebra,1,1,elements,42774432.0,ns,6448455
transform point3,nalgebra,1,1,elements,43740003.0,ns,6591754
transform point3,nalgebra,1,1,elements,44657748.0,ns,6735053
transform point3,nalgebra,1,1,elements,45637311.0,ns,6878352
transform point3,nalgebra,1,1,elements,47033189.0,ns,7021651
transform point3,nalgebra,1,1,elements,47888931.0,ns,7164950
transform point3,nalgebra,1,1,elements,48592884.0,ns,7308249
transform point3,nalgebra,1,1,elements,49687677.0,ns,7451548
transform point3,nalgebra,1,1,elements,50360818.0,ns,7594847
transform point3,nalgebra,1,1,elements,51303746.0,ns,7738146
transform point3,nalgebra,1,1,elements,52284924.0,ns,7881445
transform point3,nalgebra,1,1,elements,53251626.0,ns,8024744
transform point3,nalgebra,1,1,elements,54176964.0,ns,8168043
transform point3,nalgebra,1,1,elements,55185333.0,ns,8311342
transform point3,nalgebra,1,1,elements,56126298.0,ns,8454641
transform point3,nalgebra,1,1,elements,57013778.0,ns,8597940
transform point3,nalgebra,1,1,elements,58471038.0,ns,8741239
transform point3,nalgebra,1,1,elements,58892201.0,ns,8884538
transform point3,nalgebra,1,1,elements,59919476.0,ns,9027837
transform point3,nalgebra,1,1,elements,61042912.0,ns,9171136
transform point3,nalgebra,1,1,elements,61737092.0,ns,9314435
transform point3,nalgebra,1,1,elements,62931742.0,ns,9457734
transform point3,nalgebra,1,1,elements,63655263.0,ns,9601033
transform point3,nalgebra,1,1,elements,64543529.0,ns,9744332
transform point3,nalgebra,1,1,elements,65486559.0,ns,9887631
transform point3,nalgebra,1,1,elements,67040471.0,ns,10030930
transform point3,nalgebra,1,1,elements,67574498.0,ns,10174229
transform point3,nalgebra,1,1,elements,68369949.0,ns,10317528
transform point3,nalgebra,1,1,elements,69330369.0,ns,10460827
transform point3,nalgebra,1,1,elements,70318400.0,ns,10604126
transform point3,nalgebra,1,1,elements,71358910.0,ns,10747425
transform point3,nalgebra,1,1,elements,72163889.0,ns,10890724
transform point3,nalgebra,1,1,elements,73276434.0,ns,11034023
transform point3,nalgebra,1,1,elements,74136295.0,ns,11177322
transform point3,nalgebra,1,1,elements,75757428.0,ns,11320621
transform point3,nalgebra,1,1,elements,76007760.0,ns,11463920
transform point3,nalgebra,1,1,elements,77133261.0,ns,11607219
transform point3,nalgebra,1,1,elements,77865772.0,ns,11750518
transform point3,nalgebra,1,1,elements,78775136.0,ns,11893817
transform point3,nalgebra,1,1,elements,79693404.0,ns,12037116
transform point3,nalgebra,1,1,elements,80702965.0,ns,12180415
transform point3,nalgebra,1,1,elements,83481986.0,ns,12323714
transform point3,nalgebra,1,1,elements,82837656.0,ns,12467013
transform point3,nalgebra,1,1,elements,83879535.0,ns,12610312
transform point3,nalgebra,1,1,elements,84442549.0,ns,12753611
transform point3,nalgebra,1,1,elements,85488913.0,ns,12896910
transform point3,nalgebra,1,1,elements,86531505.0,ns,13040209
transform point3,nalgebra,1,1,elements,87375582.0,ns,13183508
transform point3,nalgebra,1,1,elements,89037408.0,ns,13326807
transform point3,nalgebra,1,1,elements,89207207.0,ns,13470106
transform point3,nalgebra,1,1,elements,90156311.0,ns,13613405
transform point3,nalgebra,1,1,elements,91105221.0,ns,13756704
transform point3,nalgebra,1,1,elements,92146541.0,ns,13900003
transform point3,nalgebra,1,1,elements,92960167.0,ns,14043302
transform point3,nalgebra,1,1,elements,93966179.0,ns,14186601
transform point3,nalgebra,1,1,elements,95365483.0,ns,14329900
