group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
transform vector3,glam,1,1,elements,1109966.0,ns,248456
transform vector3,glam,1,1,elements,2095910.0,ns,496912
transform vector3,glam,1,1,elements,3084774.0,ns,745368
transform vector3,glam,1,1,elements,4202647.0,ns,993824
transform vector3,glam,1,1,elements,5350174.0,ns,1242280
transform vector3,glam,1,1,elements,6251995.0,ns,1490736
transform vector3,glam,1,1,elements,7598320.0,ns,1739192
transform vector3,glam,1,1,elements,8049338.0,ns,1987648
transform vector3,glam,1,1,elements,9061466.0,ns,2236104
transform vector3,glam,1,1,elements,10080660.0,ns,2484560
transform vector3,glam,1,1,elements,10974374.0,ns,2733016
transform vector3,glam,1,1,elements,11958930.0,ns,2981472
transform vector3,glam,1,1,elements,12943438.0,ns,3229928
transform vector3,glam,1,1,elements,13962328.0,ns,3478384
transform vector3,glam,1,1,elements,14920610.0,ns,3726840
transform vector3,glam,1,1,elements,15923085.0,ns,3975296
transform vector3,glam,1,1,elements,16890973.0,ns,4223752
transform vector3,glam,1,1,elements,17897055.0,ns,4472208
transform vector3,glam,1,1,elements,18864772.0,ns,4720664
transform vector3,glam,1,1,elements,20048283.0,ns,4969120
transform vector3,glam,1,1,elements,21512710.0,ns,5217576
transform vector3,glam,1,1,elements,21975059.0,ns,5466032
transform vector3,glam,1,1,elements,22904249.0,ns,5714488
transform vector3,glam,1,1,elements,23791301.0,ns,5962944
transform vector3,glam,1,1,elements,24802507.0,ns,6211400
transform vector3,glam,1,1,elements,25785253.0,ns,6459856
transform vector3,glam,1,1,elements,26754054.0,ns,6708312
transform vector3,glam,1,1,elements,27759313.0,ns,6956768
transform vector3,glam,1,1,elements,28727409.0,ns,7205224
transform vector3,glam,1,1,elements,29707510.0,ns,7453680
transform vector3,glam,1,1,elements,30697814.0,ns,7702136
transform vector3,glam,1,1,elements,31683325.0,ns,7950592
transform vector3,glam,1,1,elements,32712457.0,ns,8199048
transform vector3,glam,1,1,elements,33656014.0,ns,8447504
transform vector3,glam,1,1,elements,34716332.0,ns,8695960
transform vector3,glam,1,1,elements,35666041.0,ns,8944416
transform vector3,glam,1,1,elements,36632503.0,ns,9192872
transform vector3,glam,1,1,elements,37619295.0,ns,9441328
transform vector3,glam,1,1,elements,38603882.0,ns,9689784
transform vector3,glam,1,1,elements,40483522.0,ns,9938240
transform vector3,glam,1,1,elements,40624558.0,ns,10186696
transform vector3,glam,1,1,elements,41587122.0,ns,10435152
transform vector3,glam,1,1,elements,42555007.0,ns,10683608
transform vector3,glam,1,1,elements,43601518.0,ns,10932064
transform vector3,glam,1,1,elements,44504052.0,ns,11180520
transform vector3,glam,1,1,elements,45492191.0,ns,11428976
transform vector3,glam,1,1,elements,46735037.0,ns,11677432
transform vector3,glam,1,1,elements,47502293.0,ns,11925888
transform vector3,glam,1,1,elements,48499570.0,ns,12174344
transform vector3,glam,1,1,elements,49463844.0,ns,12422800
transform vector3,glam,1,1,elements,50484691.0,ns,12671256
transform vector3,glam,1,1,elements,51432060.0,ns,12919712
transform vector3,glam,1,1,elements,53336166.0,ns,13168168
transform vector3,glam,1,1,elements,53419161.0,ns,13416624
transform vector3,glam,1,1,elements,54382592.0,ns,13665080
transform vector3,glam,1,1,elements,55368576.0,ns,13913536
transform vector3,glam,1,1,elements,56340791.0,ns,14161992
transform vector3,glam,1,1,elements,57321136.0,ns,14410448
transform vector3,glam,1,1,elements,58375180.0,ns,14658904
transform vector3,glam,1,1,elements,59292909.0,ns,14907360
transform vector3,glam,1,1,elements,60286502.0,ns,15155816
transform vector3,glam,1,1,elements,61404561.0,ns,15404272
transform vector3,glam,1,1,elements,63130791.0,ns,15652728
transform vector3,glam,1,1,elements,63390873.0,ns,15901184
transform vector3,glam,1,1,elements,64266195.0,ns,16149640
transform vector3,glam,1,1,elements,65213926.0,ns,16398096
transform vector3,glam,1,1,elements,66399891.0,ns,16646552
transform vector3,glam,1,1,elements,67239379.0,ns,16895008
transform vector3,glam,1,1,elements,68168171.0,ns,17143464
transform vector3,glam,1,1,elements,69214068.0,ns,17391920
transform vector3,glam,1,1,elements,70164995.0,ns,17640376
transform vector3,glam,1,1,elements,71903691.0,ns,17888832
transform vector3,glam,1,1,elements,72151400.0,ns,18137288
transform vector3,glam,1,1,elements,73138717.0,ns,18385744
transform vector3,glam,1,1,elements,74091417.0,ns,18634200
transform vector3,glam,1,1,elements,75101400.0,ns,18882656
