group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vector3 length,ultraviolet,,,,1019203.0,ns,284797
vector3 length,ultraviolet,,,,1975224.0,ns,569594
vector3 length,ultraviolet,,,,2982660.0,ns,854391
vector3 length,ultraviolet,,,,3981353.0,ns,1139188
vector3 length,ultraviolet,,,,5407646.0,ns,1423985
vector3 length,ultraviolet,,,,6365822.0,ns,1708782
vector3 length,ultraviolet,,,,7185458.0,ns,1993579
vector3 length,ultraviolet,,,,8135501.0,ns,2278376
vector3 length,ultraviolet,,,,9309088.0,ns,2563173
vector3 length,ultraviolet,,,,10043689.0,ns,2847970
vector3 length,ultraviolet,,,,10969611.0,ns,3132767
vector3 length,ultraviolet,,,,11911731.0,ns,3417564
vector3 length,ultraviolet,,,,12861921.0,ns,3702361
vector3 length,ultraviolet,,,,13829393.0,ns,3987158
vector3 length,ultraviolet,,,,14860362.0,ns,4271955
vector3 length,ultraviolet,,,,15805518.0,ns,4556752
vector3 length,ultraviolet,,,,16790822.0,ns,4841549
vector3 length,ultraviolet,,,,17800066.0,ns,5126346
vector3 length,ultraviolet,,,,18770538.0,ns,5411143
vector3 length,ultraviolet,,,,19774404.0,ns,5695940
vector3 length,ultraviolet,,,,20766411.0,ns,5980737
vector3 length,ultraviolet,,,,21729932.0,ns,6265534
vector3 length,ultraviolet,,,,22720957.0,ns,6550331
vector3 length,ultraviolet,,,,23703797.0,ns,6835128
vector3 length,ultraviolet,,,,24694239.0,ns,7119925
vector3 length,ultraviolet,,,,25679519.0,ns,7404722
vector3 length,ultraviolet,,,,26669014.0,ns,7689519
vector3 length,ultraviolet,,,,27662033.0,ns,7974316
vector3 length,ultraviolet,,,,28701586.0,ns,8259113
vector3 length,ultraviolet,,,,29633160.0,ns,8543910
vector3 length,ultraviolet,,,,31183483.0,ns,8828707
vector3 length,ultraviolet,,,,31966052.0,ns,9113504
vector3 length,ultraviolet,,,,32783127.0,ns,9398301
vector3 length,ultraviolet,,,,33677238.0,ns,9683098
vector3 length,ultraviolet,,,,34590373.0,ns,9967895
vector3 length,ultraviolet,,,,35705247.0,ns,10252692
vector3 length,ultraviolet,,,,36571198.0,ns,10537489
vector3 length,ultraviolet,,,,37623614.0,ns,10822286
vector3 length,ultraviolet,,,,38540540.0,ns,11107083
vector3 length,ultraviolet,,,,39529553.0,ns,11391880
vector3 length,ultraviolet,,,,40545240.0,ns,11676677
vector3 length,ultraviolet,,,,41507402.0,ns,11961474
vector3 length,ultraviolet,,,,42546482.0,ns,12246271
vector3 length,ultraviolet,,,,43460646.0,ns,12531068
vector3 length,ultraviolet,,,,44448675.0,ns,12815865
vector3 length,ultraviolet,,,,45433333.0,ns,13100662
vector3 length,ultraviolet,,,,47165420.0,ns,13385459
vector3 length,ultraviolet,,,,47450414.0,ns,13670256
vector3 length,ultraviolet,,,,48421307.0,ns,13955053
vector3 length,ultraviolet,,,,49404294.0,ns,14239850
vector3 length,ultraviolet,,,,50366825.0,ns,14524647
vector3 length,ultraviolet,,,,51564445.0,ns,14809444
vector3 length,ultraviolet,,,,52413245.0,ns,15094241
vector3 length,ultraviolet,,,,53361949.0,ns,15379038
vector3 length,ultraviolet,,,,54370741.0,ns,15663835
vector3 length,ultraviolet,,,,55337752.0,ns,15948632
vector3 length,ultraviolet,,,,56316126.0,ns,16233429
vector3 length,ultraviolet,,,,58157151.0,ns,16518226
vector3 length,ultraviolet,,,,58667825.0,ns,16803023
vector3 length,ultraviolet,,,,59296899.0,ns,17087820
vector3 length,ultraviolet,,,,60317495.0,ns,17372617
vector3 length,ultraviolet,,,,61312753.0,ns,17657414
vector3 length,ultraviolet,,,,62267198.0,ns,17942211
vector3 length,ultraviolet,,,,63295177.0,ns,18227008
vector3 length,ultraviolet,,,,64422868.0,ns,18511805
vector3 length,ultraviolet,,,,65470228.0,ns,18796602
vector3 length,ultraviolet,,,,66201934.0,ns,19081399
vector3 length,ultraviolet,,,,68006454.0,ns,19366196
vector3 length,ultraviolet,,,,68439468.0,ns,19650993
vector3 length,ultraviolet,,,,69195093.0,ns,19935790
vector3 length,ultraviolet,,,,70152046.0,ns,20220587
vector3 length,ultraviolet,,,,71126518.0,ns,20505384
vector3 length,ultraviolet,,,,72101823.0,ns,20790181
vector3 length,ultraviolet,,,,73217626.0,ns,21074978
vector3 length,ultraviolet,,,,74527638.0,ns,21359775
vector3 length,ultraviolet,,,,75850870.0,ns,21644572
vector3 length,ultraviolet,,,,76724848.0,ns,21929369
