group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vector3 normalize,cgmath,,,,997787.0,ns,229133
vector3 normalize,cgmath,,,,2000195.0,ns,458266
vector3 normalize,cgmath,,,,2966936.0,ns,687399
vector3 normalize,cgmath,,,,4001721.0,ns,916532
vector3 normalize,cgmath,,,,5117510.0,ns,1145665
vector3 normalize,cgmath,,,,5936760.0,ns,1374798
vector3 normalize,cgmath,,,,6947397.0,ns,1603931
vector3 normalize,cgmath,,,,7935737.0,ns,1833064
vector3 normalize,cgmath,,,,8906544.0,ns,2062197
vector3 normalize,cgmath,,,,9895981.0,ns,2291330
vector3 normalize,cgmath,,,,10902281.0,ns,2520463
vector3 normalize,cgmath,,,,11892650.0,ns,2749596
vector3 normalize,cgmath,,,,12865299.0,ns,2978729
vector3 normalize,cgmath,,,,13872153.0,ns,3207862
vector3 normalize,cgmath,,,,14842017.0,ns,3436995
vector3 normalize,cgmath,,,,15833401.0,ns,3666128
vector3 normalize,cgmath,,,,16841269.0,ns,3895261
vector3 normalize,cgmath,,,,17809857.0,ns,4124394
vector3 normalize,cgmath,,,,18802588.0,ns,4353527
vector3 normalize,cgmath,,,,19865798.0,ns,4582660
vector3 normalize,cgmath,,,,20778551.0,ns,4811793
vector3 normalize,cgmath,,,,21787336.0,ns,5040926
vector3 normalize,cgmath,,,,22781898.0,ns,5270059
vector3 normalize,cgmath,,,,23768513.0,ns,5499192
vector3 normalize,cgmath,,,,24758028.0,ns,5728325
vector3 normalize,cgmath,,,,25724493.0,ns,5957458
vector3 normalize,cgmath,,,,26718105.0,ns,6186591
vector3 normalize,cgmath,,,,27815654.0,ns,6415724
vector3 normalize,cgmath,,,,28822414.0,ns,6644857
vector3 normalize,cgmath,,,,29702262.0,ns,6873990
vector3 normalize,cgmath,,,,30678041.0,ns,7103123
vector3 normalize,cgmath,,,,31703404.0,ns,7332256
vector3 normalize,cgmath,,,,32655634.0,ns,7561389
vector3 normalize,cgmath,,,,33643034.0,ns,7790522
vector3 normalize,cgmath,,,,34630898.0,ns,8019655
vector3 normalize,cgmath,,,,35649933.0,ns,8248788
vector3 normalize,cgmath,,,,36612618.0,ns,8477921
vector3 normalize,cgmath,,,,37640700.0,ns,8707054
vector3 normalize,cgmath,,,,38606386.0,ns,8936187
vector3 normalize,cgmath,,,,39580071.0,ns,9165320
vector3 normalize,cgmath,,,,40568268.0,ns,9394453
vector3 normalize,cgmath,,,,41556015.0,ns,9623586
vector3 normalize,cgmath,,,,42616249.0,ns,9852719
vector3 normalize,cgmath,,,,43534607.0,ns,10081852
vector3 normalize,cgmath,,,,44527015.0,ns,10310985
vector3 normalize,cgmath,,,,45515791.0,ns,10540118
vector3 normalize,cgmath,,,,46501956.0,ns,10769251
vector3 normalize,cgmath,,,,47491790.0,ns,10998384
vector3 normalize,cgmath,,,,53616326.0,ns,11227517
vector3 normalize,cgmath,,,,51131902.0,ns,11456650
vector3 normalize,cgmath,,,,50494992.0,ns,11685783
vector3 normalize,cgmath,,,,51496908.0,ns,11914916
vector3 normalize,cgmath,,,,52481231.0,ns,12144049
vector3 normalize,cgmath,,,,53491097.0,ns,12373182
vector3 normalize,cgmath,,,,54458590.0,ns,12602315
vector3 normalize,cgmath,,,,55408454.0,ns,12831448
vector3 normalize,cgmath,,,,56399346.0,ns,13060581
vector3 normalize,cgmath,,,,57416233.0,ns,13289714
vector3 normalize,cgmath,,,,58380114.0,ns,13518847
vector3 normalize,cgmath,,,,59406789.0,ns,13747980
vector3 normalize,cgmath,,,,60358763.0,ns,13977113
vector3 normalize,cgmath,,,,61409190.0,ns,14206246
vector3 normalize,cgmath,,,,62335014.0,ns,14435379
vector3 normalize,cgmath,,,,63404480.0,ns,14664512
vector3 normalize,cgmath,,,,64355717.0,ns,14893645
vector3 normalize,cgmath,,,,65374322.0,ns,15122778
vector3 normalize,cgmath,,,,66673141.0,ns,15351911
vector3 normalize,cgmath,,,,67304989.0,ns,15581044
vector3 normalize,cgmath,,,,68313379.0,ns,15810177
vector3 normalize,cgmath,,,,69535737.0,ns,16039310
vector3 normalize,cgmath,,,,70315387.0,ns,16268443
vector3 normalize,cgmath,,,,71246619.0,ns,16497576
vector3 normalize,cgmath,,,,72428224.0,ns,16726709
vector3 normalize,cgmath,,,,73268080.0,ns,16955842
vector3 normalize,cgmath,,,,74212738.0,ns,17184975
vector3 normalize,cgmath,,,,75253047.0,ns,17414108
vector3 normalize,cgmath,,,,76230725.0,ns,17643241
vector3 normalize,cgmath,,,,77180536.0,ns,17872374
vector3 normalize,cgmath,,,,78293834.0,ns,18101507
vector3 normalize,cgmath,,,,79262514.0,ns,18330640
vector3 normalize,cgmath,,,,80470207.0,ns,18559773
vector3 normalize,cgmath,,,,81178326.0,ns,18788906
vector3 normalize,cgmath,,,,82247419.0,ns,19018039
vector3 normalize,cgmath,,,,83190053.0,ns,19247172
vector3 normalize,cgmath,,,,84124726.0,ns,19476305
vector3 normalize,cgmath,,,,85135742.0,ns,19705438
vector3 normalize,cgmath,,,,86120887.0,ns,19934571
vector3 normalize,cgmath,,,,87108827.0,ns,20163704
vector3 normalize,cgmath,,,,88285058.0,ns,20392837
vector3 normalize,cgmath,,,,89074990.0,ns,20621970
vector3 normalize,cgmath,,,,90164982.0,ns,20851103
vector3 normalize,cgmath,,,,91106572.0,ns,21080236
vector3 normalize,cgmath,,,,92020348.0,ns,21309369
vector3 normalize,cgmath,,,,93230442.0,ns,21538502
vector3 normalize,cgmath,,,,94065803.0,ns,21767635
vector3 normalize,cgmath,,,,94983298.0,ns,21996768
vector3 normalize,cgmath,,,,96048595.0,ns,22225901
vector3 normalize,cgmath,,,,96972605.0,ns,22455034
vector3 normalize,cgmath,,,,98040638.0,ns,22684167
vector3 normalize,cgmath,,,,99140209.0,ns,22913300
