group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vector3 normalize,glam,,,,987428.0,ns,223790
vector3 normalize,glam,,,,1977535.0,ns,447580
vector3 normalize,glam,,,,2963612.0,ns,671370
vector3 normalize,glam,,,,3981592.0,ns,895160
vector3 normalize,glam,,,,4991757.0,ns,1118950
vector3 normalize,glam,,,,5930731.0,ns,1342740
vector3 normalize,glam,,,,6962578.0,ns,1566530
vector3 normalize,glam,,,,7930674.0,ns,1790320
vector3 normalize,glam,,,,8898267.0,ns,2014110
vector3 normalize,glam,,,,9901075.0,ns,2237900
vector3 normalize,glam,,,,10876902.0,ns,2461690
vector3 normalize,glam,,,,11884117.0,ns,2685480
vector3 normalize,glam,,,,12858140.0,ns,2909270
vector3 normalize,glam,,,,13861913.0,ns,3133060
vector3 normalize,glam,,,,14832271.0,ns,3356850
vector3 normalize,glam,,,,15820786.0,ns,3580640
vector3 normalize,glam,,,,16831256.0,ns,3804430
vector3 normalize,glam,,,,17799593.0,ns,4028220
vector3 normalize,glam,,,,18790277.0,ns,4252010
vector3 normalize,glam,,,,19778948.0,ns,4475800
vector3 normalize,glam,,,,20766157.0,ns,4699590
vector3 normalize,glam,,,,21759336.0,ns,4923380
vector3 normalize,glam,,,,22745928.0,ns,5147170
vector3 normalize,glam,,,,23733552.0,ns,5370960
vector3 normalize,glam,,,,24722502.0,ns,5594750
vector3 normalize,glam,,,,25711981.0,ns,5818540
vector3 normalize,glam,,,,26701046.0,ns,6042330
vector3 normalize,glam,,,,27688441.0,ns,6266120
vector3 normalize,glam,,,,28717479.0,ns,6489910
vector3 normalize,glam,,,,29669331.0,ns,6713700
vector3 normalize,glam,,,,30654539.0,ns,6937490
vector3 normalize,glam,,,,31648117.0,ns,7161280
vector3 normalize,glam,,,,32671749.0,ns,7385070
vector3 normalize,glam,,,,33622687.0,ns,7608860
vector3 normalize,glam,,,,34611042.0,ns,7832650
vector3 normalize,glam,,,,35600453.0,ns,8056440
vector3 normalize,glam,,,,36590756.0,ns,8280230
vector3 normalize,glam,,,,37580307.0,ns,8504020
vector3 normalize,glam,,,,38627880.0,ns,8727810
vector3 normalize,glam,,,,39595097.0,ns,8951600
vector3 normalize,glam,,,,40767335.0,ns,9175390
vector3 normalize,glam,,,,41576269.0,ns,9399180
vector3 normalize,glam,,,,42540734.0,ns,9622970
vector3 normalize,glam,,,,43535977.0,ns,9846760
vector3 normalize,glam,,,,44561861.0,ns,10070550
vector3 normalize,glam,,,,45491120.0,ns,10294340
vector3 normalize,glam,,,,46476243.0,ns,10518130
vector3 normalize,glam,,,,47468379.0,ns,10741920
vector3 normalize,glam,,,,48478041.0,ns,10965710
vector3 normalize,glam,,,,49463355.0,ns,11189500
vector3 normalize,glam,,,,50474101.0,ns,11413290
vector3 normalize,glam,,,,51536830.0,ns,11637080
vector3 normalize,glam,,,,52474093.0,ns,11860870
vector3 normalize,glam,,,,53419592.0,ns,12084660
vector3 normalize,glam,,,,54429436.0,ns,12308450
vector3 normalize,glam,,,,55435997.0,ns,12532240
vector3 normalize,glam,,,,56430100.0,ns,12756030
vector3 normalize,glam,,,,57395762.0,ns,12979820
vector3 normalize,glam,,,,58432901.0,ns,13203610
vector3 normalize,glam,,,,59399199.0,ns,13427400
vector3 normalize,glam,,,,60388675.0,ns,13651190
vector3 normalize,glam,,,,61311551.0,ns,13874980
vector3 normalize,glam,,,,62302448.0,ns,14098770
vector3 normalize,glam,,,,63358114.0,ns,14322560
vector3 normalize,glam,,,,65256342.0,ns,14546350
vector3 normalize,glam,,,,65671449.0,ns,14770140
vector3 normalize,glam,,,,66297180.0,ns,14993930
vector3 normalize,glam,,,,67333158.0,ns,15217720
vector3 normalize,glam,,,,68613225.0,ns,15441510
vector3 normalize,glam,,,,69310459.0,ns,15665300
vector3 normalize,glam,,,,70260189.0,ns,15889090
vector3 normalize,glam,,,,71262201.0,ns,16112880
vector3 normalize,glam,,,,72212360.0,ns,16336670
vector3 normalize,glam,,,,73180210.0,ns,16560460
vector3 normalize,glam,,,,74246242.0,ns,16784250
vector3 normalize,glam,,,,75228836.0,ns,17008040
vector3 normalize,glam,,,,76183539.0,ns,17231830
vector3 normalize,glam,,,,77156484.0,ns,17455620
vector3 normalize,glam,,,,78123884.0,ns,17679410
vector3 normalize,glam,,,,79157099.0,ns,17903200
vector3 normalize,glam,,,,80484863.0,ns,18126990
vector3 normalize,glam,,,,81153893.0,ns,18350780
vector3 normalize,glam,,,,82156261.0,ns,18574570
vector3 normalize,glam,,,,83480243.0,ns,18798360
vector3 normalize,glam,,,,84180684.0,ns,19022150
vector3 normalize,glam,,,,85069204.0,ns,19245940
vector3 normalize,glam,,,,86081065.0,ns,19469730
vector3 normalize,glam,,,,87109322.0,ns,19693520
vector3 normalize,glam,,,,88159182.0,ns,19917310
vector3 normalize,glam,,,,89087769.0,ns,20141100
vector3 normalize,glam,,,,90030139.0,ns,20364890
vector3 normalize,glam,,,,91007311.0,ns,20588680
vector3 normalize,glam,,,,91987820.0,ns,20812470
vector3 normalize,glam,,,,93418325.0,ns,21036260
vector3 normalize,glam,,,,94184314.0,ns,21260050
vector3 normalize,glam,,,,95025653.0,ns,21483840
vector3 normalize,glam,,,,95922766.0,ns,21707630
vector3 normalize,glam,,,,96951225.0,ns,21931420
vector3 normalize,glam,,,,97985360.0,ns,22155210
vector3 normalize,glam,,,,98891241.0,ns,22379000
