group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vector3 return self,glam,,,,987151.0,ns,401445
vector3 return self,glam,,,,1975378.0,ns,802890
vector3 return self,glam,,,,2950215.0,ns,1204335
vector3 return self,glam,,,,3944161.0,ns,1605780
vector3 return self,glam,,,,5268622.0,ns,2007225
vector3 return self,glam,,,,6016559.0,ns,2408670
vector3 return self,glam,,,,7343228.0,ns,2810115
vector3 return self,glam,,,,7976146.0,ns,3211560
vector3 return self,glam,,,,9035434.0,ns,3613005
vector3 return self,glam,,,,9968664.0,ns,4014450
vector3 return self,glam,,,,10889751.0,ns,4415895
vector3 return self,glam,,,,11890965.0,ns,4817340
vector3 return self,glam,,,,12819691.0,ns,5218785
vector3 return self,glam,,,,13815587.0,ns,5620230
vector3 return self,glam,,,,14792923.0,ns,6021675
vector3 return self,glam,,,,15786620.0,ns,6423120
vector3 return self,glam,,,,16824443.0,ns,6824565
vector3 return self,glam,,,,17710934.0,ns,7226010
vector3 return self,glam,,,,18801779.0,ns,7627455
vector3 return self,glam,,,,19752052.0,ns,8028900
vector3 return self,glam,,,,20705584.0,ns,8430345
vector3 return self,glam,,,,21706342.0,ns,8831790
vector3 return self,glam,,,,22681177.0,ns,9233235
vector3 return self,glam,,,,23714196.0,ns,9634680
vector3 return self,glam,,,,24663654.0,ns,10036125
vector3 return self,glam,,,,25739295.0,ns,10437570
vector3 return self,glam,,,,26716677.0,ns,10839015
vector3 return self,glam,,,,27635395.0,ns,11240460
vector3 return self,glam,,,,29305222.0,ns,11641905
vector3 return self,glam,,,,29670416.0,ns,12043350
vector3 return self,glam,,,,30576701.0,ns,12444795
vector3 return self,glam,,,,31636449.0,ns,12846240
vector3 return self,glam,,,,32822785.0,ns,13247685
vector3 return self,glam,,,,33587151.0,ns,13649130
vector3 return self,glam,,,,34580821.0,ns,14050575
vector3 return self,glam,,,,35605881.0,ns,14452020
vector3 return self,glam,,,,36593599.0,ns,14853465
vector3 return self,glam,,,,37533286.0,ns,15254910
vector3 return self,glam,,,,38478155.0,ns,15656355
vector3 return self,glam,,,,39667684.0,ns,16057800
vector3 return self,glam,,,,40464786.0,ns,16459245
vector3 return self,glam,,,,41488231.0,ns,16860690
vector3 return self,glam,,,,42480078.0,ns,17262135
vector3 return self,glam,,,,43460488.0,ns,17663580
vector3 return self,glam,,,,44967341.0,ns,18065025
vector3 return self,glam,,,,45648987.0,ns,18466470
vector3 return self,glam,,,,46447439.0,ns,18867915
vector3 return self,glam,,,,47380162.0,ns,19269360
vector3 return self,glam,,,,48375029.0,ns,19670805
vector3 return self,glam,,,,49390278.0,ns,20072250
vector3 return self,glam,,,,50339649.0,ns,20473695
vector3 return self,glam,,,,51412784.0,ns,20875140
vector3 return self,glam,,,,52347859.0,ns,21276585
vector3 return self,glam,,,,53279667.0,ns,21678030
vector3 return self,glam,,,,54328490.0,ns,22079475
vector3 return self,glam,,,,55334523.0,ns,22480920
vector3 return self,glam,,,,57042743.0,ns,22882365
vector3 return self,glam,,,,57551138.0,ns,23283810
vector3 return self,glam,,,,58190151.0,ns,23685255
vector3 return self,glam,,,,59299094.0,ns,24086700
vector3 return self,glam,,,,60238620.0,ns,24488145
vector3 return self,glam,,,,61240348.0,ns,24889590
vector3 return self,glam,,,,62235582.0,ns,25291035
vector3 return self,glam,,,,63221480.0,ns,25692480
vector3 return self,glam,,,,64076309.0,ns,26093925
vector3 return self,glam,,,,65273901.0,ns,26495370
vector3 return self,glam,,,,66915535.0,ns,26896815
vector3 return self,glam,,,,67092917.0,ns,27298260
vector3 return self,glam,,,,68096155.0,ns,27699705
vector3 return self,glam,,,,69102385.0,ns,28101150
vector3 return self,glam,,,,70137854.0,ns,28502595
vector3 return self,glam,,,,71153314.0,ns,28904040
vector3 return self,glam,,,,72354827.0,ns,29305485
vector3 return self,glam,,,,73115917.0,ns,29706930
vector3 return self,glam,,,,74672106.0,ns,30108375
vector3 return self,glam,,,,75387179.0,ns,30509820
vector3 return self,glam,,,,76164926.0,ns,30911265
vector3 return self,glam,,,,77161475.0,ns,31312710
vector3 return self,glam,,,,78076866.0,ns,31714155
vector3 return self,glam,,,,78872923.0,ns,32115600
vector3 return self,glam,,,,79996337.0,ns,32517045
vector3 return self,glam,,,,80966202.0,ns,32918490
vector3 return self,glam,,,,82662849.0,ns,33319935
vector3 return self,glam,,,,82979719.0,ns,33721380
vector3 return self,glam,,,,84185796.0,ns,34122825
vector3 return self,glam,,,,85185064.0,ns,34524270
vector3 return self,glam,,,,86002908.0,ns,34925715
vector3 return self,glam,,,,86881764.0,ns,35327160
vector3 return self,glam,,,,88060566.0,ns,35728605
vector3 return self,glam,,,,89498126.0,ns,36130050
vector3 return self,glam,,,,89786089.0,ns,36531495
vector3 return self,glam,,,,90797956.0,ns,36932940
vector3 return self,glam,,,,91852671.0,ns,37334385
vector3 return self,glam,,,,92844547.0,ns,37735830
vector3 return self,glam,,,,93893759.0,ns,38137275
vector3 return self,glam,,,,95441314.0,ns,38538720
vector3 return self,glam,,,,96178773.0,ns,38940165
vector3 return self,glam,,,,96832713.0,ns,39341610
vector3 return self,glam,,,,97706746.0,ns,39743055
vector3 return self,glam,,,,98720611.0,ns,40144500
