group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vector3 return self,static-math,,,,990442.0,ns,334616
vector3 return self,static-math,,,,2009356.0,ns,669232
vector3 return self,static-math,,,,2995169.0,ns,1003848
vector3 return self,static-math,,,,4010058.0,ns,1338464
vector3 return self,static-math,,,,5206317.0,ns,1673080
vector3 return self,static-math,,,,6133079.0,ns,2007696
vector3 return self,static-math,,,,7101087.0,ns,2342312
vector3 return self,static-math,,,,8391639.0,ns,2676928
vector3 return self,static-math,,,,9033299.0,ns,3011544
vector3 return self,static-math,,,,9975796.0,ns,3346160
vector3 return self,static-math,,,,11032454.0,ns,3680776
vector3 return self,static-math,,,,11929556.0,ns,4015392
vector3 return self,static-math,,,,12856960.0,ns,4350008
vector3 return self,static-math,,,,13857171.0,ns,4684624
vector3 return self,static-math,,,,14846902.0,ns,5019240
vector3 return self,static-math,,,,15813399.0,ns,5353856
vector3 return self,static-math,,,,16865607.0,ns,5688472
vector3 return self,static-math,,,,17804073.0,ns,6023088
vector3 return self,static-math,,,,19032260.0,ns,6357704
vector3 return self,static-math,,,,19771591.0,ns,6692320
vector3 return self,static-math,,,,20797200.0,ns,7026936
vector3 return self,static-math,,,,21773009.0,ns,7361552
vector3 return self,static-math,,,,22991548.0,ns,7696168
vector3 return self,static-math,,,,23817685.0,ns,8030784
vector3 return self,static-math,,,,24911873.0,ns,8365400
vector3 return self,static-math,,,,25807749.0,ns,8700016
vector3 return self,static-math,,,,26707483.0,ns,9034632
vector3 return self,static-math,,,,27728219.0,ns,9369248
vector3 return self,static-math,,,,28727037.0,ns,9703864
vector3 return self,static-math,,,,29654411.0,ns,10038480
vector3 return self,static-math,,,,30659587.0,ns,10373096
vector3 return self,static-math,,,,31632629.0,ns,10707712
vector3 return self,static-math,,,,32616315.0,ns,11042328
vector3 return self,static-math,,,,34292489.0,ns,11376944
vector3 return self,static-math,,,,34692882.0,ns,11711560
vector3 return self,static-math,,,,35744599.0,ns,12046176
vector3 return self,static-math,,,,36655826.0,ns,12380792
vector3 return self,static-math,,,,37656253.0,ns,12715408
vector3 return self,static-math,,,,38585419.0,ns,13050024
vector3 return self,static-math,,,,39638805.0,ns,13384640
vector3 return self,static-math,,,,40696753.0,ns,13719256
vector3 return self,static-math,,,,41737584.0,ns,14053872
vector3 return self,static-math,,,,42548576.0,ns,14388488
vector3 return self,static-math,,,,43926460.0,ns,14723104
vector3 return self,static-math,,,,44646396.0,ns,15057720
vector3 return self,static-math,,,,45629374.0,ns,15392336
vector3 return self,static-math,,,,46599176.0,ns,15726952
vector3 return self,static-math,,,,48059217.0,ns,16061568
vector3 return self,static-math,,,,48779648.0,ns,16396184
vector3 return self,static-math,,,,49498471.0,ns,16730800
vector3 return self,static-math,,,,50581375.0,ns,17065416
vector3 return self,static-math,,,,51422803.0,ns,17400032
vector3 return self,static-math,,,,52490219.0,ns,17734648
vector3 return self,static-math,,,,53443180.0,ns,18069264
vector3 return self,static-math,,,,54474651.0,ns,18403880
vector3 return self,static-math,,,,55444484.0,ns,18738496
vector3 return self,static-math,,,,56493695.0,ns,19073112
vector3 return self,static-math,,,,57406897.0,ns,19407728
vector3 return self,static-math,,,,58504658.0,ns,19742344
vector3 return self,static-math,,,,59389525.0,ns,20076960
vector3 return self,static-math,,,,60422797.0,ns,20411576
vector3 return self,static-math,,,,61602964.0,ns,20746192
vector3 return self,static-math,,,,62355459.0,ns,21080808
vector3 return self,static-math,,,,63314569.0,ns,21415424
vector3 return self,static-math,,,,64439087.0,ns,21750040
vector3 return self,static-math,,,,65532053.0,ns,22084656
vector3 return self,static-math,,,,66263807.0,ns,22419272
vector3 return self,static-math,,,,67284703.0,ns,22753888
vector3 return self,static-math,,,,68349124.0,ns,23088504
vector3 return self,static-math,,,,69253213.0,ns,23423120
vector3 return self,static-math,,,,70314807.0,ns,23757736
vector3 return self,static-math,,,,71285400.0,ns,24092352
vector3 return self,static-math,,,,72369002.0,ns,24426968
vector3 return self,static-math,,,,73475023.0,ns,24761584
vector3 return self,static-math,,,,74308098.0,ns,25096200
vector3 return self,static-math,,,,75230136.0,ns,25430816
vector3 return self,static-math,,,,76323176.0,ns,25765432
vector3 return self,static-math,,,,77174592.0,ns,26100048
vector3 return self,static-math,,,,78297250.0,ns,26434664
vector3 return self,static-math,,,,79188255.0,ns,26769280
vector3 return self,static-math,,,,80169456.0,ns,27103896
vector3 return self,static-math,,,,81237976.0,ns,27438512
vector3 return self,static-math,,,,82182780.0,ns,27773128
vector3 return self,static-math,,,,83404830.0,ns,28107744
vector3 return self,static-math,,,,84072281.0,ns,28442360
vector3 return self,static-math,,,,85202470.0,ns,28776976
vector3 return self,static-math,,,,86184209.0,ns,29111592
vector3 return self,static-math,,,,87126877.0,ns,29446208
vector3 return self,static-math,,,,88377733.0,ns,29780824
vector3 return self,static-math,,,,89097025.0,ns,30115440
vector3 return self,static-math,,,,90246259.0,ns,30450056
vector3 return self,static-math,,,,91181985.0,ns,30784672
vector3 return self,static-math,,,,92403195.0,ns,31119288
vector3 return self,static-math,,,,93144100.0,ns,31453904
vector3 return self,static-math,,,,94055511.0,ns,31788520
vector3 return self,static-math,,,,95088897.0,ns,32123136
vector3 return self,static-math,,,,96041158.0,ns,32457752
vector3 return self,static-math,,,,97038353.0,ns,32792368
vector3 return self,static-math,,,,99090402.0,ns,33126984
vector3 return self,static-math,,,,100036597.0,ns,33461600
