group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix4 mul matrix4,nalgebra,,,,1109105.0,ns,120756
matrix4 mul matrix4,nalgebra,,,,2096000.0,ns,241512
matrix4 mul matrix4,nalgebra,,,,3118804.0,ns,362268
matrix4 mul matrix4,nalgebra,,,,4066959.0,ns,483024
matrix4 mul matrix4,nalgebra,,,,5052679.0,ns,603780
matrix4 mul matrix4,nalgebra,,,,6039924.0,ns,724536
matrix4 mul matrix4,nalgebra,,,,7069800.0,ns,845292
matrix4 mul matrix4,nalgebra,,,,8058660.0,ns,966048
matrix4 mul matrix4,nalgebra,,,,9027650.0,ns,1086804
matrix4 mul matrix4,nalgebra,,,,9992482.0,ns,1207560
matrix4 mul matrix4,nalgebra,,,,10998519.0,ns,1328316
matrix4 mul matrix4,nalgebra,,,,11958924.0,ns,1449072
matrix4 mul matrix4,nalgebra,,,,12959042.0,ns,1569828
matrix4 mul matrix4,nalgebra,,,,13957032.0,ns,1690584
matrix4 mul matrix4,nalgebra,,,,14964903.0,ns,1811340
matrix4 mul matrix4,nalgebra,,,,15945835.0,ns,1932096
matrix4 mul matrix4,nalgebra,,,,16892825.0,ns,2052852
matrix4 mul matrix4,nalgebra,,,,17879586.0,ns,2173608
matrix4 mul matrix4,nalgebra,,,,18870146.0,ns,2294364
matrix4 mul matrix4,nalgebra,,,,19900838.0,ns,2415120
matrix4 mul matrix4,nalgebra,,,,20891400.0,ns,2535876
matrix4 mul matrix4,nalgebra,,,,21827052.0,ns,2656632
matrix4 mul matrix4,nalgebra,,,,22835368.0,ns,2777388
matrix4 mul matrix4,nalgebra,,,,23868475.0,ns,2898144
matrix4 mul matrix4,nalgebra,,,,24931066.0,ns,3018900
matrix4 mul matrix4,nalgebra,,,,25780409.0,ns,3139656
matrix4 mul matrix4,nalgebra,,,,26785000.0,ns,3260412
matrix4 mul matrix4,nalgebra,,,,27789463.0,ns,3381168
matrix4 mul matrix4,nalgebra,,,,28771918.0,ns,3501924
matrix4 mul matrix4,nalgebra,,,,29749550.0,ns,3622680
matrix4 mul matrix4,nalgebra,,,,30785677.0,ns,3743436
matrix4 mul matrix4,nalgebra,,,,31749995.0,ns,3864192
matrix4 mul matrix4,nalgebra,,,,32723531.0,ns,3984948
matrix4 mul matrix4,nalgebra,,,,33709937.0,ns,4105704
matrix4 mul matrix4,nalgebra,,,,34674488.0,ns,4226460
matrix4 mul matrix4,nalgebra,,,,35955813.0,ns,4347216
matrix4 mul matrix4,nalgebra,,,,36712129.0,ns,4467972
matrix4 mul matrix4,nalgebra,,,,37657068.0,ns,4588728
matrix4 mul matrix4,nalgebra,,,,38661087.0,ns,4709484
matrix4 mul matrix4,nalgebra,,,,39611187.0,ns,4830240
matrix4 mul matrix4,nalgebra,,,,40599381.0,ns,4950996
matrix4 mul matrix4,nalgebra,,,,42095515.0,ns,5071752
matrix4 mul matrix4,nalgebra,,,,42859657.0,ns,5192508
matrix4 mul matrix4,nalgebra,,,,43606406.0,ns,5313264
matrix4 mul matrix4,nalgebra,,,,44544306.0,ns,5434020
matrix4 mul matrix4,nalgebra,,,,45611995.0,ns,5554776
matrix4 mul matrix4,nalgebra,,,,46539992.0,ns,5675532
matrix4 mul matrix4,nalgebra,,,,47565233.0,ns,5796288
matrix4 mul matrix4,nalgebra,,,,48488854.0,ns,5917044
matrix4 mul matrix4,nalgebra,,,,49489091.0,ns,6037800
matrix4 mul matrix4,nalgebra,,,,50478323.0,ns,6158556
matrix4 mul matrix4,nalgebra,,,,51522780.0,ns,6279312
matrix4 mul matrix4,nalgebra,,,,52455767.0,ns,6400068
matrix4 mul matrix4,nalgebra,,,,53493980.0,ns,6520824
matrix4 mul matrix4,nalgebra,,,,54407381.0,ns,6641580
matrix4 mul matrix4,nalgebra,,,,55463154.0,ns,6762336
matrix4 mul matrix4,nalgebra,,,,56481962.0,ns,6883092
matrix4 mul matrix4,nalgebra,,,,57404911.0,ns,7003848
matrix4 mul matrix4,nalgebra,,,,58375235.0,ns,7124604
matrix4 mul matrix4,nalgebra,,,,59368799.0,ns,7245360
matrix4 mul matrix4,nalgebra,,,,60465223.0,ns,7366116
matrix4 mul matrix4,nalgebra,,,,61462091.0,ns,7486872
matrix4 mul matrix4,nalgebra,,,,64437987.0,ns,7607628
matrix4 mul matrix4,nalgebra,,,,63398943.0,ns,7728384
matrix4 mul matrix4,nalgebra,,,,64338657.0,ns,7849140
matrix4 mul matrix4,nalgebra,,,,65348328.0,ns,7969896
matrix4 mul matrix4,nalgebra,,,,66310745.0,ns,8090652
matrix4 mul matrix4,nalgebra,,,,67292437.0,ns,8211408
matrix4 mul matrix4,nalgebra,,,,68556294.0,ns,8332164
matrix4 mul matrix4,nalgebra,,,,69273360.0,ns,8452920
matrix4 mul matrix4,nalgebra,,,,70321302.0,ns,8573676
matrix4 mul matrix4,nalgebra,,,,71486052.0,ns,8694432
matrix4 mul matrix4,nalgebra,,,,72253659.0,ns,8815188
matrix4 mul matrix4,nalgebra,,,,73217071.0,ns,8935944
matrix4 mul matrix4,nalgebra,,,,74562268.0,ns,9056700
matrix4 mul matrix4,nalgebra,,,,75253120.0,ns,9177456
matrix4 mul matrix4,nalgebra,,,,76215797.0,ns,9298212
matrix4 mul matrix4,nalgebra,,,,77317290.0,ns,9418968
matrix4 mul matrix4,nalgebra,,,,78330927.0,ns,9539724
matrix4 mul matrix4,nalgebra,,,,79145745.0,ns,9660480
matrix4 mul matrix4,nalgebra,,,,80109208.0,ns,9781236
matrix4 mul matrix4,nalgebra,,,,81130460.0,ns,9901992
matrix4 mul matrix4,nalgebra,,,,82081217.0,ns,10022748
matrix4 mul matrix4,nalgebra,,,,83168052.0,ns,10143504
matrix4 mul matrix4,nalgebra,,,,84165146.0,ns,10264260
matrix4 mul matrix4,nalgebra,,,,85255432.0,ns,10385016
matrix4 mul matrix4,nalgebra,,,,86089341.0,ns,10505772
matrix4 mul matrix4,nalgebra,,,,87152385.0,ns,10626528
matrix4 mul matrix4,nalgebra,,,,88049452.0,ns,10747284
matrix4 mul matrix4,nalgebra,,,,89022118.0,ns,10868040
matrix4 mul matrix4,nalgebra,,,,90062011.0,ns,10988796
matrix4 mul matrix4,nalgebra,,,,90979448.0,ns,11109552
matrix4 mul matrix4,nalgebra,,,,92049435.0,ns,11230308
matrix4 mul matrix4,nalgebra,,,,93007595.0,ns,11351064
matrix4 mul matrix4,nalgebra,,,,93992293.0,ns,11471820
