group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar euler 3d,nalgebra,10000,10000,elements,998169.0,ns,39
scalar euler 3d,nalgebra,10000,10000,elements,1942860.0,ns,78
scalar euler 3d,nalgebra,10000,10000,elements,2955924.0,ns,117
scalar euler 3d,nalgebra,10000,10000,elements,3926291.0,ns,156
scalar euler 3d,nalgebra,10000,10000,elements,5317412.0,ns,195
scalar euler 3d,nalgebra,10000,10000,elements,6017484.0,ns,234
scalar euler 3d,nalgebra,10000,10000,elements,7070125.0,ns,273
scalar euler 3d,nalgebra,10000,10000,elements,8040364.0,ns,312
scalar euler 3d,nalgebra,10000,10000,elements,9167190.0,ns,351
scalar euler 3d,nalgebra,10000,10000,elements,9947750.0,ns,390
scalar euler 3d,nalgebra,10000,10000,elements,11047530.0,ns,429
scalar euler 3d,nalgebra,10000,10000,elements,11883756.0,ns,468
scalar euler 3d,nalgebra,10000,10000,elements,12872863.0,ns,507
scalar euler 3d,nalgebra,10000,10000,elements,13925067.0,ns,546
scalar euler 3d,nalgebra,10000,10000,elements,14840787.0,ns,585
scalar euler 3d,nalgebra,10000,10000,elements,15803010.0,ns,624
scalar euler 3d,nalgebra,10000,10000,elements,16787717.0,ns,663
scalar euler 3d,nalgebra,10000,10000,elements,17793605.0,ns,702
scalar euler 3d,nalgebra,10000,10000,elements,18821554.0,ns,741
scalar euler 3d,nalgebra,10000,10000,elements,19812953.0,ns,780
scalar euler 3d,nalgebra,10000,10000,elements,20798171.0,ns,819
scalar euler 3d,nalgebra,10000,10000,elements,21947133.0,ns,858
scalar euler 3d,nalgebra,10000,10000,elements,22870817.0,ns,897
scalar euler 3d,nalgebra,10000,10000,elements,23851642.0,ns,936
scalar euler 3d,nalgebra,10000,10000,elements,24789666.0,ns,975
scalar euler 3d,nalgebra,10000,10000,elements,25725960.0,ns,1014
scalar euler 3d,nalgebra,10000,10000,elements,26751151.0,ns,1053
scalar euler 3d,nalgebra,10000,10000,elements,27732323.0,ns,1092
scalar euler 3d,nalgebra,10000,10000,elements,28696016.0,ns,1131
scalar euler 3d,nalgebra,10000,10000,elements,30028481.0,ns,1170
scalar euler 3d,nalgebra,10000,10000,elements,30733338.0,ns,1209
scalar euler 3d,nalgebra,10000,10000,elements,31738069.0,ns,1248
scalar euler 3d,nalgebra,10000,10000,elements,33031279.0,ns,1287
scalar euler 3d,nalgebra,10000,10000,elements,33807440.0,ns,1326
scalar euler 3d,nalgebra,10000,10000,elements,34696876.0,ns,1365
scalar euler 3d,nalgebra,10000,10000,elements,36244727.0,ns,1404
scalar euler 3d,nalgebra,10000,10000,elements,36905837.0,ns,1443
scalar euler 3d,nalgebra,10000,10000,elements,37640174.0,ns,1482
scalar euler 3d,nalgebra,10000,10000,elements,38733526.0,ns,1521
scalar euler 3d,nalgebra,10000,10000,elements,39698430.0,ns,1560
scalar euler 3d,nalgebra,10000,10000,elements,40902392.0,ns,1599
scalar euler 3d,nalgebra,10000,10000,elements,41633357.0,ns,1638
scalar euler 3d,nalgebra,10000,10000,elements,42673348.0,ns,1677
scalar euler 3d,nalgebra,10000,10000,elements,43658034.0,ns,1716
scalar euler 3d,nalgebra,10000,10000,elements,44608692.0,ns,1755
scalar euler 3d,nalgebra,10000,10000,elements,45769397.0,ns,1794
scalar euler 3d,nalgebra,10000,10000,elements,46587911.0,ns,1833
scalar euler 3d,nalgebra,10000,10000,elements,47977930.0,ns,1872
scalar euler 3d,nalgebra,10000,10000,elements,48601351.0,ns,1911
scalar euler 3d,nalgebra,10000,10000,elements,50468051.0,ns,1950
scalar euler 3d,nalgebra,10000,10000,elements,50714328.0,ns,1989
scalar euler 3d,nalgebra,10000,10000,elements,51511798.0,ns,2028
scalar euler 3d,nalgebra,10000,10000,elements,52492410.0,ns,2067
scalar euler 3d,nalgebra,10000,10000,elements,54023906.0,ns,2106
scalar euler 3d,nalgebra,10000,10000,elements,54551279.0,ns,2145
scalar euler 3d,nalgebra,10000,10000,elements,55500731.0,ns,2184
scalar euler 3d,nalgebra,10000,10000,elements,56619087.0,ns,2223
scalar euler 3d,nalgebra,10000,10000,elements,57705298.0,ns,2262
scalar euler 3d,nalgebra,10000,10000,elements,58766481.0,ns,2301
scalar euler 3d,nalgebra,10000,10000,elements,59588724.0,ns,2340
scalar euler 3d,nalgebra,10000,10000,elements,60928041.0,ns,2379
scalar euler 3d,nalgebra,10000,10000,elements,61750001.0,ns,2418
scalar euler 3d,nalgebra,10000,10000,elements,62436923.0,ns,2457
scalar euler 3d,nalgebra,10000,10000,elements,63649908.0,ns,2496
scalar euler 3d,nalgebra,10000,10000,elements,64501120.0,ns,2535
scalar euler 3d,nalgebra,10000,10000,elements,65445775.0,ns,2574
scalar euler 3d,nalgebra,10000,10000,elements,66931266.0,ns,2613
scalar euler 3d,nalgebra,10000,10000,elements,67648131.0,ns,2652
scalar euler 3d,nalgebra,10000,10000,elements,68786674.0,ns,2691
scalar euler 3d,nalgebra,10000,10000,elements,69573833.0,ns,2730
scalar euler 3d,nalgebra,10000,10000,elements,70411068.0,ns,2769
scalar euler 3d,nalgebra,10000,10000,elements,71377555.0,ns,2808
scalar euler 3d,nalgebra,10000,10000,elements,72558784.0,ns,2847
scalar euler 3d,nalgebra,10000,10000,elements,73415064.0,ns,2886
scalar euler 3d,nalgebra,10000,10000,elements,74507222.0,ns,2925
scalar euler 3d,nalgebra,10000,10000,elements,75471495.0,ns,2964
scalar euler 3d,nalgebra,10000,10000,elements,76669353.0,ns,3003
scalar euler 3d,nalgebra,10000,10000,elements,77951573.0,ns,3042
scalar euler 3d,nalgebra,10000,10000,elements,78463565.0,ns,3081
scalar euler 3d,nalgebra,10000,10000,elements,79281072.0,ns,3120
scalar euler 3d,nalgebra,10000,10000,elements,80614003.0,ns,3159
scalar euler 3d,nalgebra,10000,10000,elements,81320277.0,ns,3198
scalar euler 3d,nalgebra,10000,10000,elements,82526207.0,ns,3237
scalar euler 3d,nalgebra,10000,10000,elements,83268255.0,ns,3276
scalar euler 3d,nalgebra,10000,10000,elements,84616093.0,ns,3315
scalar euler 3d,nalgebra,10000,10000,elements,85486398.0,ns,3354
scalar euler 3d,nalgebra,10000,10000,elements,86251321.0,ns,3393
scalar euler 3d,nalgebra,10000,10000,elements,87898496.0,ns,3432
scalar euler 3d,nalgebra,10000,10000,elements,88297903.0,ns,3471
scalar euler 3d,nalgebra,10000,10000,elements,89681606.0,ns,3510
scalar euler 3d,nalgebra,10000,10000,elements,90481812.0,ns,3549
scalar euler 3d,nalgebra,10000,10000,elements,91365084.0,ns,3588
scalar euler 3d,nalgebra,10000,10000,elements,92366534.0,ns,3627
scalar euler 3d,nalgebra,10000,10000,elements,93340226.0,ns,3666
scalar euler 3d,nalgebra,10000,10000,elements,94329340.0,ns,3705
scalar euler 3d,nalgebra,10000,10000,elements,95230400.0,ns,3744
scalar euler 3d,nalgebra,10000,10000,elements,97266179.0,ns,3783
scalar euler 3d,nalgebra,10000,10000,elements,97563075.0,ns,3822
scalar euler 3d,nalgebra,10000,10000,elements,98476895.0,ns,3861
scalar euler 3d,nalgebra,10000,10000,elements,99215228.0,ns,3900
