group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 mul vector2,cgmath,100,100,elements,1124232.0,ns,4179
scalar matrix2 mul vector2,cgmath,100,100,elements,2096545.0,ns,8358
scalar matrix2 mul vector2,cgmath,100,100,elements,3053570.0,ns,12537
scalar matrix2 mul vector2,cgmath,100,100,elements,4098754.0,ns,16716
scalar matrix2 mul vector2,cgmath,100,100,elements,5097201.0,ns,20895
scalar matrix2 mul vector2,cgmath,100,100,elements,6091487.0,ns,25074
scalar matrix2 mul vector2,cgmath,100,100,elements,7017485.0,ns,29253
scalar matrix2 mul vector2,cgmath,100,100,elements,8017825.0,ns,33432
scalar matrix2 mul vector2,cgmath,100,100,elements,9059791.0,ns,37611
scalar matrix2 mul vector2,cgmath,100,100,elements,9949120.0,ns,41790
scalar matrix2 mul vector2,cgmath,100,100,elements,11217592.0,ns,45969
scalar matrix2 mul vector2,cgmath,100,100,elements,12187627.0,ns,50148
scalar matrix2 mul vector2,cgmath,100,100,elements,13059506.0,ns,54327
scalar matrix2 mul vector2,cgmath,100,100,elements,13993859.0,ns,58506
scalar matrix2 mul vector2,cgmath,100,100,elements,14902778.0,ns,62685
scalar matrix2 mul vector2,cgmath,100,100,elements,15880626.0,ns,66864
scalar matrix2 mul vector2,cgmath,100,100,elements,16879039.0,ns,71043
scalar matrix2 mul vector2,cgmath,100,100,elements,17874842.0,ns,75222
scalar matrix2 mul vector2,cgmath,100,100,elements,18952201.0,ns,79401
scalar matrix2 mul vector2,cgmath,100,100,elements,19984625.0,ns,83580
scalar matrix2 mul vector2,cgmath,100,100,elements,20893391.0,ns,87759
scalar matrix2 mul vector2,cgmath,100,100,elements,21804178.0,ns,91938
scalar matrix2 mul vector2,cgmath,100,100,elements,22885229.0,ns,96117
scalar matrix2 mul vector2,cgmath,100,100,elements,23816002.0,ns,100296
scalar matrix2 mul vector2,cgmath,100,100,elements,24807674.0,ns,104475
scalar matrix2 mul vector2,cgmath,100,100,elements,25796983.0,ns,108654
scalar matrix2 mul vector2,cgmath,100,100,elements,26814108.0,ns,112833
scalar matrix2 mul vector2,cgmath,100,100,elements,27850373.0,ns,117012
scalar matrix2 mul vector2,cgmath,100,100,elements,28915055.0,ns,121191
scalar matrix2 mul vector2,cgmath,100,100,elements,30053907.0,ns,125370
scalar matrix2 mul vector2,cgmath,100,100,elements,30832014.0,ns,129549
scalar matrix2 mul vector2,cgmath,100,100,elements,31747547.0,ns,133728
scalar matrix2 mul vector2,cgmath,100,100,elements,32684173.0,ns,137907
scalar matrix2 mul vector2,cgmath,100,100,elements,33690266.0,ns,142086
scalar matrix2 mul vector2,cgmath,100,100,elements,34731047.0,ns,146265
scalar matrix2 mul vector2,cgmath,100,100,elements,36157143.0,ns,150444
scalar matrix2 mul vector2,cgmath,100,100,elements,36794877.0,ns,154623
scalar matrix2 mul vector2,cgmath,100,100,elements,37587423.0,ns,158802
scalar matrix2 mul vector2,cgmath,100,100,elements,38848882.0,ns,162981
scalar matrix2 mul vector2,cgmath,100,100,elements,39979234.0,ns,167160
scalar matrix2 mul vector2,cgmath,100,100,elements,40599630.0,ns,171339
scalar matrix2 mul vector2,cgmath,100,100,elements,42554912.0,ns,175518
scalar matrix2 mul vector2,cgmath,100,100,elements,42592306.0,ns,179697
scalar matrix2 mul vector2,cgmath,100,100,elements,43734614.0,ns,183876
scalar matrix2 mul vector2,cgmath,100,100,elements,44459004.0,ns,188055
scalar matrix2 mul vector2,cgmath,100,100,elements,45603267.0,ns,192234
scalar matrix2 mul vector2,cgmath,100,100,elements,46551242.0,ns,196413
scalar matrix2 mul vector2,cgmath,100,100,elements,47479087.0,ns,200592
scalar matrix2 mul vector2,cgmath,100,100,elements,48677996.0,ns,204771
scalar matrix2 mul vector2,cgmath,100,100,elements,49444521.0,ns,208950
scalar matrix2 mul vector2,cgmath,100,100,elements,50522058.0,ns,213129
scalar matrix2 mul vector2,cgmath,100,100,elements,52412900.0,ns,217308
scalar matrix2 mul vector2,cgmath,100,100,elements,52432786.0,ns,221487
scalar matrix2 mul vector2,cgmath,100,100,elements,53457720.0,ns,225666
scalar matrix2 mul vector2,cgmath,100,100,elements,54538575.0,ns,229845
scalar matrix2 mul vector2,cgmath,100,100,elements,55475547.0,ns,234024
scalar matrix2 mul vector2,cgmath,100,100,elements,56461133.0,ns,238203
scalar matrix2 mul vector2,cgmath,100,100,elements,57727788.0,ns,242382
scalar matrix2 mul vector2,cgmath,100,100,elements,58428632.0,ns,246561
scalar matrix2 mul vector2,cgmath,100,100,elements,59384820.0,ns,250740
scalar matrix2 mul vector2,cgmath,100,100,elements,60821343.0,ns,254919
scalar matrix2 mul vector2,cgmath,100,100,elements,61409371.0,ns,259098
scalar matrix2 mul vector2,cgmath,100,100,elements,62489101.0,ns,263277
scalar matrix2 mul vector2,cgmath,100,100,elements,63822900.0,ns,267456
scalar matrix2 mul vector2,cgmath,100,100,elements,64355017.0,ns,271635
scalar matrix2 mul vector2,cgmath,100,100,elements,65468393.0,ns,275814
scalar matrix2 mul vector2,cgmath,100,100,elements,66290344.0,ns,279993
scalar matrix2 mul vector2,cgmath,100,100,elements,67978426.0,ns,284172
scalar matrix2 mul vector2,cgmath,100,100,elements,68629667.0,ns,288351
scalar matrix2 mul vector2,cgmath,100,100,elements,69363931.0,ns,292530
scalar matrix2 mul vector2,cgmath,100,100,elements,70217621.0,ns,296709
scalar matrix2 mul vector2,cgmath,100,100,elements,71230190.0,ns,300888
scalar matrix2 mul vector2,cgmath,100,100,elements,72149470.0,ns,305067
scalar matrix2 mul vector2,cgmath,100,100,elements,73315251.0,ns,309246
scalar matrix2 mul vector2,cgmath,100,100,elements,74153073.0,ns,313425
scalar matrix2 mul vector2,cgmath,100,100,elements,75608677.0,ns,317604
scalar matrix2 mul vector2,cgmath,100,100,elements,76196953.0,ns,321783
scalar matrix2 mul vector2,cgmath,100,100,elements,77159640.0,ns,325962
scalar matrix2 mul vector2,cgmath,100,100,elements,78254103.0,ns,330141
scalar matrix2 mul vector2,cgmath,100,100,elements,79318440.0,ns,334320
scalar matrix2 mul vector2,cgmath,100,100,elements,80168880.0,ns,338499
scalar matrix2 mul vector2,cgmath,100,100,elements,82039757.0,ns,342678
scalar matrix2 mul vector2,cgmath,100,100,elements,81993457.0,ns,346857
scalar matrix2 mul vector2,cgmath,100,100,elements,82949920.0,ns,351036
scalar matrix2 mul vector2,cgmath,100,100,elements,84000089.0,ns,355215
scalar matrix2 mul vector2,cgmath,100,100,elements,85126430.0,ns,359394
scalar matrix2 mul vector2,cgmath,100,100,elements,86040923.0,ns,363573
scalar matrix2 mul vector2,cgmath,100,100,elements,87876498.0,ns,367752
scalar matrix2 mul vector2,cgmath,100,100,elements,88275141.0,ns,371931
scalar matrix2 mul vector2,cgmath,100,100,elements,89043045.0,ns,376110
scalar matrix2 mul vector2,cgmath,100,100,elements,90183650.0,ns,380289
scalar matrix2 mul vector2,cgmath,100,100,elements,90996712.0,ns,384468
scalar matrix2 mul vector2,cgmath,100,100,elements,91963956.0,ns,388647
scalar matrix2 mul vector2,cgmath,100,100,elements,92954423.0,ns,392826
scalar matrix2 mul vector2,cgmath,100,100,elements,93936998.0,ns,397005
scalar matrix2 mul vector2,cgmath,100,100,elements,95059073.0,ns,401184
scalar matrix2 mul vector2,cgmath,100,100,elements,95958746.0,ns,405363
scalar matrix2 mul vector2,cgmath,100,100,elements,97093709.0,ns,409542
scalar matrix2 mul vector2,cgmath,100,100,elements,98287631.0,ns,413721
scalar matrix2 mul vector2,cgmath,100,100,elements,98894277.0,ns,417900
