group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 mul vector2,pathfinder,100,100,elements,1224383.0,ns,4492
scalar matrix2 mul vector2,pathfinder,100,100,elements,2168638.0,ns,8984
scalar matrix2 mul vector2,pathfinder,100,100,elements,3111215.0,ns,13476
scalar matrix2 mul vector2,pathfinder,100,100,elements,4118675.0,ns,17968
scalar matrix2 mul vector2,pathfinder,100,100,elements,5083134.0,ns,22460
scalar matrix2 mul vector2,pathfinder,100,100,elements,6096103.0,ns,26952
scalar matrix2 mul vector2,pathfinder,100,100,elements,7091316.0,ns,31444
scalar matrix2 mul vector2,pathfinder,100,100,elements,8031956.0,ns,35936
scalar matrix2 mul vector2,pathfinder,100,100,elements,9109772.0,ns,40428
scalar matrix2 mul vector2,pathfinder,100,100,elements,10055449.0,ns,44920
scalar matrix2 mul vector2,pathfinder,100,100,elements,10985599.0,ns,49412
scalar matrix2 mul vector2,pathfinder,100,100,elements,12011857.0,ns,53904
scalar matrix2 mul vector2,pathfinder,100,100,elements,13008915.0,ns,58396
scalar matrix2 mul vector2,pathfinder,100,100,elements,14059017.0,ns,62888
scalar matrix2 mul vector2,pathfinder,100,100,elements,15027184.0,ns,67380
scalar matrix2 mul vector2,pathfinder,100,100,elements,15954121.0,ns,71872
scalar matrix2 mul vector2,pathfinder,100,100,elements,16945081.0,ns,76364
scalar matrix2 mul vector2,pathfinder,100,100,elements,17925396.0,ns,80856
scalar matrix2 mul vector2,pathfinder,100,100,elements,18978831.0,ns,85348
scalar matrix2 mul vector2,pathfinder,100,100,elements,20152958.0,ns,89840
scalar matrix2 mul vector2,pathfinder,100,100,elements,20867102.0,ns,94332
scalar matrix2 mul vector2,pathfinder,100,100,elements,21914591.0,ns,98824
scalar matrix2 mul vector2,pathfinder,100,100,elements,23014807.0,ns,103316
scalar matrix2 mul vector2,pathfinder,100,100,elements,23964279.0,ns,107808
scalar matrix2 mul vector2,pathfinder,100,100,elements,24872647.0,ns,112300
scalar matrix2 mul vector2,pathfinder,100,100,elements,25834985.0,ns,116792
scalar matrix2 mul vector2,pathfinder,100,100,elements,26836427.0,ns,121284
scalar matrix2 mul vector2,pathfinder,100,100,elements,27774740.0,ns,125776
scalar matrix2 mul vector2,pathfinder,100,100,elements,28745121.0,ns,130268
scalar matrix2 mul vector2,pathfinder,100,100,elements,29837982.0,ns,134760
scalar matrix2 mul vector2,pathfinder,100,100,elements,30822757.0,ns,139252
scalar matrix2 mul vector2,pathfinder,100,100,elements,31777643.0,ns,143744
scalar matrix2 mul vector2,pathfinder,100,100,elements,32801456.0,ns,148236
scalar matrix2 mul vector2,pathfinder,100,100,elements,34004510.0,ns,152728
scalar matrix2 mul vector2,pathfinder,100,100,elements,35269548.0,ns,157220
scalar matrix2 mul vector2,pathfinder,100,100,elements,35663930.0,ns,161712
scalar matrix2 mul vector2,pathfinder,100,100,elements,36710907.0,ns,166204
scalar matrix2 mul vector2,pathfinder,100,100,elements,37717995.0,ns,170696
scalar matrix2 mul vector2,pathfinder,100,100,elements,38624993.0,ns,175188
scalar matrix2 mul vector2,pathfinder,100,100,elements,39661431.0,ns,179680
scalar matrix2 mul vector2,pathfinder,100,100,elements,40486494.0,ns,184172
scalar matrix2 mul vector2,pathfinder,100,100,elements,41675356.0,ns,188664
scalar matrix2 mul vector2,pathfinder,100,100,elements,42680497.0,ns,193156
scalar matrix2 mul vector2,pathfinder,100,100,elements,43827194.0,ns,197648
scalar matrix2 mul vector2,pathfinder,100,100,elements,44675099.0,ns,202140
scalar matrix2 mul vector2,pathfinder,100,100,elements,46041114.0,ns,206632
scalar matrix2 mul vector2,pathfinder,100,100,elements,46660638.0,ns,211124
scalar matrix2 mul vector2,pathfinder,100,100,elements,47495489.0,ns,215616
scalar matrix2 mul vector2,pathfinder,100,100,elements,48503499.0,ns,220108
scalar matrix2 mul vector2,pathfinder,100,100,elements,49563921.0,ns,224600
scalar matrix2 mul vector2,pathfinder,100,100,elements,50532332.0,ns,229092
scalar matrix2 mul vector2,pathfinder,100,100,elements,51612445.0,ns,233584
scalar matrix2 mul vector2,pathfinder,100,100,elements,52579234.0,ns,238076
scalar matrix2 mul vector2,pathfinder,100,100,elements,53534252.0,ns,242568
scalar matrix2 mul vector2,pathfinder,100,100,elements,54612196.0,ns,247060
scalar matrix2 mul vector2,pathfinder,100,100,elements,55980893.0,ns,251552
scalar matrix2 mul vector2,pathfinder,100,100,elements,56532892.0,ns,256044
scalar matrix2 mul vector2,pathfinder,100,100,elements,57395811.0,ns,260536
scalar matrix2 mul vector2,pathfinder,100,100,elements,58476487.0,ns,265028
scalar matrix2 mul vector2,pathfinder,100,100,elements,59420421.0,ns,269520
scalar matrix2 mul vector2,pathfinder,100,100,elements,60505175.0,ns,274012
scalar matrix2 mul vector2,pathfinder,100,100,elements,61493362.0,ns,278504
scalar matrix2 mul vector2,pathfinder,100,100,elements,62463630.0,ns,282996
scalar matrix2 mul vector2,pathfinder,100,100,elements,64058614.0,ns,287488
scalar matrix2 mul vector2,pathfinder,100,100,elements,64573929.0,ns,291980
scalar matrix2 mul vector2,pathfinder,100,100,elements,65422139.0,ns,296472
scalar matrix2 mul vector2,pathfinder,100,100,elements,66514346.0,ns,300964
scalar matrix2 mul vector2,pathfinder,100,100,elements,67432479.0,ns,305456
scalar matrix2 mul vector2,pathfinder,100,100,elements,68469175.0,ns,309948
scalar matrix2 mul vector2,pathfinder,100,100,elements,69379733.0,ns,314440
scalar matrix2 mul vector2,pathfinder,100,100,elements,70589608.0,ns,318932
scalar matrix2 mul vector2,pathfinder,100,100,elements,71363752.0,ns,323424
scalar matrix2 mul vector2,pathfinder,100,100,elements,72226535.0,ns,327916
scalar matrix2 mul vector2,pathfinder,100,100,elements,73117092.0,ns,332408
scalar matrix2 mul vector2,pathfinder,100,100,elements,74248809.0,ns,336900
scalar matrix2 mul vector2,pathfinder,100,100,elements,75256759.0,ns,341392
scalar matrix2 mul vector2,pathfinder,100,100,elements,76419212.0,ns,345884
