group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 return self,cgmath,,,,987375.0,ns,344781
scalar matrix2 return self,cgmath,,,,1976590.0,ns,689562
scalar matrix2 return self,cgmath,,,,2962044.0,ns,1034343
scalar matrix2 return self,cgmath,,,,3984318.0,ns,1379124
scalar matrix2 return self,cgmath,,,,4944816.0,ns,1723905
scalar matrix2 return self,cgmath,,,,5922701.0,ns,2068686
scalar matrix2 return self,cgmath,,,,6953958.0,ns,2413467
scalar matrix2 return self,cgmath,,,,7900030.0,ns,2758248
scalar matrix2 return self,cgmath,,,,8927616.0,ns,3103029
scalar matrix2 return self,cgmath,,,,9878623.0,ns,3447810
scalar matrix2 return self,cgmath,,,,10882030.0,ns,3792591
scalar matrix2 return self,cgmath,,,,11850321.0,ns,4137372
scalar matrix2 return self,cgmath,,,,12927372.0,ns,4482153
scalar matrix2 return self,cgmath,,,,13863647.0,ns,4826934
scalar matrix2 return self,cgmath,,,,14815584.0,ns,5171715
scalar matrix2 return self,cgmath,,,,15865444.0,ns,5516496
scalar matrix2 return self,cgmath,,,,16919681.0,ns,5861277
scalar matrix2 return self,cgmath,,,,17822546.0,ns,6206058
scalar matrix2 return self,cgmath,,,,18883033.0,ns,6550839
scalar matrix2 return self,cgmath,,,,19791524.0,ns,6895620
scalar matrix2 return self,cgmath,,,,20796379.0,ns,7240401
scalar matrix2 return self,cgmath,,,,21799646.0,ns,7585182
scalar matrix2 return self,cgmath,,,,22773062.0,ns,7929963
scalar matrix2 return self,cgmath,,,,23704332.0,ns,8274744
scalar matrix2 return self,cgmath,,,,24729319.0,ns,8619525
scalar matrix2 return self,cgmath,,,,25881646.0,ns,8964306
scalar matrix2 return self,cgmath,,,,26668634.0,ns,9309087
scalar matrix2 return self,cgmath,,,,27805820.0,ns,9653868
scalar matrix2 return self,cgmath,,,,28660388.0,ns,9998649
scalar matrix2 return self,cgmath,,,,29705978.0,ns,10343430
scalar matrix2 return self,cgmath,,,,30657688.0,ns,10688211
scalar matrix2 return self,cgmath,,,,31618735.0,ns,11032992
scalar matrix2 return self,cgmath,,,,32582637.0,ns,11377773
scalar matrix2 return self,cgmath,,,,33687028.0,ns,11722554
scalar matrix2 return self,cgmath,,,,34588015.0,ns,12067335
scalar matrix2 return self,cgmath,,,,35678510.0,ns,12412116
scalar matrix2 return self,cgmath,,,,36619924.0,ns,12756897
scalar matrix2 return self,cgmath,,,,37538874.0,ns,13101678
scalar matrix2 return self,cgmath,,,,38577689.0,ns,13446459
scalar matrix2 return self,cgmath,,,,39636148.0,ns,13791240
scalar matrix2 return self,cgmath,,,,40717517.0,ns,14136021
scalar matrix2 return self,cgmath,,,,41547023.0,ns,14480802
scalar matrix2 return self,cgmath,,,,42491681.0,ns,14825583
scalar matrix2 return self,cgmath,,,,43446368.0,ns,15170364
scalar matrix2 return self,cgmath,,,,44698545.0,ns,15515145
scalar matrix2 return self,cgmath,,,,45506808.0,ns,15859926
scalar matrix2 return self,cgmath,,,,46626134.0,ns,16204707
scalar matrix2 return self,cgmath,,,,47648422.0,ns,16549488
scalar matrix2 return self,cgmath,,,,48536736.0,ns,16894269
scalar matrix2 return self,cgmath,,,,49477384.0,ns,17239050
scalar matrix2 return self,cgmath,,,,50427637.0,ns,17583831
scalar matrix2 return self,cgmath,,,,51389427.0,ns,17928612
scalar matrix2 return self,cgmath,,,,52550883.0,ns,18273393
scalar matrix2 return self,cgmath,,,,53430467.0,ns,18618174
scalar matrix2 return self,cgmath,,,,54395303.0,ns,18962955
scalar matrix2 return self,cgmath,,,,55345730.0,ns,19307736
scalar matrix2 return self,cgmath,,,,56509521.0,ns,19652517
scalar matrix2 return self,cgmath,,,,57391012.0,ns,19997298
scalar matrix2 return self,cgmath,,,,58309652.0,ns,20342079
scalar matrix2 return self,cgmath,,,,59387071.0,ns,20686860
scalar matrix2 return self,cgmath,,,,60449293.0,ns,21031641
scalar matrix2 return self,cgmath,,,,61279768.0,ns,21376422
scalar matrix2 return self,cgmath,,,,62329340.0,ns,21721203
scalar matrix2 return self,cgmath,,,,63383426.0,ns,22065984
scalar matrix2 return self,cgmath,,,,64322688.0,ns,22410765
scalar matrix2 return self,cgmath,,,,65340971.0,ns,22755546
scalar matrix2 return self,cgmath,,,,66565456.0,ns,23100327
scalar matrix2 return self,cgmath,,,,67232286.0,ns,23445108
scalar matrix2 return self,cgmath,,,,68356172.0,ns,23789889
scalar matrix2 return self,cgmath,,,,69246722.0,ns,24134670
scalar matrix2 return self,cgmath,,,,70138568.0,ns,24479451
scalar matrix2 return self,cgmath,,,,71236666.0,ns,24824232
scalar matrix2 return self,cgmath,,,,72231545.0,ns,25169013
scalar matrix2 return self,cgmath,,,,73226191.0,ns,25513794
scalar matrix2 return self,cgmath,,,,74514685.0,ns,25858575
scalar matrix2 return self,cgmath,,,,75217468.0,ns,26203356
scalar matrix2 return self,cgmath,,,,76141719.0,ns,26548137
scalar matrix2 return self,cgmath,,,,77318394.0,ns,26892918
scalar matrix2 return self,cgmath,,,,78094812.0,ns,27237699
scalar matrix2 return self,cgmath,,,,79614316.0,ns,27582480
scalar matrix2 return self,cgmath,,,,80138301.0,ns,27927261
scalar matrix2 return self,cgmath,,,,81108204.0,ns,28272042
scalar matrix2 return self,cgmath,,,,82298474.0,ns,28616823
scalar matrix2 return self,cgmath,,,,83043542.0,ns,28961604
scalar matrix2 return self,cgmath,,,,84072421.0,ns,29306385
scalar matrix2 return self,cgmath,,,,85096387.0,ns,29651166
scalar matrix2 return self,cgmath,,,,86099799.0,ns,29995947
scalar matrix2 return self,cgmath,,,,87132977.0,ns,30340728
scalar matrix2 return self,cgmath,,,,88062764.0,ns,30685509
scalar matrix2 return self,cgmath,,,,89164724.0,ns,31030290
scalar matrix2 return self,cgmath,,,,90077538.0,ns,31375071
scalar matrix2 return self,cgmath,,,,91166646.0,ns,31719852
scalar matrix2 return self,cgmath,,,,92000576.0,ns,32064633
scalar matrix2 return self,cgmath,,,,93187563.0,ns,32409414
scalar matrix2 return self,cgmath,,,,93927944.0,ns,32754195
scalar matrix2 return self,cgmath,,,,94953949.0,ns,33098976
scalar matrix2 return self,cgmath,,,,96010333.0,ns,33443757
scalar matrix2 return self,cgmath,,,,96978411.0,ns,33788538
scalar matrix2 return self,cgmath,,,,98027781.0,ns,34133319
scalar matrix2 return self,cgmath,,,,98952452.0,ns,34478100
