group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 return self,static-math,,,,987200.0,ns,343823
scalar matrix2 return self,static-math,,,,1987042.0,ns,687646
scalar matrix2 return self,static-math,,,,2954181.0,ns,1031469
scalar matrix2 return self,static-math,,,,3957395.0,ns,1375292
scalar matrix2 return self,static-math,,,,5240125.0,ns,1719115
scalar matrix2 return self,static-math,,,,5947620.0,ns,2062938
scalar matrix2 return self,static-math,,,,7051011.0,ns,2406761
scalar matrix2 return self,static-math,,,,8215916.0,ns,2750584
scalar matrix2 return self,static-math,,,,8877506.0,ns,3094407
scalar matrix2 return self,static-math,,,,9928017.0,ns,3438230
scalar matrix2 return self,static-math,,,,10904897.0,ns,3782053
scalar matrix2 return self,static-math,,,,11894713.0,ns,4125876
scalar matrix2 return self,static-math,,,,12815457.0,ns,4469699
scalar matrix2 return self,static-math,,,,13798454.0,ns,4813522
scalar matrix2 return self,static-math,,,,14823992.0,ns,5157345
scalar matrix2 return self,static-math,,,,15857968.0,ns,5501168
scalar matrix2 return self,static-math,,,,16749828.0,ns,5844991
scalar matrix2 return self,static-math,,,,17737370.0,ns,6188814
scalar matrix2 return self,static-math,,,,18721666.0,ns,6532637
scalar matrix2 return self,static-math,,,,19705708.0,ns,6876460
scalar matrix2 return self,static-math,,,,20711906.0,ns,7220283
scalar matrix2 return self,static-math,,,,21700614.0,ns,7564106
scalar matrix2 return self,static-math,,,,22715008.0,ns,7907929
scalar matrix2 return self,static-math,,,,23641375.0,ns,8251752
scalar matrix2 return self,static-math,,,,24669472.0,ns,8595575
scalar matrix2 return self,static-math,,,,25711643.0,ns,8939398
scalar matrix2 return self,static-math,,,,26619517.0,ns,9283221
scalar matrix2 return self,static-math,,,,27599608.0,ns,9627044
scalar matrix2 return self,static-math,,,,28562806.0,ns,9970867
scalar matrix2 return self,static-math,,,,29585190.0,ns,10314690
scalar matrix2 return self,static-math,,,,30757534.0,ns,10658513
scalar matrix2 return self,static-math,,,,31848757.0,ns,11002336
scalar matrix2 return self,static-math,,,,32666528.0,ns,11346159
scalar matrix2 return self,static-math,,,,33509682.0,ns,11689982
scalar matrix2 return self,static-math,,,,34511217.0,ns,12033805
scalar matrix2 return self,static-math,,,,35557995.0,ns,12377628
scalar matrix2 return self,static-math,,,,36499280.0,ns,12721451
scalar matrix2 return self,static-math,,,,37550320.0,ns,13065274
scalar matrix2 return self,static-math,,,,38455671.0,ns,13409097
scalar matrix2 return self,static-math,,,,39419733.0,ns,13752920
scalar matrix2 return self,static-math,,,,40458783.0,ns,14096743
scalar matrix2 return self,static-math,,,,41423124.0,ns,14440566
scalar matrix2 return self,static-math,,,,42424854.0,ns,14784389
scalar matrix2 return self,static-math,,,,43467461.0,ns,15128212
scalar matrix2 return self,static-math,,,,44335537.0,ns,15472035
scalar matrix2 return self,static-math,,,,45421111.0,ns,15815858
scalar matrix2 return self,static-math,,,,46447331.0,ns,16159681
scalar matrix2 return self,static-math,,,,47813427.0,ns,16503504
scalar matrix2 return self,static-math,,,,48313467.0,ns,16847327
scalar matrix2 return self,static-math,,,,49294823.0,ns,17191150
scalar matrix2 return self,static-math,,,,50557616.0,ns,17534973
scalar matrix2 return self,static-math,,,,51323659.0,ns,17878796
scalar matrix2 return self,static-math,,,,52242393.0,ns,18222619
scalar matrix2 return self,static-math,,,,53452851.0,ns,18566442
scalar matrix2 return self,static-math,,,,54257860.0,ns,18910265
scalar matrix2 return self,static-math,,,,55269704.0,ns,19254088
scalar matrix2 return self,static-math,,,,57653170.0,ns,19597911
scalar matrix2 return self,static-math,,,,57352899.0,ns,19941734
scalar matrix2 return self,static-math,,,,58599136.0,ns,20285557
scalar matrix2 return self,static-math,,,,59168300.0,ns,20629380
scalar matrix2 return self,static-math,,,,60165398.0,ns,20973203
scalar matrix2 return self,static-math,,,,61175117.0,ns,21317026
scalar matrix2 return self,static-math,,,,62159566.0,ns,21660849
scalar matrix2 return self,static-math,,,,63090893.0,ns,22004672
scalar matrix2 return self,static-math,,,,64376555.0,ns,22348495
scalar matrix2 return self,static-math,,,,65108830.0,ns,22692318
scalar matrix2 return self,static-math,,,,66064613.0,ns,23036141
scalar matrix2 return self,static-math,,,,67328657.0,ns,23379964
scalar matrix2 return self,static-math,,,,68103506.0,ns,23723787
scalar matrix2 return self,static-math,,,,69065436.0,ns,24067610
scalar matrix2 return self,static-math,,,,70120919.0,ns,24411433
scalar matrix2 return self,static-math,,,,70952536.0,ns,24755256
scalar matrix2 return self,static-math,,,,72088599.0,ns,25099079
scalar matrix2 return self,static-math,,,,73036131.0,ns,25442902
scalar matrix2 return self,static-math,,,,73943560.0,ns,25786725
scalar matrix2 return self,static-math,,,,75104888.0,ns,26130548
scalar matrix2 return self,static-math,,,,76396437.0,ns,26474371
scalar matrix2 return self,static-math,,,,76854547.0,ns,26818194
scalar matrix2 return self,static-math,,,,78049453.0,ns,27162017
scalar matrix2 return self,static-math,,,,78921881.0,ns,27505840
scalar matrix2 return self,static-math,,,,79893948.0,ns,27849663
scalar matrix2 return self,static-math,,,,80917840.0,ns,28193486
scalar matrix2 return self,static-math,,,,81923794.0,ns,28537309
scalar matrix2 return self,static-math,,,,84484604.0,ns,28881132
scalar matrix2 return self,static-math,,,,88027957.0,ns,29224955
scalar matrix2 return self,static-math,,,,85866981.0,ns,29568778
scalar matrix2 return self,static-math,,,,85934039.0,ns,29912601
scalar matrix2 return self,static-math,,,,86812411.0,ns,30256424
scalar matrix2 return self,static-math,,,,87933381.0,ns,30600247
scalar matrix2 return self,static-math,,,,88723116.0,ns,30944070
scalar matrix2 return self,static-math,,,,90132171.0,ns,31287893
scalar matrix2 return self,static-math,,,,90699759.0,ns,31631716
scalar matrix2 return self,static-math,,,,91804900.0,ns,31975539
scalar matrix2 return self,static-math,,,,92680315.0,ns,32319362
scalar matrix2 return self,static-math,,,,94236949.0,ns,32663185
scalar matrix2 return self,static-math,,,,94800010.0,ns,33007008
scalar matrix2 return self,static-math,,,,95665772.0,ns,33350831
scalar matrix2 return self,static-math,,,,97037243.0,ns,33694654
scalar matrix2 return self,static-math,,,,97665545.0,ns,34038477
scalar matrix2 return self,static-math,,,,98676724.0,ns,34382300
