group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix3 determinant,cgmath,,,,1118260.0,ns,262869
scalar matrix3 determinant,cgmath,,,,2107249.0,ns,525738
scalar matrix3 determinant,cgmath,,,,3136259.0,ns,788607
scalar matrix3 determinant,cgmath,,,,4133901.0,ns,1051476
scalar matrix3 determinant,cgmath,,,,5066773.0,ns,1314345
scalar matrix3 determinant,cgmath,,,,6056252.0,ns,1577214
scalar matrix3 determinant,cgmath,,,,7102987.0,ns,1840083
scalar matrix3 determinant,cgmath,,,,8029400.0,ns,2102952
scalar matrix3 determinant,cgmath,,,,9075405.0,ns,2365821
scalar matrix3 determinant,cgmath,,,,10098341.0,ns,2628690
scalar matrix3 determinant,cgmath,,,,11055768.0,ns,2891559
scalar matrix3 determinant,cgmath,,,,12071891.0,ns,3154428
scalar matrix3 determinant,cgmath,,,,13005881.0,ns,3417297
scalar matrix3 determinant,cgmath,,,,14076954.0,ns,3680166
scalar matrix3 determinant,cgmath,,,,15029356.0,ns,3943035
scalar matrix3 determinant,cgmath,,,,15952048.0,ns,4205904
scalar matrix3 determinant,cgmath,,,,16959656.0,ns,4468773
scalar matrix3 determinant,cgmath,,,,17926290.0,ns,4731642
scalar matrix3 determinant,cgmath,,,,18891936.0,ns,4994511
scalar matrix3 determinant,cgmath,,,,19931165.0,ns,5257380
scalar matrix3 determinant,cgmath,,,,20974639.0,ns,5520249
scalar matrix3 determinant,cgmath,,,,21929977.0,ns,5783118
scalar matrix3 determinant,cgmath,,,,22927914.0,ns,6045987
scalar matrix3 determinant,cgmath,,,,23875025.0,ns,6308856
scalar matrix3 determinant,cgmath,,,,24841781.0,ns,6571725
scalar matrix3 determinant,cgmath,,,,25849033.0,ns,6834594
scalar matrix3 determinant,cgmath,,,,26820047.0,ns,7097463
scalar matrix3 determinant,cgmath,,,,27821652.0,ns,7360332
scalar matrix3 determinant,cgmath,,,,28932818.0,ns,7623201
scalar matrix3 determinant,cgmath,,,,29913237.0,ns,7886070
scalar matrix3 determinant,cgmath,,,,30855897.0,ns,8148939
scalar matrix3 determinant,cgmath,,,,31775856.0,ns,8411808
scalar matrix3 determinant,cgmath,,,,32782749.0,ns,8674677
scalar matrix3 determinant,cgmath,,,,33728784.0,ns,8937546
scalar matrix3 determinant,cgmath,,,,34739001.0,ns,9200415
scalar matrix3 determinant,cgmath,,,,35727564.0,ns,9463284
scalar matrix3 determinant,cgmath,,,,36764187.0,ns,9726153
scalar matrix3 determinant,cgmath,,,,37719328.0,ns,9989022
scalar matrix3 determinant,cgmath,,,,38672560.0,ns,10251891
scalar matrix3 determinant,cgmath,,,,39722502.0,ns,10514760
scalar matrix3 determinant,cgmath,,,,40668812.0,ns,10777629
scalar matrix3 determinant,cgmath,,,,41637399.0,ns,11040498
scalar matrix3 determinant,cgmath,,,,42640483.0,ns,11303367
scalar matrix3 determinant,cgmath,,,,43631719.0,ns,11566236
scalar matrix3 determinant,cgmath,,,,44618401.0,ns,11829105
scalar matrix3 determinant,cgmath,,,,45583384.0,ns,12091974
scalar matrix3 determinant,cgmath,,,,46579678.0,ns,12354843
scalar matrix3 determinant,cgmath,,,,47605172.0,ns,12617712
scalar matrix3 determinant,cgmath,,,,48635937.0,ns,12880581
scalar matrix3 determinant,cgmath,,,,49554361.0,ns,13143450
scalar matrix3 determinant,cgmath,,,,50531032.0,ns,13406319
scalar matrix3 determinant,cgmath,,,,51592038.0,ns,13669188
scalar matrix3 determinant,cgmath,,,,52542186.0,ns,13932057
scalar matrix3 determinant,cgmath,,,,53567697.0,ns,14194926
scalar matrix3 determinant,cgmath,,,,54514874.0,ns,14457795
scalar matrix3 determinant,cgmath,,,,55463276.0,ns,14720664
scalar matrix3 determinant,cgmath,,,,56493147.0,ns,14983533
scalar matrix3 determinant,cgmath,,,,57545100.0,ns,15246402
