group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix3 determinant,nalgebra,,,,1113943.0,ns,259700
scalar matrix3 determinant,nalgebra,,,,2102532.0,ns,519400
scalar matrix3 determinant,nalgebra,,,,3093285.0,ns,779100
scalar matrix3 determinant,nalgebra,,,,4126773.0,ns,1038800
scalar matrix3 determinant,nalgebra,,,,5060556.0,ns,1298500
scalar matrix3 determinant,nalgebra,,,,6104561.0,ns,1558200
scalar matrix3 determinant,nalgebra,,,,7055151.0,ns,1817900
scalar matrix3 determinant,nalgebra,,,,8024310.0,ns,2077600
scalar matrix3 determinant,nalgebra,,,,9029175.0,ns,2337300
scalar matrix3 determinant,nalgebra,,,,10080779.0,ns,2597000
scalar matrix3 determinant,nalgebra,,,,11004440.0,ns,2856700
scalar matrix3 determinant,nalgebra,,,,11988916.0,ns,3116400
scalar matrix3 determinant,nalgebra,,,,12954820.0,ns,3376100
scalar matrix3 determinant,nalgebra,,,,13942989.0,ns,3635800
scalar matrix3 determinant,nalgebra,,,,14955357.0,ns,3895500
scalar matrix3 determinant,nalgebra,,,,15947519.0,ns,4155200
scalar matrix3 determinant,nalgebra,,,,16929916.0,ns,4414900
scalar matrix3 determinant,nalgebra,,,,17917353.0,ns,4674600
scalar matrix3 determinant,nalgebra,,,,18895182.0,ns,4934300
scalar matrix3 determinant,nalgebra,,,,19881327.0,ns,5194000
scalar matrix3 determinant,nalgebra,,,,20908002.0,ns,5453700
scalar matrix3 determinant,nalgebra,,,,21858794.0,ns,5713400
scalar matrix3 determinant,nalgebra,,,,22884137.0,ns,5973100
scalar matrix3 determinant,nalgebra,,,,23817865.0,ns,6232800
scalar matrix3 determinant,nalgebra,,,,24860052.0,ns,6492500
scalar matrix3 determinant,nalgebra,,,,25883082.0,ns,6752200
scalar matrix3 determinant,nalgebra,,,,26947575.0,ns,7011900
scalar matrix3 determinant,nalgebra,,,,27866752.0,ns,7271600
scalar matrix3 determinant,nalgebra,,,,28823826.0,ns,7531300
scalar matrix3 determinant,nalgebra,,,,29889549.0,ns,7791000
scalar matrix3 determinant,nalgebra,,,,30763454.0,ns,8050700
scalar matrix3 determinant,nalgebra,,,,31764622.0,ns,8310400
scalar matrix3 determinant,nalgebra,,,,32739575.0,ns,8570100
scalar matrix3 determinant,nalgebra,,,,33701956.0,ns,8829800
scalar matrix3 determinant,nalgebra,,,,34726806.0,ns,9089500
scalar matrix3 determinant,nalgebra,,,,35690143.0,ns,9349200
scalar matrix3 determinant,nalgebra,,,,36744169.0,ns,9608900
scalar matrix3 determinant,nalgebra,,,,37685142.0,ns,9868600
scalar matrix3 determinant,nalgebra,,,,38668212.0,ns,10128300
scalar matrix3 determinant,nalgebra,,,,39660283.0,ns,10388000
scalar matrix3 determinant,nalgebra,,,,40753291.0,ns,10647700
scalar matrix3 determinant,nalgebra,,,,41628947.0,ns,10907400
scalar matrix3 determinant,nalgebra,,,,42636325.0,ns,11167100
scalar matrix3 determinant,nalgebra,,,,43613143.0,ns,11426800
scalar matrix3 determinant,nalgebra,,,,44608909.0,ns,11686500
scalar matrix3 determinant,nalgebra,,,,45547460.0,ns,11946200
scalar matrix3 determinant,nalgebra,,,,46550725.0,ns,12205900
scalar matrix3 determinant,nalgebra,,,,47583931.0,ns,12465600
scalar matrix3 determinant,nalgebra,,,,48600406.0,ns,12725300
scalar matrix3 determinant,nalgebra,,,,49524760.0,ns,12985000
scalar matrix3 determinant,nalgebra,,,,50518727.0,ns,13244700
scalar matrix3 determinant,nalgebra,,,,51473667.0,ns,13504400
scalar matrix3 determinant,nalgebra,,,,52586226.0,ns,13764100
scalar matrix3 determinant,nalgebra,,,,53512274.0,ns,14023800
scalar matrix3 determinant,nalgebra,,,,54481122.0,ns,14283500
scalar matrix3 determinant,nalgebra,,,,55386158.0,ns,14543200
scalar matrix3 determinant,nalgebra,,,,56443389.0,ns,14802900
scalar matrix3 determinant,nalgebra,,,,57542848.0,ns,15062600
scalar matrix3 determinant,nalgebra,,,,58458015.0,ns,15322300
scalar matrix3 determinant,nalgebra,,,,59586770.0,ns,15582000
scalar matrix3 determinant,nalgebra,,,,60443247.0,ns,15841700
scalar matrix3 determinant,nalgebra,,,,61396398.0,ns,16101400
scalar matrix3 determinant,nalgebra,,,,62721024.0,ns,16361100
scalar matrix3 determinant,nalgebra,,,,63378260.0,ns,16620800
scalar matrix3 determinant,nalgebra,,,,64317894.0,ns,16880500
scalar matrix3 determinant,nalgebra,,,,65356896.0,ns,17140200
scalar matrix3 determinant,nalgebra,,,,66391197.0,ns,17399900
scalar matrix3 determinant,nalgebra,,,,67300199.0,ns,17659600
scalar matrix3 determinant,nalgebra,,,,68366389.0,ns,17919300
scalar matrix3 determinant,nalgebra,,,,69393654.0,ns,18179000
scalar matrix3 determinant,nalgebra,,,,70272531.0,ns,18438700
scalar matrix3 determinant,nalgebra,,,,71236688.0,ns,18698400
scalar matrix3 determinant,nalgebra,,,,72360484.0,ns,18958100
scalar matrix3 determinant,nalgebra,,,,73328285.0,ns,19217800
scalar matrix3 determinant,nalgebra,,,,74401994.0,ns,19477500
scalar matrix3 determinant,nalgebra,,,,75263145.0,ns,19737200
scalar matrix3 determinant,nalgebra,,,,76167976.0,ns,19996900
scalar matrix3 determinant,nalgebra,,,,77167035.0,ns,20256600
scalar matrix3 determinant,nalgebra,,,,78202093.0,ns,20516300
scalar matrix3 determinant,nalgebra,,,,79195561.0,ns,20776000
scalar matrix3 determinant,nalgebra,,,,80163685.0,ns,21035700
scalar matrix3 determinant,nalgebra,,,,81188461.0,ns,21295400
scalar matrix3 determinant,nalgebra,,,,82241220.0,ns,21555100
scalar matrix3 determinant,nalgebra,,,,83087861.0,ns,21814800
scalar matrix3 determinant,nalgebra,,,,84079340.0,ns,22074500
scalar matrix3 determinant,nalgebra,,,,85234173.0,ns,22334200
scalar matrix3 determinant,nalgebra,,,,86142333.0,ns,22593900
scalar matrix3 determinant,nalgebra,,,,87284219.0,ns,22853600
scalar matrix3 determinant,nalgebra,,,,88134948.0,ns,23113300
scalar matrix3 determinant,nalgebra,,,,89096336.0,ns,23373000
scalar matrix3 determinant,nalgebra,,,,90025524.0,ns,23632700
scalar matrix3 determinant,nalgebra,,,,91128067.0,ns,23892400
scalar matrix3 determinant,nalgebra,,,,91991458.0,ns,24152100
scalar matrix3 determinant,nalgebra,,,,93184298.0,ns,24411800
scalar matrix3 determinant,nalgebra,,,,94090576.0,ns,24671500
scalar matrix3 determinant,nalgebra,,,,95013991.0,ns,24931200
scalar matrix3 determinant,nalgebra,,,,96011597.0,ns,25190900
scalar matrix3 determinant,nalgebra,,,,96953024.0,ns,25450600
scalar matrix3 determinant,nalgebra,,,,98079634.0,ns,25710300
scalar matrix3 determinant,nalgebra,,,,99322805.0,ns,25970000
