group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix3 inverse,ultraviolet,,,,1048456.0,ns,44863
scalar matrix3 inverse,ultraviolet,,,,1976867.0,ns,89726
scalar matrix3 inverse,ultraviolet,,,,2961888.0,ns,134589
scalar matrix3 inverse,ultraviolet,,,,4004406.0,ns,179452
scalar matrix3 inverse,ultraviolet,,,,4948174.0,ns,224315
scalar matrix3 inverse,ultraviolet,,,,5921424.0,ns,269178
scalar matrix3 inverse,ultraviolet,,,,6945952.0,ns,314041
scalar matrix3 inverse,ultraviolet,,,,7914366.0,ns,358904
scalar matrix3 inverse,ultraviolet,,,,8881937.0,ns,403767
scalar matrix3 inverse,ultraviolet,,,,9885647.0,ns,448630
scalar matrix3 inverse,ultraviolet,,,,10918530.0,ns,493493
scalar matrix3 inverse,ultraviolet,,,,11861046.0,ns,538356
scalar matrix3 inverse,ultraviolet,,,,12826380.0,ns,583219
scalar matrix3 inverse,ultraviolet,,,,13836005.0,ns,628082
scalar matrix3 inverse,ultraviolet,,,,14799057.0,ns,672945
scalar matrix3 inverse,ultraviolet,,,,15823348.0,ns,717808
scalar matrix3 inverse,ultraviolet,,,,16792563.0,ns,762671
scalar matrix3 inverse,ultraviolet,,,,17793084.0,ns,807534
scalar matrix3 inverse,ultraviolet,,,,18789522.0,ns,852397
scalar matrix3 inverse,ultraviolet,,,,19775682.0,ns,897260
scalar matrix3 inverse,ultraviolet,,,,20743759.0,ns,942123
scalar matrix3 inverse,ultraviolet,,,,21822895.0,ns,986986
scalar matrix3 inverse,ultraviolet,,,,22728582.0,ns,1031849
scalar matrix3 inverse,ultraviolet,,,,23703164.0,ns,1076712
scalar matrix3 inverse,ultraviolet,,,,24674833.0,ns,1121575
scalar matrix3 inverse,ultraviolet,,,,25659824.0,ns,1166438
scalar matrix3 inverse,ultraviolet,,,,26682109.0,ns,1211301
scalar matrix3 inverse,ultraviolet,,,,27646328.0,ns,1256164
scalar matrix3 inverse,ultraviolet,,,,28768471.0,ns,1301027
scalar matrix3 inverse,ultraviolet,,,,29804358.0,ns,1345890
scalar matrix3 inverse,ultraviolet,,,,30598240.0,ns,1390753
scalar matrix3 inverse,ultraviolet,,,,31600631.0,ns,1435616
