group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix3 mul matrix3,vek,,,,1106995.0,ns,24621
scalar matrix3 mul matrix3,vek,,,,2095368.0,ns,49242
scalar matrix3 mul matrix3,vek,,,,3080433.0,ns,73863
scalar matrix3 mul matrix3,vek,,,,4067179.0,ns,98484
scalar matrix3 mul matrix3,vek,,,,5113355.0,ns,123105
scalar matrix3 mul matrix3,vek,,,,6053713.0,ns,147726
scalar matrix3 mul matrix3,vek,,,,7016003.0,ns,172347
scalar matrix3 mul matrix3,vek,,,,8005419.0,ns,196968
scalar matrix3 mul matrix3,vek,,,,8989246.0,ns,221589
scalar matrix3 mul matrix3,vek,,,,10000105.0,ns,246210
scalar matrix3 mul matrix3,vek,,,,10961185.0,ns,270831
scalar matrix3 mul matrix3,vek,,,,11948056.0,ns,295452
scalar matrix3 mul matrix3,vek,,,,12973001.0,ns,320073
scalar matrix3 mul matrix3,vek,,,,13914844.0,ns,344694
scalar matrix3 mul matrix3,vek,,,,14941688.0,ns,369315
scalar matrix3 mul matrix3,vek,,,,15886266.0,ns,393936
scalar matrix3 mul matrix3,vek,,,,16939404.0,ns,418557
scalar matrix3 mul matrix3,vek,,,,17856605.0,ns,443178
scalar matrix3 mul matrix3,vek,,,,18858884.0,ns,467799
scalar matrix3 mul matrix3,vek,,,,19865232.0,ns,492420
scalar matrix3 mul matrix3,vek,,,,20831099.0,ns,517041
scalar matrix3 mul matrix3,vek,,,,21817794.0,ns,541662
scalar matrix3 mul matrix3,vek,,,,22781228.0,ns,566283
scalar matrix3 mul matrix3,vek,,,,23767246.0,ns,590904
scalar matrix3 mul matrix3,vek,,,,24754199.0,ns,615525
scalar matrix3 mul matrix3,vek,,,,25802820.0,ns,640146
scalar matrix3 mul matrix3,vek,,,,26743380.0,ns,664767
scalar matrix3 mul matrix3,vek,,,,27776925.0,ns,689388
scalar matrix3 mul matrix3,vek,,,,28732756.0,ns,714009
scalar matrix3 mul matrix3,vek,,,,29717741.0,ns,738630
scalar matrix3 mul matrix3,vek,,,,30683253.0,ns,763251
scalar matrix3 mul matrix3,vek,,,,31689534.0,ns,787872
scalar matrix3 mul matrix3,vek,,,,32739417.0,ns,812493
scalar matrix3 mul matrix3,vek,,,,33684208.0,ns,837114
scalar matrix3 mul matrix3,vek,,,,34686393.0,ns,861735
scalar matrix3 mul matrix3,vek,,,,35608850.0,ns,886356
scalar matrix3 mul matrix3,vek,,,,36575331.0,ns,910977
scalar matrix3 mul matrix3,vek,,,,37744733.0,ns,935598
scalar matrix3 mul matrix3,vek,,,,38592729.0,ns,960219
scalar matrix3 mul matrix3,vek,,,,39787097.0,ns,984840
scalar matrix3 mul matrix3,vek,,,,40537520.0,ns,1009461
scalar matrix3 mul matrix3,vek,,,,41571572.0,ns,1034082
scalar matrix3 mul matrix3,vek,,,,42642797.0,ns,1058703
scalar matrix3 mul matrix3,vek,,,,43748968.0,ns,1083324
scalar matrix3 mul matrix3,vek,,,,44481263.0,ns,1107945
scalar matrix3 mul matrix3,vek,,,,45487621.0,ns,1132566
scalar matrix3 mul matrix3,vek,,,,46472480.0,ns,1157187
scalar matrix3 mul matrix3,vek,,,,47428675.0,ns,1181808
scalar matrix3 mul matrix3,vek,,,,48457848.0,ns,1206429
scalar matrix3 mul matrix3,vek,,,,49403104.0,ns,1231050
scalar matrix3 mul matrix3,vek,,,,50406545.0,ns,1255671
scalar matrix3 mul matrix3,vek,,,,51396337.0,ns,1280292
scalar matrix3 mul matrix3,vek,,,,52443260.0,ns,1304913
scalar matrix3 mul matrix3,vek,,,,53321710.0,ns,1329534
scalar matrix3 mul matrix3,vek,,,,54350329.0,ns,1354155
scalar matrix3 mul matrix3,vek,,,,55476541.0,ns,1378776
scalar matrix3 mul matrix3,vek,,,,56343324.0,ns,1403397
scalar matrix3 mul matrix3,vek,,,,57307440.0,ns,1428018
scalar matrix3 mul matrix3,vek,,,,58344222.0,ns,1452639
scalar matrix3 mul matrix3,vek,,,,59493304.0,ns,1477260
scalar matrix3 mul matrix3,vek,,,,60283956.0,ns,1501881
scalar matrix3 mul matrix3,vek,,,,61270250.0,ns,1526502
scalar matrix3 mul matrix3,vek,,,,62292935.0,ns,1551123
scalar matrix3 mul matrix3,vek,,,,63355683.0,ns,1575744
scalar matrix3 mul matrix3,vek,,,,64264189.0,ns,1600365
scalar matrix3 mul matrix3,vek,,,,65200297.0,ns,1624986
scalar matrix3 mul matrix3,vek,,,,66184042.0,ns,1649607
scalar matrix3 mul matrix3,vek,,,,67156991.0,ns,1674228
scalar matrix3 mul matrix3,vek,,,,68231234.0,ns,1698849
scalar matrix3 mul matrix3,vek,,,,69171431.0,ns,1723470
scalar matrix3 mul matrix3,vek,,,,70214906.0,ns,1748091
scalar matrix3 mul matrix3,vek,,,,71253039.0,ns,1772712
scalar matrix3 mul matrix3,vek,,,,72069340.0,ns,1797333
scalar matrix3 mul matrix3,vek,,,,73119532.0,ns,1821954
scalar matrix3 mul matrix3,vek,,,,74121580.0,ns,1846575
scalar matrix3 mul matrix3,vek,,,,75141764.0,ns,1871196
scalar matrix3 mul matrix3,vek,,,,76065595.0,ns,1895817
scalar matrix3 mul matrix3,vek,,,,77058080.0,ns,1920438
scalar matrix3 mul matrix3,vek,,,,78044976.0,ns,1945059
scalar matrix3 mul matrix3,vek,,,,79001285.0,ns,1969680
scalar matrix3 mul matrix3,vek,,,,79925470.0,ns,1994301
scalar matrix3 mul matrix3,vek,,,,81069202.0,ns,2018922
scalar matrix3 mul matrix3,vek,,,,81908740.0,ns,2043543
scalar matrix3 mul matrix3,vek,,,,83010199.0,ns,2068164
scalar matrix3 mul matrix3,vek,,,,84018415.0,ns,2092785
scalar matrix3 mul matrix3,vek,,,,84963289.0,ns,2117406
scalar matrix3 mul matrix3,vek,,,,86441083.0,ns,2142027
scalar matrix3 mul matrix3,vek,,,,86900823.0,ns,2166648
scalar matrix3 mul matrix3,vek,,,,87903496.0,ns,2191269
scalar matrix3 mul matrix3,vek,,,,88867428.0,ns,2215890
scalar matrix3 mul matrix3,vek,,,,89937537.0,ns,2240511
scalar matrix3 mul matrix3,vek,,,,90797187.0,ns,2265132
scalar matrix3 mul matrix3,vek,,,,91845337.0,ns,2289753
scalar matrix3 mul matrix3,vek,,,,92890241.0,ns,2314374
scalar matrix3 mul matrix3,vek,,,,93877160.0,ns,2338995
scalar matrix3 mul matrix3,vek,,,,94852704.0,ns,2363616
scalar matrix3 mul matrix3,vek,,,,95879174.0,ns,2388237
scalar matrix3 mul matrix3,vek,,,,96801262.0,ns,2412858
scalar matrix3 mul matrix3,vek,,,,97912091.0,ns,2437479
scalar matrix3 mul matrix3,vek,,,,98864384.0,ns,2462100
