group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix3 return self,cgmath,,,,1114260.0,ns,182487
scalar matrix3 return self,cgmath,,,,2101662.0,ns,364974
scalar matrix3 return self,cgmath,,,,3150770.0,ns,547461
scalar matrix3 return self,cgmath,,,,4175057.0,ns,729948
scalar matrix3 return self,cgmath,,,,5072095.0,ns,912435
scalar matrix3 return self,cgmath,,,,6057029.0,ns,1094922
scalar matrix3 return self,cgmath,,,,7071606.0,ns,1277409
scalar matrix3 return self,cgmath,,,,8035797.0,ns,1459896
scalar matrix3 return self,cgmath,,,,9028515.0,ns,1642383
scalar matrix3 return self,cgmath,,,,10034156.0,ns,1824870
scalar matrix3 return self,cgmath,,,,11006798.0,ns,2007357
scalar matrix3 return self,cgmath,,,,11994934.0,ns,2189844
scalar matrix3 return self,cgmath,,,,13023745.0,ns,2372331
scalar matrix3 return self,cgmath,,,,13968729.0,ns,2554818
scalar matrix3 return self,cgmath,,,,14960097.0,ns,2737305
scalar matrix3 return self,cgmath,,,,15970050.0,ns,2919792
scalar matrix3 return self,cgmath,,,,16997781.0,ns,3102279
scalar matrix3 return self,cgmath,,,,18789489.0,ns,3284766
scalar matrix3 return self,cgmath,,,,19026307.0,ns,3467253
scalar matrix3 return self,cgmath,,,,19989514.0,ns,3649740
scalar matrix3 return self,cgmath,,,,20920327.0,ns,3832227
scalar matrix3 return self,cgmath,,,,21903313.0,ns,4014714
scalar matrix3 return self,cgmath,,,,22914511.0,ns,4197201
scalar matrix3 return self,cgmath,,,,23864813.0,ns,4379688
scalar matrix3 return self,cgmath,,,,24880419.0,ns,4562175
scalar matrix3 return self,cgmath,,,,25859695.0,ns,4744662
scalar matrix3 return self,cgmath,,,,26900561.0,ns,4927149
scalar matrix3 return self,cgmath,,,,27879906.0,ns,5109636
scalar matrix3 return self,cgmath,,,,28867776.0,ns,5292123
scalar matrix3 return self,cgmath,,,,29849948.0,ns,5474610
scalar matrix3 return self,cgmath,,,,30825012.0,ns,5657097
scalar matrix3 return self,cgmath,,,,31792743.0,ns,5839584
scalar matrix3 return self,cgmath,,,,32760833.0,ns,6022071
scalar matrix3 return self,cgmath,,,,33887840.0,ns,6204558
scalar matrix3 return self,cgmath,,,,34768891.0,ns,6387045
scalar matrix3 return self,cgmath,,,,35749902.0,ns,6569532
scalar matrix3 return self,cgmath,,,,36779807.0,ns,6752019
scalar matrix3 return self,cgmath,,,,37949865.0,ns,6934506
scalar matrix3 return self,cgmath,,,,38815295.0,ns,7116993
scalar matrix3 return self,cgmath,,,,39771009.0,ns,7299480
scalar matrix3 return self,cgmath,,,,40696481.0,ns,7481967
scalar matrix3 return self,cgmath,,,,41991571.0,ns,7664454
scalar matrix3 return self,cgmath,,,,42717561.0,ns,7846941
scalar matrix3 return self,cgmath,,,,43745632.0,ns,8029428
scalar matrix3 return self,cgmath,,,,44715489.0,ns,8211915
scalar matrix3 return self,cgmath,,,,45781817.0,ns,8394402
scalar matrix3 return self,cgmath,,,,46750145.0,ns,8576889
scalar matrix3 return self,cgmath,,,,48501757.0,ns,8759376
scalar matrix3 return self,cgmath,,,,48904335.0,ns,8941863
scalar matrix3 return self,cgmath,,,,49663438.0,ns,9124350
scalar matrix3 return self,cgmath,,,,51118651.0,ns,9306837
scalar matrix3 return self,cgmath,,,,51875080.0,ns,9489324
scalar matrix3 return self,cgmath,,,,52675451.0,ns,9671811
scalar matrix3 return self,cgmath,,,,53598717.0,ns,9854298
scalar matrix3 return self,cgmath,,,,54980694.0,ns,10036785
scalar matrix3 return self,cgmath,,,,55653556.0,ns,10219272
scalar matrix3 return self,cgmath,,,,56549596.0,ns,10401759
scalar matrix3 return self,cgmath,,,,57532325.0,ns,10584246
scalar matrix3 return self,cgmath,,,,58950916.0,ns,10766733
