group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix3 return self,vek,,,,1111516.0,ns,182295
scalar matrix3 return self,vek,,,,2106322.0,ns,364590
scalar matrix3 return self,vek,,,,3095879.0,ns,546885
scalar matrix3 return self,vek,,,,4220472.0,ns,729180
scalar matrix3 return self,vek,,,,5074068.0,ns,911475
scalar matrix3 return self,vek,,,,6062997.0,ns,1093770
scalar matrix3 return self,vek,,,,7060261.0,ns,1276065
scalar matrix3 return self,vek,,,,8041986.0,ns,1458360
scalar matrix3 return self,vek,,,,9032771.0,ns,1640655
scalar matrix3 return self,vek,,,,10028531.0,ns,1822950
scalar matrix3 return self,vek,,,,11034174.0,ns,2005245
scalar matrix3 return self,vek,,,,12000401.0,ns,2187540
scalar matrix3 return self,vek,,,,12990035.0,ns,2369835
scalar matrix3 return self,vek,,,,13983188.0,ns,2552130
scalar matrix3 return self,vek,,,,15013029.0,ns,2734425
scalar matrix3 return self,vek,,,,16002806.0,ns,2916720
scalar matrix3 return self,vek,,,,16947817.0,ns,3099015
scalar matrix3 return self,vek,,,,17941951.0,ns,3281310
scalar matrix3 return self,vek,,,,18928894.0,ns,3463605
scalar matrix3 return self,vek,,,,19920579.0,ns,3645900
scalar matrix3 return self,vek,,,,20908851.0,ns,3828195
scalar matrix3 return self,vek,,,,21990576.0,ns,4010490
scalar matrix3 return self,vek,,,,22905537.0,ns,4192785
scalar matrix3 return self,vek,,,,23882326.0,ns,4375080
scalar matrix3 return self,vek,,,,24929864.0,ns,4557375
scalar matrix3 return self,vek,,,,25896967.0,ns,4739670
scalar matrix3 return self,vek,,,,26845555.0,ns,4921965
scalar matrix3 return self,vek,,,,27858092.0,ns,5104260
scalar matrix3 return self,vek,,,,28836749.0,ns,5286555
scalar matrix3 return self,vek,,,,29816589.0,ns,5468850
scalar matrix3 return self,vek,,,,30806064.0,ns,5651145
scalar matrix3 return self,vek,,,,31834914.0,ns,5833440
scalar matrix3 return self,vek,,,,32826193.0,ns,6015735
scalar matrix3 return self,vek,,,,33816209.0,ns,6198030
scalar matrix3 return self,vek,,,,34788068.0,ns,6380325
scalar matrix3 return self,vek,,,,35752793.0,ns,6562620
scalar matrix3 return self,vek,,,,36781120.0,ns,6744915
scalar matrix3 return self,vek,,,,37778541.0,ns,6927210
scalar matrix3 return self,vek,,,,38741131.0,ns,7109505
scalar matrix3 return self,vek,,,,39715841.0,ns,7291800
scalar matrix3 return self,vek,,,,40746153.0,ns,7474095
scalar matrix3 return self,vek,,,,41732221.0,ns,7656390
scalar matrix3 return self,vek,,,,42728549.0,ns,7838685
scalar matrix3 return self,vek,,,,43671057.0,ns,8020980
scalar matrix3 return self,vek,,,,44662324.0,ns,8203275
scalar matrix3 return self,vek,,,,45698917.0,ns,8385570
scalar matrix3 return self,vek,,,,46743518.0,ns,8567865
scalar matrix3 return self,vek,,,,47674165.0,ns,8750160
scalar matrix3 return self,vek,,,,48618685.0,ns,8932455
scalar matrix3 return self,vek,,,,49694091.0,ns,9114750
scalar matrix3 return self,vek,,,,50639868.0,ns,9297045
scalar matrix3 return self,vek,,,,51585639.0,ns,9479340
scalar matrix3 return self,vek,,,,52598170.0,ns,9661635
scalar matrix3 return self,vek,,,,53839222.0,ns,9843930
scalar matrix3 return self,vek,,,,54662853.0,ns,10026225
scalar matrix3 return self,vek,,,,55575061.0,ns,10208520
scalar matrix3 return self,vek,,,,56617990.0,ns,10390815
scalar matrix3 return self,vek,,,,57589431.0,ns,10573110
scalar matrix3 return self,vek,,,,58578057.0,ns,10755405
scalar matrix3 return self,vek,,,,59529152.0,ns,10937700
scalar matrix3 return self,vek,,,,60517805.0,ns,11119995
scalar matrix3 return self,vek,,,,61914457.0,ns,11302290
scalar matrix3 return self,vek,,,,62533456.0,ns,11484585
scalar matrix3 return self,vek,,,,63509238.0,ns,11666880
scalar matrix3 return self,vek,,,,64554719.0,ns,11849175
scalar matrix3 return self,vek,,,,65468699.0,ns,12031470
scalar matrix3 return self,vek,,,,66583247.0,ns,12213765
scalar matrix3 return self,vek,,,,67537812.0,ns,12396060
scalar matrix3 return self,vek,,,,68460234.0,ns,12578355
scalar matrix3 return self,vek,,,,69593753.0,ns,12760650
scalar matrix3 return self,vek,,,,70477013.0,ns,12942945
scalar matrix3 return self,vek,,,,71471523.0,ns,13125240
scalar matrix3 return self,vek,,,,72414861.0,ns,13307535
scalar matrix3 return self,vek,,,,73425334.0,ns,13489830
scalar matrix3 return self,vek,,,,74394011.0,ns,13672125
scalar matrix3 return self,vek,,,,75376650.0,ns,13854420
scalar matrix3 return self,vek,,,,76407744.0,ns,14036715
scalar matrix3 return self,vek,,,,77382469.0,ns,14219010
scalar matrix3 return self,vek,,,,78546814.0,ns,14401305
scalar matrix3 return self,vek,,,,79364285.0,ns,14583600
scalar matrix3 return self,vek,,,,80348016.0,ns,14765895
scalar matrix3 return self,vek,,,,81410962.0,ns,14948190
scalar matrix3 return self,vek,,,,82364112.0,ns,15130485
scalar matrix3 return self,vek,,,,83373968.0,ns,15312780
scalar matrix3 return self,vek,,,,84444397.0,ns,15495075
scalar matrix3 return self,vek,,,,85370147.0,ns,15677370
scalar matrix3 return self,vek,,,,86251077.0,ns,15859665
scalar matrix3 return self,vek,,,,87323565.0,ns,16041960
scalar matrix3 return self,vek,,,,88321909.0,ns,16224255
scalar matrix3 return self,vek,,,,89241573.0,ns,16406550
scalar matrix3 return self,vek,,,,90298731.0,ns,16588845
scalar matrix3 return self,vek,,,,91322881.0,ns,16771140
scalar matrix3 return self,vek,,,,92273094.0,ns,16953435
scalar matrix3 return self,vek,,,,93331750.0,ns,17135730
scalar matrix3 return self,vek,,,,94617133.0,ns,17318025
scalar matrix3 return self,vek,,,,95221291.0,ns,17500320
scalar matrix3 return self,vek,,,,96228815.0,ns,17682615
scalar matrix3 return self,vek,,,,97198492.0,ns,17864910
scalar matrix3 return self,vek,,,,98218338.0,ns,18047205
scalar matrix3 return self,vek,,,,99121269.0,ns,18229500
