group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix4 mul vector4,cgmath,1,1,elements,1113444.0,ns,145613
scalar matrix4 mul vector4,cgmath,1,1,elements,2140959.0,ns,291226
scalar matrix4 mul vector4,cgmath,1,1,elements,3125268.0,ns,436839
scalar matrix4 mul vector4,cgmath,1,1,elements,4111840.0,ns,582452
scalar matrix4 mul vector4,cgmath,1,1,elements,5113582.0,ns,728065
scalar matrix4 mul vector4,cgmath,1,1,elements,6079983.0,ns,873678
scalar matrix4 mul vector4,cgmath,1,1,elements,7054344.0,ns,1019291
scalar matrix4 mul vector4,cgmath,1,1,elements,8041001.0,ns,1164904
scalar matrix4 mul vector4,cgmath,1,1,elements,9029784.0,ns,1310517
scalar matrix4 mul vector4,cgmath,1,1,elements,10040974.0,ns,1456130
scalar matrix4 mul vector4,cgmath,1,1,elements,11006218.0,ns,1601743
scalar matrix4 mul vector4,cgmath,1,1,elements,11993922.0,ns,1747356
scalar matrix4 mul vector4,cgmath,1,1,elements,13006290.0,ns,1892969
scalar matrix4 mul vector4,cgmath,1,1,elements,13981979.0,ns,2038582
scalar matrix4 mul vector4,cgmath,1,1,elements,14969442.0,ns,2184195
scalar matrix4 mul vector4,cgmath,1,1,elements,15993849.0,ns,2329808
scalar matrix4 mul vector4,cgmath,1,1,elements,16953805.0,ns,2475421
scalar matrix4 mul vector4,cgmath,1,1,elements,17928894.0,ns,2621034
scalar matrix4 mul vector4,cgmath,1,1,elements,18945494.0,ns,2766647
scalar matrix4 mul vector4,cgmath,1,1,elements,19995882.0,ns,2912260
scalar matrix4 mul vector4,cgmath,1,1,elements,20896790.0,ns,3057873
scalar matrix4 mul vector4,cgmath,1,1,elements,21888027.0,ns,3203486
scalar matrix4 mul vector4,cgmath,1,1,elements,22899372.0,ns,3349099
scalar matrix4 mul vector4,cgmath,1,1,elements,23930997.0,ns,3494712
scalar matrix4 mul vector4,cgmath,1,1,elements,25016851.0,ns,3640325
scalar matrix4 mul vector4,cgmath,1,1,elements,26083697.0,ns,3785938
scalar matrix4 mul vector4,cgmath,1,1,elements,26904836.0,ns,3931551
scalar matrix4 mul vector4,cgmath,1,1,elements,27867739.0,ns,4077164
scalar matrix4 mul vector4,cgmath,1,1,elements,28837212.0,ns,4222777
scalar matrix4 mul vector4,cgmath,1,1,elements,29796179.0,ns,4368390
scalar matrix4 mul vector4,cgmath,1,1,elements,30927068.0,ns,4514003
