group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix4 mul vector4,nalgebra,1,1,elements,1116464.0,ns,283834
scalar matrix4 mul vector4,nalgebra,1,1,elements,2112888.0,ns,567668
scalar matrix4 mul vector4,nalgebra,1,1,elements,3096486.0,ns,851502
scalar matrix4 mul vector4,nalgebra,1,1,elements,4087902.0,ns,1135336
scalar matrix4 mul vector4,nalgebra,1,1,elements,5077756.0,ns,1419170
scalar matrix4 mul vector4,nalgebra,1,1,elements,6089315.0,ns,1703004
scalar matrix4 mul vector4,nalgebra,1,1,elements,7058993.0,ns,1986838
scalar matrix4 mul vector4,nalgebra,1,1,elements,8071941.0,ns,2270672
scalar matrix4 mul vector4,nalgebra,1,1,elements,9039474.0,ns,2554506
scalar matrix4 mul vector4,nalgebra,1,1,elements,10034403.0,ns,2838340
scalar matrix4 mul vector4,nalgebra,1,1,elements,11252991.0,ns,3122174
scalar matrix4 mul vector4,nalgebra,1,1,elements,12012776.0,ns,3406008
scalar matrix4 mul vector4,nalgebra,1,1,elements,13000370.0,ns,3689842
scalar matrix4 mul vector4,nalgebra,1,1,elements,14034443.0,ns,3973676
scalar matrix4 mul vector4,nalgebra,1,1,elements,14981651.0,ns,4257510
scalar matrix4 mul vector4,nalgebra,1,1,elements,15994343.0,ns,4541344
scalar matrix4 mul vector4,nalgebra,1,1,elements,16986183.0,ns,4825178
scalar matrix4 mul vector4,nalgebra,1,1,elements,17996342.0,ns,5109012
scalar matrix4 mul vector4,nalgebra,1,1,elements,18940591.0,ns,5392846
scalar matrix4 mul vector4,nalgebra,1,1,elements,19937826.0,ns,5676680
scalar matrix4 mul vector4,nalgebra,1,1,elements,20947957.0,ns,5960514
scalar matrix4 mul vector4,nalgebra,1,1,elements,21917818.0,ns,6244348
scalar matrix4 mul vector4,nalgebra,1,1,elements,22913773.0,ns,6528182
scalar matrix4 mul vector4,nalgebra,1,1,elements,23936519.0,ns,6812016
scalar matrix4 mul vector4,nalgebra,1,1,elements,24887076.0,ns,7095850
scalar matrix4 mul vector4,nalgebra,1,1,elements,25917308.0,ns,7379684
scalar matrix4 mul vector4,nalgebra,1,1,elements,26941198.0,ns,7663518
scalar matrix4 mul vector4,nalgebra,1,1,elements,27860338.0,ns,7947352
scalar matrix4 mul vector4,nalgebra,1,1,elements,28867356.0,ns,8231186
scalar matrix4 mul vector4,nalgebra,1,1,elements,29834898.0,ns,8515020
scalar matrix4 mul vector4,nalgebra,1,1,elements,30910363.0,ns,8798854
scalar matrix4 mul vector4,nalgebra,1,1,elements,31822327.0,ns,9082688
scalar matrix4 mul vector4,nalgebra,1,1,elements,32887836.0,ns,9366522
scalar matrix4 mul vector4,nalgebra,1,1,elements,33823545.0,ns,9650356
scalar matrix4 mul vector4,nalgebra,1,1,elements,34790807.0,ns,9934190
scalar matrix4 mul vector4,nalgebra,1,1,elements,35886946.0,ns,10218024
scalar matrix4 mul vector4,nalgebra,1,1,elements,36840631.0,ns,10501858
scalar matrix4 mul vector4,nalgebra,1,1,elements,37782557.0,ns,10785692
scalar matrix4 mul vector4,nalgebra,1,1,elements,38812112.0,ns,11069526
scalar matrix4 mul vector4,nalgebra,1,1,elements,39741891.0,ns,11353360
scalar matrix4 mul vector4,nalgebra,1,1,elements,40779753.0,ns,11637194
scalar matrix4 mul vector4,nalgebra,1,1,elements,41767374.0,ns,11921028
scalar matrix4 mul vector4,nalgebra,1,1,elements,42715340.0,ns,12204862
scalar matrix4 mul vector4,nalgebra,1,1,elements,43764677.0,ns,12488696
scalar matrix4 mul vector4,nalgebra,1,1,elements,44694191.0,ns,12772530
scalar matrix4 mul vector4,nalgebra,1,1,elements,45723241.0,ns,13056364
scalar matrix4 mul vector4,nalgebra,1,1,elements,46698232.0,ns,13340198
