group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix4 mul vector4,nalgebra,100,100,elements,1180357.0,ns,1582
scalar matrix4 mul vector4,nalgebra,100,100,elements,2208132.0,ns,3164
scalar matrix4 mul vector4,nalgebra,100,100,elements,3191530.0,ns,4746
scalar matrix4 mul vector4,nalgebra,100,100,elements,4121993.0,ns,6328
scalar matrix4 mul vector4,nalgebra,100,100,elements,5141791.0,ns,7910
scalar matrix4 mul vector4,nalgebra,100,100,elements,6079621.0,ns,9492
scalar matrix4 mul vector4,nalgebra,100,100,elements,7142222.0,ns,11074
scalar matrix4 mul vector4,nalgebra,100,100,elements,8093508.0,ns,12656
scalar matrix4 mul vector4,nalgebra,100,100,elements,9161093.0,ns,14238
scalar matrix4 mul vector4,nalgebra,100,100,elements,10101776.0,ns,15820
scalar matrix4 mul vector4,nalgebra,100,100,elements,11162329.0,ns,17402
scalar matrix4 mul vector4,nalgebra,100,100,elements,12090144.0,ns,18984
scalar matrix4 mul vector4,nalgebra,100,100,elements,13156340.0,ns,20566
scalar matrix4 mul vector4,nalgebra,100,100,elements,14108455.0,ns,22148
scalar matrix4 mul vector4,nalgebra,100,100,elements,15064358.0,ns,23730
scalar matrix4 mul vector4,nalgebra,100,100,elements,15961866.0,ns,25312
scalar matrix4 mul vector4,nalgebra,100,100,elements,17014698.0,ns,26894
scalar matrix4 mul vector4,nalgebra,100,100,elements,17955338.0,ns,28476
scalar matrix4 mul vector4,nalgebra,100,100,elements,19182586.0,ns,30058
scalar matrix4 mul vector4,nalgebra,100,100,elements,20093366.0,ns,31640
scalar matrix4 mul vector4,nalgebra,100,100,elements,20911540.0,ns,33222
scalar matrix4 mul vector4,nalgebra,100,100,elements,21798999.0,ns,34804
scalar matrix4 mul vector4,nalgebra,100,100,elements,22919425.0,ns,36386
scalar matrix4 mul vector4,nalgebra,100,100,elements,23939236.0,ns,37968
scalar matrix4 mul vector4,nalgebra,100,100,elements,24919843.0,ns,39550
scalar matrix4 mul vector4,nalgebra,100,100,elements,25785510.0,ns,41132
scalar matrix4 mul vector4,nalgebra,100,100,elements,26779313.0,ns,42714
scalar matrix4 mul vector4,nalgebra,100,100,elements,27762879.0,ns,44296
scalar matrix4 mul vector4,nalgebra,100,100,elements,28684893.0,ns,45878
scalar matrix4 mul vector4,nalgebra,100,100,elements,29849556.0,ns,47460
scalar matrix4 mul vector4,nalgebra,100,100,elements,30914797.0,ns,49042
scalar matrix4 mul vector4,nalgebra,100,100,elements,31920781.0,ns,50624
scalar matrix4 mul vector4,nalgebra,100,100,elements,32883728.0,ns,52206
scalar matrix4 mul vector4,nalgebra,100,100,elements,33779901.0,ns,53788
scalar matrix4 mul vector4,nalgebra,100,100,elements,34861182.0,ns,55370
scalar matrix4 mul vector4,nalgebra,100,100,elements,35845279.0,ns,56952
scalar matrix4 mul vector4,nalgebra,100,100,elements,36821817.0,ns,58534
scalar matrix4 mul vector4,nalgebra,100,100,elements,37861333.0,ns,60116
scalar matrix4 mul vector4,nalgebra,100,100,elements,38671423.0,ns,61698
scalar matrix4 mul vector4,nalgebra,100,100,elements,39609657.0,ns,63280
scalar matrix4 mul vector4,nalgebra,100,100,elements,40928163.0,ns,64862
scalar matrix4 mul vector4,nalgebra,100,100,elements,41687797.0,ns,66444
scalar matrix4 mul vector4,nalgebra,100,100,elements,42945243.0,ns,68026
scalar matrix4 mul vector4,nalgebra,100,100,elements,43710357.0,ns,69608
scalar matrix4 mul vector4,nalgebra,100,100,elements,44861941.0,ns,71190
scalar matrix4 mul vector4,nalgebra,100,100,elements,45857896.0,ns,72772
scalar matrix4 mul vector4,nalgebra,100,100,elements,46833212.0,ns,74354
scalar matrix4 mul vector4,nalgebra,100,100,elements,47606955.0,ns,75936
scalar matrix4 mul vector4,nalgebra,100,100,elements,48677404.0,ns,77518
scalar matrix4 mul vector4,nalgebra,100,100,elements,49593183.0,ns,79100
scalar matrix4 mul vector4,nalgebra,100,100,elements,51227163.0,ns,80682
scalar matrix4 mul vector4,nalgebra,100,100,elements,51916263.0,ns,82264
scalar matrix4 mul vector4,nalgebra,100,100,elements,52436537.0,ns,83846
scalar matrix4 mul vector4,nalgebra,100,100,elements,53847525.0,ns,85428
scalar matrix4 mul vector4,nalgebra,100,100,elements,54556204.0,ns,87010
scalar matrix4 mul vector4,nalgebra,100,100,elements,55634557.0,ns,88592
scalar matrix4 mul vector4,nalgebra,100,100,elements,56762744.0,ns,90174
scalar matrix4 mul vector4,nalgebra,100,100,elements,57337486.0,ns,91756
scalar matrix4 mul vector4,nalgebra,100,100,elements,58100329.0,ns,93338
scalar matrix4 mul vector4,nalgebra,100,100,elements,59342927.0,ns,94920
scalar matrix4 mul vector4,nalgebra,100,100,elements,60353099.0,ns,96502
scalar matrix4 mul vector4,nalgebra,100,100,elements,61266022.0,ns,98084
scalar matrix4 mul vector4,nalgebra,100,100,elements,62567260.0,ns,99666
scalar matrix4 mul vector4,nalgebra,100,100,elements,63358973.0,ns,101248
scalar matrix4 mul vector4,nalgebra,100,100,elements,64424726.0,ns,102830
scalar matrix4 mul vector4,nalgebra,100,100,elements,65279985.0,ns,104412
scalar matrix4 mul vector4,nalgebra,100,100,elements,66512168.0,ns,105994
scalar matrix4 mul vector4,nalgebra,100,100,elements,67829220.0,ns,107576
scalar matrix4 mul vector4,nalgebra,100,100,elements,68942493.0,ns,109158
scalar matrix4 mul vector4,nalgebra,100,100,elements,69317393.0,ns,110740
scalar matrix4 mul vector4,nalgebra,100,100,elements,70537960.0,ns,112322
scalar matrix4 mul vector4,nalgebra,100,100,elements,71138793.0,ns,113904
scalar matrix4 mul vector4,nalgebra,100,100,elements,72618337.0,ns,115486
scalar matrix4 mul vector4,nalgebra,100,100,elements,73298932.0,ns,117068
scalar matrix4 mul vector4,nalgebra,100,100,elements,74185089.0,ns,118650
scalar matrix4 mul vector4,nalgebra,100,100,elements,75462073.0,ns,120232
scalar matrix4 mul vector4,nalgebra,100,100,elements,76130090.0,ns,121814
