group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix4 return self,static-math,,,,991386.0,ns,135848
scalar matrix4 return self,static-math,,,,1975836.0,ns,271696
scalar matrix4 return self,static-math,,,,2966451.0,ns,407544
scalar matrix4 return self,static-math,,,,4026674.0,ns,543392
scalar matrix4 return self,static-math,,,,4945855.0,ns,679240
scalar matrix4 return self,static-math,,,,5949408.0,ns,815088
scalar matrix4 return self,static-math,,,,6941714.0,ns,950936
scalar matrix4 return self,static-math,,,,7908247.0,ns,1086784
scalar matrix4 return self,static-math,,,,8939981.0,ns,1222632
scalar matrix4 return self,static-math,,,,9904017.0,ns,1358480
scalar matrix4 return self,static-math,,,,10872664.0,ns,1494328
scalar matrix4 return self,static-math,,,,11911545.0,ns,1630176
scalar matrix4 return self,static-math,,,,12853217.0,ns,1766024
scalar matrix4 return self,static-math,,,,13863140.0,ns,1901872
scalar matrix4 return self,static-math,,,,14909267.0,ns,2037720
scalar matrix4 return self,static-math,,,,15815761.0,ns,2173568
scalar matrix4 return self,static-math,,,,16819921.0,ns,2309416
scalar matrix4 return self,static-math,,,,17790997.0,ns,2445264
scalar matrix4 return self,static-math,,,,18778861.0,ns,2581112
scalar matrix4 return self,static-math,,,,19787606.0,ns,2716960
scalar matrix4 return self,static-math,,,,20754516.0,ns,2852808
scalar matrix4 return self,static-math,,,,21746270.0,ns,2988656
scalar matrix4 return self,static-math,,,,22733488.0,ns,3124504
scalar matrix4 return self,static-math,,,,23786645.0,ns,3260352
scalar matrix4 return self,static-math,,,,24813274.0,ns,3396200
scalar matrix4 return self,static-math,,,,25702007.0,ns,3532048
scalar matrix4 return self,static-math,,,,27134903.0,ns,3667896
scalar matrix4 return self,static-math,,,,27831616.0,ns,3803744
scalar matrix4 return self,static-math,,,,28773525.0,ns,3939592
scalar matrix4 return self,static-math,,,,29735742.0,ns,4075440
scalar matrix4 return self,static-math,,,,30681634.0,ns,4211288
scalar matrix4 return self,static-math,,,,31653838.0,ns,4347136
scalar matrix4 return self,static-math,,,,32705164.0,ns,4482984
scalar matrix4 return self,static-math,,,,33643187.0,ns,4618832
scalar matrix4 return self,static-math,,,,34617617.0,ns,4754680
scalar matrix4 return self,static-math,,,,35582215.0,ns,4890528
scalar matrix4 return self,static-math,,,,36679513.0,ns,5026376
scalar matrix4 return self,static-math,,,,37606377.0,ns,5162224
scalar matrix4 return self,static-math,,,,38757184.0,ns,5298072
scalar matrix4 return self,static-math,,,,39579691.0,ns,5433920
scalar matrix4 return self,static-math,,,,40937441.0,ns,5569768
scalar matrix4 return self,static-math,,,,41767605.0,ns,5705616
scalar matrix4 return self,static-math,,,,42526519.0,ns,5841464
scalar matrix4 return self,static-math,,,,43509432.0,ns,5977312
scalar matrix4 return self,static-math,,,,44537911.0,ns,6113160
scalar matrix4 return self,static-math,,,,45580661.0,ns,6249008
scalar matrix4 return self,static-math,,,,46541670.0,ns,6384856
scalar matrix4 return self,static-math,,,,47458764.0,ns,6520704
scalar matrix4 return self,static-math,,,,48511082.0,ns,6656552
scalar matrix4 return self,static-math,,,,49450332.0,ns,6792400
scalar matrix4 return self,static-math,,,,50478891.0,ns,6928248
scalar matrix4 return self,static-math,,,,51533737.0,ns,7064096
scalar matrix4 return self,static-math,,,,52403889.0,ns,7199944
scalar matrix4 return self,static-math,,,,53374442.0,ns,7335792
scalar matrix4 return self,static-math,,,,54451414.0,ns,7471640
scalar matrix4 return self,static-math,,,,55448125.0,ns,7607488
scalar matrix4 return self,static-math,,,,56363196.0,ns,7743336
scalar matrix4 return self,static-math,,,,57453864.0,ns,7879184
scalar matrix4 return self,static-math,,,,58369268.0,ns,8015032
scalar matrix4 return self,static-math,,,,59344726.0,ns,8150880
scalar matrix4 return self,static-math,,,,60400428.0,ns,8286728
scalar matrix4 return self,static-math,,,,61334434.0,ns,8422576
scalar matrix4 return self,static-math,,,,62400856.0,ns,8558424
scalar matrix4 return self,static-math,,,,63363545.0,ns,8694272
scalar matrix4 return self,static-math,,,,64375801.0,ns,8830120
scalar matrix4 return self,static-math,,,,65238762.0,ns,8965968
scalar matrix4 return self,static-math,,,,66265437.0,ns,9101816
scalar matrix4 return self,static-math,,,,67289701.0,ns,9237664
scalar matrix4 return self,static-math,,,,68218938.0,ns,9373512
scalar matrix4 return self,static-math,,,,69237762.0,ns,9509360
scalar matrix4 return self,static-math,,,,70291113.0,ns,9645208
scalar matrix4 return self,static-math,,,,71242234.0,ns,9781056
scalar matrix4 return self,static-math,,,,72404237.0,ns,9916904
scalar matrix4 return self,static-math,,,,73364620.0,ns,10052752
scalar matrix4 return self,static-math,,,,74186862.0,ns,10188600
scalar matrix4 return self,static-math,,,,75280211.0,ns,10324448
scalar matrix4 return self,static-math,,,,76123433.0,ns,10460296
scalar matrix4 return self,static-math,,,,77249668.0,ns,10596144
scalar matrix4 return self,static-math,,,,78186311.0,ns,10731992
scalar matrix4 return self,static-math,,,,79146247.0,ns,10867840
scalar matrix4 return self,static-math,,,,80182372.0,ns,11003688
scalar matrix4 return self,static-math,,,,81179719.0,ns,11139536
scalar matrix4 return self,static-math,,,,82032557.0,ns,11275384
scalar matrix4 return self,static-math,,,,83191516.0,ns,11411232
scalar matrix4 return self,static-math,,,,84148852.0,ns,11547080
scalar matrix4 return self,static-math,,,,85360458.0,ns,11682928
scalar matrix4 return self,static-math,,,,86242172.0,ns,11818776
scalar matrix4 return self,static-math,,,,87130665.0,ns,11954624
scalar matrix4 return self,static-math,,,,87985233.0,ns,12090472
scalar matrix4 return self,static-math,,,,89167655.0,ns,12226320
scalar matrix4 return self,static-math,,,,90048392.0,ns,12362168
scalar matrix4 return self,static-math,,,,91041907.0,ns,12498016
scalar matrix4 return self,static-math,,,,92097116.0,ns,12633864
scalar matrix4 return self,static-math,,,,92984588.0,ns,12769712
scalar matrix4 return self,static-math,,,,94081486.0,ns,12905560
scalar matrix4 return self,static-math,,,,94961573.0,ns,13041408
scalar matrix4 return self,static-math,,,,96112136.0,ns,13177256
