group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar ray-sphere intersection,cgmath,10000,10000,elements,997605.0,ns,62
scalar ray-sphere intersection,cgmath,10000,10000,elements,1997107.0,ns,124
scalar ray-sphere intersection,cgmath,10000,10000,elements,2995893.0,ns,186
scalar ray-sphere intersection,cgmath,10000,10000,elements,4010284.0,ns,248
scalar ray-sphere intersection,cgmath,10000,10000,elements,5001714.0,ns,310
scalar ray-sphere intersection,cgmath,10000,10000,elements,6008710.0,ns,372
scalar ray-sphere intersection,cgmath,10000,10000,elements,7008754.0,ns,434
scalar ray-sphere intersection,cgmath,10000,10000,elements,7983913.0,ns,496
scalar ray-sphere intersection,cgmath,10000,10000,elements,8984460.0,ns,558
scalar ray-sphere intersection,cgmath,10000,10000,elements,10003378.0,ns,620
scalar ray-sphere intersection,cgmath,10000,10000,elements,10979663.0,ns,682
scalar ray-sphere intersection,cgmath,10000,10000,elements,11977067.0,ns,744
scalar ray-sphere intersection,cgmath,10000,10000,elements,12979711.0,ns,806
scalar ray-sphere intersection,cgmath,10000,10000,elements,13973422.0,ns,868
scalar ray-sphere intersection,cgmath,10000,10000,elements,15014513.0,ns,930
scalar ray-sphere intersection,cgmath,10000,10000,elements,15970939.0,ns,992
scalar ray-sphere intersection,cgmath,10000,10000,elements,17110575.0,ns,1054
scalar ray-sphere intersection,cgmath,10000,10000,elements,18010671.0,ns,1116
scalar ray-sphere intersection,cgmath,10000,10000,elements,21195543.0,ns,1178
scalar ray-sphere intersection,cgmath,10000,10000,elements,20837518.0,ns,1240
scalar ray-sphere intersection,cgmath,10000,10000,elements,21278269.0,ns,1302
scalar ray-sphere intersection,cgmath,10000,10000,elements,22126941.0,ns,1364
scalar ray-sphere intersection,cgmath,10000,10000,elements,23178915.0,ns,1426
scalar ray-sphere intersection,cgmath,10000,10000,elements,24051524.0,ns,1488
scalar ray-sphere intersection,cgmath,10000,10000,elements,25000743.0,ns,1550
scalar ray-sphere intersection,cgmath,10000,10000,elements,26071610.0,ns,1612
scalar ray-sphere intersection,cgmath,10000,10000,elements,27219069.0,ns,1674
scalar ray-sphere intersection,cgmath,10000,10000,elements,28225062.0,ns,1736
scalar ray-sphere intersection,cgmath,10000,10000,elements,29256393.0,ns,1798
scalar ray-sphere intersection,cgmath,10000,10000,elements,30289160.0,ns,1860
scalar ray-sphere intersection,cgmath,10000,10000,elements,30966233.0,ns,1922
scalar ray-sphere intersection,cgmath,10000,10000,elements,31992617.0,ns,1984
scalar ray-sphere intersection,cgmath,10000,10000,elements,33008581.0,ns,2046
scalar ray-sphere intersection,cgmath,10000,10000,elements,34249571.0,ns,2108
scalar ray-sphere intersection,cgmath,10000,10000,elements,34942113.0,ns,2170
scalar ray-sphere intersection,cgmath,10000,10000,elements,35958948.0,ns,2232
scalar ray-sphere intersection,cgmath,10000,10000,elements,36962551.0,ns,2294
scalar ray-sphere intersection,cgmath,10000,10000,elements,38135501.0,ns,2356
scalar ray-sphere intersection,cgmath,10000,10000,elements,39006115.0,ns,2418
scalar ray-sphere intersection,cgmath,10000,10000,elements,40432782.0,ns,2480
scalar ray-sphere intersection,cgmath,10000,10000,elements,41120131.0,ns,2542
scalar ray-sphere intersection,cgmath,10000,10000,elements,41943660.0,ns,2604
scalar ray-sphere intersection,cgmath,10000,10000,elements,42980549.0,ns,2666
scalar ray-sphere intersection,cgmath,10000,10000,elements,43991734.0,ns,2728
scalar ray-sphere intersection,cgmath,10000,10000,elements,45195449.0,ns,2790
scalar ray-sphere intersection,cgmath,10000,10000,elements,45978854.0,ns,2852
scalar ray-sphere intersection,cgmath,10000,10000,elements,46962341.0,ns,2914
scalar ray-sphere intersection,cgmath,10000,10000,elements,48176399.0,ns,2976
scalar ray-sphere intersection,cgmath,10000,10000,elements,49114744.0,ns,3038
scalar ray-sphere intersection,cgmath,10000,10000,elements,49920312.0,ns,3100
scalar ray-sphere intersection,cgmath,10000,10000,elements,50992954.0,ns,3162
scalar ray-sphere intersection,cgmath,10000,10000,elements,52057776.0,ns,3224
scalar ray-sphere intersection,cgmath,10000,10000,elements,52908251.0,ns,3286
scalar ray-sphere intersection,cgmath,10000,10000,elements,53919194.0,ns,3348
scalar ray-sphere intersection,cgmath,10000,10000,elements,54971597.0,ns,3410
scalar ray-sphere intersection,cgmath,10000,10000,elements,55949960.0,ns,3472
scalar ray-sphere intersection,cgmath,10000,10000,elements,56905947.0,ns,3534
scalar ray-sphere intersection,cgmath,10000,10000,elements,57974549.0,ns,3596
