group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar rotation3 inverse,cgmath,,,,1110743.0,ns,290881
scalar rotation3 inverse,cgmath,,,,2101209.0,ns,581762
scalar rotation3 inverse,cgmath,,,,3086055.0,ns,872643
scalar rotation3 inverse,cgmath,,,,4110357.0,ns,1163524
scalar rotation3 inverse,cgmath,,,,5062452.0,ns,1454405
scalar rotation3 inverse,cgmath,,,,6051166.0,ns,1745286
scalar rotation3 inverse,cgmath,,,,7034086.0,ns,2036167
scalar rotation3 inverse,cgmath,,,,8041720.0,ns,2327048
scalar rotation3 inverse,cgmath,,,,9098297.0,ns,2617929
scalar rotation3 inverse,cgmath,,,,10040884.0,ns,2908810
scalar rotation3 inverse,cgmath,,,,10983925.0,ns,3199691
scalar rotation3 inverse,cgmath,,,,11975013.0,ns,3490572
scalar rotation3 inverse,cgmath,,,,12958476.0,ns,3781453
scalar rotation3 inverse,cgmath,,,,13945624.0,ns,4072334
scalar rotation3 inverse,cgmath,,,,14936409.0,ns,4363215
scalar rotation3 inverse,cgmath,,,,15941880.0,ns,4654096
scalar rotation3 inverse,cgmath,,,,16907873.0,ns,4944977
scalar rotation3 inverse,cgmath,,,,17916265.0,ns,5235858
scalar rotation3 inverse,cgmath,,,,18882937.0,ns,5526739
scalar rotation3 inverse,cgmath,,,,19867778.0,ns,5817620
scalar rotation3 inverse,cgmath,,,,20852769.0,ns,6108501
scalar rotation3 inverse,cgmath,,,,21929932.0,ns,6399382
scalar rotation3 inverse,cgmath,,,,22833267.0,ns,6690263
scalar rotation3 inverse,cgmath,,,,23837425.0,ns,6981144
scalar rotation3 inverse,cgmath,,,,24806332.0,ns,7272025
scalar rotation3 inverse,cgmath,,,,25832843.0,ns,7562906
scalar rotation3 inverse,cgmath,,,,26792783.0,ns,7853787
scalar rotation3 inverse,cgmath,,,,27766598.0,ns,8144668
scalar rotation3 inverse,cgmath,,,,28850266.0,ns,8435549
scalar rotation3 inverse,cgmath,,,,29754344.0,ns,8726430
scalar rotation3 inverse,cgmath,,,,30729511.0,ns,9017311
scalar rotation3 inverse,cgmath,,,,31730380.0,ns,9308192
scalar rotation3 inverse,cgmath,,,,32700713.0,ns,9599073
scalar rotation3 inverse,cgmath,,,,33687001.0,ns,9889954
scalar rotation3 inverse,cgmath,,,,34722630.0,ns,10180835
scalar rotation3 inverse,cgmath,,,,35733182.0,ns,10471716
scalar rotation3 inverse,cgmath,,,,36689315.0,ns,10762597
scalar rotation3 inverse,cgmath,,,,37684957.0,ns,11053478
scalar rotation3 inverse,cgmath,,,,38622690.0,ns,11344359
scalar rotation3 inverse,cgmath,,,,39652853.0,ns,11635240
scalar rotation3 inverse,cgmath,,,,40780158.0,ns,11926121
scalar rotation3 inverse,cgmath,,,,42041705.0,ns,12217002
scalar rotation3 inverse,cgmath,,,,42587450.0,ns,12507883
scalar rotation3 inverse,cgmath,,,,43560350.0,ns,12798764
scalar rotation3 inverse,cgmath,,,,44801039.0,ns,13089645
scalar rotation3 inverse,cgmath,,,,46234567.0,ns,13380526
scalar rotation3 inverse,cgmath,,,,46649225.0,ns,13671407
scalar rotation3 inverse,cgmath,,,,47512521.0,ns,13962288
scalar rotation3 inverse,cgmath,,,,48492178.0,ns,14253169
scalar rotation3 inverse,cgmath,,,,49866288.0,ns,14544050
scalar rotation3 inverse,cgmath,,,,50467079.0,ns,14834931
scalar rotation3 inverse,cgmath,,,,51488008.0,ns,15125812
scalar rotation3 inverse,cgmath,,,,52488512.0,ns,15416693
scalar rotation3 inverse,cgmath,,,,53558086.0,ns,15707574
scalar rotation3 inverse,cgmath,,,,54423337.0,ns,15998455
scalar rotation3 inverse,cgmath,,,,55561810.0,ns,16289336
scalar rotation3 inverse,cgmath,,,,56561456.0,ns,16580217
scalar rotation3 inverse,cgmath,,,,57430609.0,ns,16871098
scalar rotation3 inverse,cgmath,,,,58366510.0,ns,17161979
scalar rotation3 inverse,cgmath,,,,59429384.0,ns,17452860
scalar rotation3 inverse,cgmath,,,,60504505.0,ns,17743741
scalar rotation3 inverse,cgmath,,,,61330791.0,ns,18034622
scalar rotation3 inverse,cgmath,,,,62362949.0,ns,18325503
scalar rotation3 inverse,cgmath,,,,63436742.0,ns,18616384
scalar rotation3 inverse,cgmath,,,,64310364.0,ns,18907265
scalar rotation3 inverse,cgmath,,,,65294824.0,ns,19198146
scalar rotation3 inverse,cgmath,,,,66373265.0,ns,19489027
scalar rotation3 inverse,cgmath,,,,67269835.0,ns,19779908
scalar rotation3 inverse,cgmath,,,,68298723.0,ns,20070789
scalar rotation3 inverse,cgmath,,,,69319697.0,ns,20361670
scalar rotation3 inverse,cgmath,,,,70253560.0,ns,20652551
scalar rotation3 inverse,cgmath,,,,71192501.0,ns,20943432
scalar rotation3 inverse,cgmath,,,,72273811.0,ns,21234313
scalar rotation3 inverse,cgmath,,,,73220147.0,ns,21525194
scalar rotation3 inverse,cgmath,,,,74264701.0,ns,21816075
scalar rotation3 inverse,cgmath,,,,75409053.0,ns,22106956
scalar rotation3 inverse,cgmath,,,,76182809.0,ns,22397837
scalar rotation3 inverse,cgmath,,,,77324154.0,ns,22688718
scalar rotation3 inverse,cgmath,,,,78114007.0,ns,22979599
scalar rotation3 inverse,cgmath,,,,79202790.0,ns,23270480
scalar rotation3 inverse,cgmath,,,,80088918.0,ns,23561361
scalar rotation3 inverse,cgmath,,,,81110294.0,ns,23852242
scalar rotation3 inverse,cgmath,,,,82146811.0,ns,24143123
scalar rotation3 inverse,cgmath,,,,83066471.0,ns,24434004
scalar rotation3 inverse,cgmath,,,,84112535.0,ns,24724885
scalar rotation3 inverse,cgmath,,,,85042851.0,ns,25015766
scalar rotation3 inverse,cgmath,,,,86057127.0,ns,25306647
scalar rotation3 inverse,cgmath,,,,87197506.0,ns,25597528
scalar rotation3 inverse,cgmath,,,,87975209.0,ns,25888409
scalar rotation3 inverse,cgmath,,,,89128933.0,ns,26179290
scalar rotation3 inverse,cgmath,,,,90075072.0,ns,26470171
scalar rotation3 inverse,cgmath,,,,91043352.0,ns,26761052
scalar rotation3 inverse,cgmath,,,,91993313.0,ns,27051933
scalar rotation3 inverse,cgmath,,,,93091466.0,ns,27342814
scalar rotation3 inverse,cgmath,,,,93965219.0,ns,27633695
scalar rotation3 inverse,cgmath,,,,95330719.0,ns,27924576
scalar rotation3 inverse,cgmath,,,,95985687.0,ns,28215457
scalar rotation3 inverse,cgmath,,,,97408103.0,ns,28506338
scalar rotation3 inverse,cgmath,,,,97948703.0,ns,28797219
scalar rotation3 inverse,cgmath,,,,99093224.0,ns,29088100
