group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar rotation3 mul vector3,static-math,100,100,elements,981672.0,ns,1329
scalar rotation3 mul vector3,static-math,100,100,elements,1962095.0,ns,2658
scalar rotation3 mul vector3,static-math,100,100,elements,2951009.0,ns,3987
scalar rotation3 mul vector3,static-math,100,100,elements,3970787.0,ns,5316
scalar rotation3 mul vector3,static-math,100,100,elements,4919703.0,ns,6645
scalar rotation3 mul vector3,static-math,100,100,elements,5908684.0,ns,7974
scalar rotation3 mul vector3,static-math,100,100,elements,6901754.0,ns,9303
scalar rotation3 mul vector3,static-math,100,100,elements,7881271.0,ns,10632
scalar rotation3 mul vector3,static-math,100,100,elements,8927019.0,ns,11961
scalar rotation3 mul vector3,static-math,100,100,elements,9994168.0,ns,13290
scalar rotation3 mul vector3,static-math,100,100,elements,10842724.0,ns,14619
scalar rotation3 mul vector3,static-math,100,100,elements,11866895.0,ns,15948
scalar rotation3 mul vector3,static-math,100,100,elements,12828156.0,ns,17277
scalar rotation3 mul vector3,static-math,100,100,elements,13805654.0,ns,18606
scalar rotation3 mul vector3,static-math,100,100,elements,14786178.0,ns,19935
scalar rotation3 mul vector3,static-math,100,100,elements,15738245.0,ns,21264
scalar rotation3 mul vector3,static-math,100,100,elements,16718562.0,ns,22593
scalar rotation3 mul vector3,static-math,100,100,elements,17780928.0,ns,23922
scalar rotation3 mul vector3,static-math,100,100,elements,18608619.0,ns,25251
scalar rotation3 mul vector3,static-math,100,100,elements,19723183.0,ns,26580
scalar rotation3 mul vector3,static-math,100,100,elements,20698607.0,ns,27909
scalar rotation3 mul vector3,static-math,100,100,elements,21654012.0,ns,29238
scalar rotation3 mul vector3,static-math,100,100,elements,22767951.0,ns,30567
scalar rotation3 mul vector3,static-math,100,100,elements,23695658.0,ns,31896
scalar rotation3 mul vector3,static-math,100,100,elements,24633517.0,ns,33225
scalar rotation3 mul vector3,static-math,100,100,elements,25640535.0,ns,34554
scalar rotation3 mul vector3,static-math,100,100,elements,26602292.0,ns,35883
scalar rotation3 mul vector3,static-math,100,100,elements,27632968.0,ns,37212
scalar rotation3 mul vector3,static-math,100,100,elements,28564222.0,ns,38541
scalar rotation3 mul vector3,static-math,100,100,elements,29555255.0,ns,39870
scalar rotation3 mul vector3,static-math,100,100,elements,30664699.0,ns,41199
scalar rotation3 mul vector3,static-math,100,100,elements,31534542.0,ns,42528
scalar rotation3 mul vector3,static-math,100,100,elements,32515796.0,ns,43857
scalar rotation3 mul vector3,static-math,100,100,elements,33586527.0,ns,45186
scalar rotation3 mul vector3,static-math,100,100,elements,34447858.0,ns,46515
scalar rotation3 mul vector3,static-math,100,100,elements,35345404.0,ns,47844
scalar rotation3 mul vector3,static-math,100,100,elements,36480451.0,ns,49173
scalar rotation3 mul vector3,static-math,100,100,elements,37460205.0,ns,50502
scalar rotation3 mul vector3,static-math,100,100,elements,38506670.0,ns,51831
scalar rotation3 mul vector3,static-math,100,100,elements,39398121.0,ns,53160
scalar rotation3 mul vector3,static-math,100,100,elements,40567562.0,ns,54489
scalar rotation3 mul vector3,static-math,100,100,elements,41503865.0,ns,55818
scalar rotation3 mul vector3,static-math,100,100,elements,42370202.0,ns,57147
scalar rotation3 mul vector3,static-math,100,100,elements,43354285.0,ns,58476
scalar rotation3 mul vector3,static-math,100,100,elements,44383454.0,ns,59805
scalar rotation3 mul vector3,static-math,100,100,elements,45350778.0,ns,61134
