group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar rotation3 return self,vek,,,,1115735.0,ns,346032
scalar rotation3 return self,vek,,,,2102400.0,ns,692064
scalar rotation3 return self,vek,,,,3089192.0,ns,1038096
scalar rotation3 return self,vek,,,,4111202.0,ns,1384128
scalar rotation3 return self,vek,,,,5130309.0,ns,1730160
scalar rotation3 return self,vek,,,,6074943.0,ns,2076192
scalar rotation3 return self,vek,,,,7045158.0,ns,2422224
scalar rotation3 return self,vek,,,,8036338.0,ns,2768256
scalar rotation3 return self,vek,,,,9085855.0,ns,3114288
scalar rotation3 return self,vek,,,,10091862.0,ns,3460320
scalar rotation3 return self,vek,,,,11050535.0,ns,3806352
scalar rotation3 return self,vek,,,,12014502.0,ns,4152384
scalar rotation3 return self,vek,,,,12999328.0,ns,4498416
scalar rotation3 return self,vek,,,,13966475.0,ns,4844448
scalar rotation3 return self,vek,,,,14955841.0,ns,5190480
scalar rotation3 return self,vek,,,,15968808.0,ns,5536512
scalar rotation3 return self,vek,,,,16935704.0,ns,5882544
scalar rotation3 return self,vek,,,,17927657.0,ns,6228576
scalar rotation3 return self,vek,,,,18997350.0,ns,6574608
scalar rotation3 return self,vek,,,,19902558.0,ns,6920640
scalar rotation3 return self,vek,,,,20895215.0,ns,7266672
scalar rotation3 return self,vek,,,,21895749.0,ns,7612704
scalar rotation3 return self,vek,,,,22865775.0,ns,7958736
scalar rotation3 return self,vek,,,,23852261.0,ns,8304768
scalar rotation3 return self,vek,,,,24840982.0,ns,8650800
scalar rotation3 return self,vek,,,,25834005.0,ns,8996832
scalar rotation3 return self,vek,,,,26862158.0,ns,9342864
scalar rotation3 return self,vek,,,,27851231.0,ns,9688896
scalar rotation3 return self,vek,,,,28794214.0,ns,10034928
scalar rotation3 return self,vek,,,,29786420.0,ns,10380960
scalar rotation3 return self,vek,,,,30798090.0,ns,10726992
scalar rotation3 return self,vek,,,,31760864.0,ns,11073024
scalar rotation3 return self,vek,,,,32748790.0,ns,11419056
scalar rotation3 return self,vek,,,,33824772.0,ns,11765088
scalar rotation3 return self,vek,,,,34729464.0,ns,12111120
scalar rotation3 return self,vek,,,,35726987.0,ns,12457152
scalar rotation3 return self,vek,,,,36708791.0,ns,12803184
scalar rotation3 return self,vek,,,,37691227.0,ns,13149216
scalar rotation3 return self,vek,,,,38723929.0,ns,13495248
scalar rotation3 return self,vek,,,,39719415.0,ns,13841280
scalar rotation3 return self,vek,,,,40681018.0,ns,14187312
scalar rotation3 return self,vek,,,,41674529.0,ns,14533344
scalar rotation3 return self,vek,,,,42638359.0,ns,14879376
scalar rotation3 return self,vek,,,,43753096.0,ns,15225408
scalar rotation3 return self,vek,,,,44679493.0,ns,15571440
scalar rotation3 return self,vek,,,,45950650.0,ns,15917472
scalar rotation3 return self,vek,,,,46705419.0,ns,16263504
scalar rotation3 return self,vek,,,,47658468.0,ns,16609536
scalar rotation3 return self,vek,,,,48772771.0,ns,16955568
scalar rotation3 return self,vek,,,,49757262.0,ns,17301600
scalar rotation3 return self,vek,,,,50568425.0,ns,17647632
scalar rotation3 return self,vek,,,,51596927.0,ns,17993664
scalar rotation3 return self,vek,,,,52649137.0,ns,18339696
scalar rotation3 return self,vek,,,,53517292.0,ns,18685728
scalar rotation3 return self,vek,,,,54749722.0,ns,19031760
scalar rotation3 return self,vek,,,,55582230.0,ns,19377792
scalar rotation3 return self,vek,,,,56603337.0,ns,19723824
scalar rotation3 return self,vek,,,,57630915.0,ns,20069856
scalar rotation3 return self,vek,,,,58544090.0,ns,20415888
scalar rotation3 return self,vek,,,,59489073.0,ns,20761920
scalar rotation3 return self,vek,,,,60454968.0,ns,21107952
scalar rotation3 return self,vek,,,,61448051.0,ns,21453984
scalar rotation3 return self,vek,,,,62720620.0,ns,21800016
scalar rotation3 return self,vek,,,,63429533.0,ns,22146048
scalar rotation3 return self,vek,,,,64442109.0,ns,22492080
scalar rotation3 return self,vek,,,,65601401.0,ns,22838112
scalar rotation3 return self,vek,,,,66380968.0,ns,23184144
scalar rotation3 return self,vek,,,,67358057.0,ns,23530176
scalar rotation3 return self,vek,,,,68461951.0,ns,23876208
scalar rotation3 return self,vek,,,,69341782.0,ns,24222240
scalar rotation3 return self,vek,,,,70354555.0,ns,24568272
scalar rotation3 return self,vek,,,,71400614.0,ns,24914304
scalar rotation3 return self,vek,,,,72342186.0,ns,25260336
scalar rotation3 return self,vek,,,,73350467.0,ns,25606368
scalar rotation3 return self,vek,,,,74340002.0,ns,25952400
scalar rotation3 return self,vek,,,,75306071.0,ns,26298432
scalar rotation3 return self,vek,,,,76472370.0,ns,26644464
scalar rotation3 return self,vek,,,,77616412.0,ns,26990496
scalar rotation3 return self,vek,,,,78274894.0,ns,27336528
scalar rotation3 return self,vek,,,,79724245.0,ns,27682560
scalar rotation3 return self,vek,,,,82092788.0,ns,28028592
scalar rotation3 return self,vek,,,,83500907.0,ns,28374624
scalar rotation3 return self,vek,,,,84139354.0,ns,28720656
scalar rotation3 return self,vek,,,,85154014.0,ns,29066688
scalar rotation3 return self,vek,,,,86328385.0,ns,29412720
scalar rotation3 return self,vek,,,,87157489.0,ns,29758752
scalar rotation3 return self,vek,,,,87912384.0,ns,30104784
scalar rotation3 return self,vek,,,,87328508.0,ns,30450816
scalar rotation3 return self,vek,,,,88370499.0,ns,30796848
scalar rotation3 return self,vek,,,,91026636.0,ns,31142880
scalar rotation3 return self,vek,,,,90272072.0,ns,31488912
scalar rotation3 return self,vek,,,,91155657.0,ns,31834944
scalar rotation3 return self,vek,,,,92193637.0,ns,32180976
scalar rotation3 return self,vek,,,,93067289.0,ns,32527008
scalar rotation3 return self,vek,,,,94111603.0,ns,32873040
scalar rotation3 return self,vek,,,,95288223.0,ns,33219072
scalar rotation3 return self,vek,,,,96045881.0,ns,33565104
scalar rotation3 return self,vek,,,,97121221.0,ns,33911136
scalar rotation3 return self,vek,,,,98039287.0,ns,34257168
scalar rotation3 return self,vek,,,,99210327.0,ns,34603200
