group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform point2,euclid,1,1,elements,1112258.0,ns,346063
scalar transform point2,euclid,1,1,elements,2099751.0,ns,692126
scalar transform point2,euclid,1,1,elements,3084527.0,ns,1038189
scalar transform point2,euclid,1,1,elements,4290270.0,ns,1384252
scalar transform point2,euclid,1,1,elements,5078490.0,ns,1730315
scalar transform point2,euclid,1,1,elements,6045073.0,ns,2076378
scalar transform point2,euclid,1,1,elements,7045197.0,ns,2422441
scalar transform point2,euclid,1,1,elements,8023155.0,ns,2768504
scalar transform point2,euclid,1,1,elements,11459470.0,ns,3114567
scalar transform point2,euclid,1,1,elements,10593852.0,ns,3460630
scalar transform point2,euclid,1,1,elements,11077676.0,ns,3806693
scalar transform point2,euclid,1,1,elements,12069336.0,ns,4152756
scalar transform point2,euclid,1,1,elements,13060974.0,ns,4498819
scalar transform point2,euclid,1,1,elements,14059786.0,ns,4844882
scalar transform point2,euclid,1,1,elements,15155253.0,ns,5190945
scalar transform point2,euclid,1,1,elements,15976945.0,ns,5537008
scalar transform point2,euclid,1,1,elements,16901691.0,ns,5883071
scalar transform point2,euclid,1,1,elements,17906872.0,ns,6229134
scalar transform point2,euclid,1,1,elements,18894420.0,ns,6575197
scalar transform point2,euclid,1,1,elements,19879452.0,ns,6921260
scalar transform point2,euclid,1,1,elements,21114022.0,ns,7267323
scalar transform point2,euclid,1,1,elements,22117644.0,ns,7613386
scalar transform point2,euclid,1,1,elements,22907540.0,ns,7959449
scalar transform point2,euclid,1,1,elements,23827596.0,ns,8305512
scalar transform point2,euclid,1,1,elements,24870252.0,ns,8651575
scalar transform point2,euclid,1,1,elements,25778304.0,ns,8997638
scalar transform point2,euclid,1,1,elements,26787507.0,ns,9343701
scalar transform point2,euclid,1,1,elements,27753420.0,ns,9689764
scalar transform point2,euclid,1,1,elements,29058071.0,ns,10035827
scalar transform point2,euclid,1,1,elements,29855418.0,ns,10381890
scalar transform point2,euclid,1,1,elements,30735749.0,ns,10727953
scalar transform point2,euclid,1,1,elements,31757748.0,ns,11074016
scalar transform point2,euclid,1,1,elements,32725528.0,ns,11420079
scalar transform point2,euclid,1,1,elements,33736568.0,ns,11766142
scalar transform point2,euclid,1,1,elements,34763409.0,ns,12112205
scalar transform point2,euclid,1,1,elements,35913362.0,ns,12458268
scalar transform point2,euclid,1,1,elements,36665218.0,ns,12804331
scalar transform point2,euclid,1,1,elements,37704222.0,ns,13150394
scalar transform point2,euclid,1,1,elements,38602466.0,ns,13496457
scalar transform point2,euclid,1,1,elements,39602064.0,ns,13842520
scalar transform point2,euclid,1,1,elements,40787140.0,ns,14188583
scalar transform point2,euclid,1,1,elements,41609380.0,ns,14534646
scalar transform point2,euclid,1,1,elements,42654478.0,ns,14880709
scalar transform point2,euclid,1,1,elements,43561867.0,ns,15226772
scalar transform point2,euclid,1,1,elements,44674142.0,ns,15572835
scalar transform point2,euclid,1,1,elements,46189186.0,ns,15918898
scalar transform point2,euclid,1,1,elements,46696737.0,ns,16264961
scalar transform point2,euclid,1,1,elements,47709795.0,ns,16611024
scalar transform point2,euclid,1,1,elements,48561797.0,ns,16957087
scalar transform point2,euclid,1,1,elements,50078544.0,ns,17303150
scalar transform point2,euclid,1,1,elements,50625720.0,ns,17649213
scalar transform point2,euclid,1,1,elements,51469613.0,ns,17995276
scalar transform point2,euclid,1,1,elements,52976199.0,ns,18341339
scalar transform point2,euclid,1,1,elements,53531230.0,ns,18687402
scalar transform point2,euclid,1,1,elements,54495206.0,ns,19033465
scalar transform point2,euclid,1,1,elements,55577266.0,ns,19379528
scalar transform point2,euclid,1,1,elements,56614526.0,ns,19725591
scalar transform point2,euclid,1,1,elements,57407751.0,ns,20071654
