group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform point2,ultraviolet,1,1,elements,985107.0,ns,238535
scalar transform point2,ultraviolet,1,1,elements,2000058.0,ns,477070
scalar transform point2,ultraviolet,1,1,elements,3004507.0,ns,715605
scalar transform point2,ultraviolet,1,1,elements,4036093.0,ns,954140
scalar transform point2,ultraviolet,1,1,elements,5047748.0,ns,1192675
scalar transform point2,ultraviolet,1,1,elements,6050800.0,ns,1431210
scalar transform point2,ultraviolet,1,1,elements,7119987.0,ns,1669745
scalar transform point2,ultraviolet,1,1,elements,8043732.0,ns,1908280
scalar transform point2,ultraviolet,1,1,elements,9071175.0,ns,2146815
scalar transform point2,ultraviolet,1,1,elements,10095532.0,ns,2385350
scalar transform point2,ultraviolet,1,1,elements,11131521.0,ns,2623885
scalar transform point2,ultraviolet,1,1,elements,12102136.0,ns,2862420
scalar transform point2,ultraviolet,1,1,elements,13173438.0,ns,3100955
scalar transform point2,ultraviolet,1,1,elements,14134953.0,ns,3339490
scalar transform point2,ultraviolet,1,1,elements,15125200.0,ns,3578025
scalar transform point2,ultraviolet,1,1,elements,16161790.0,ns,3816560
scalar transform point2,ultraviolet,1,1,elements,17151191.0,ns,4055095
scalar transform point2,ultraviolet,1,1,elements,18141287.0,ns,4293630
scalar transform point2,ultraviolet,1,1,elements,19139263.0,ns,4532165
scalar transform point2,ultraviolet,1,1,elements,20216429.0,ns,4770700
scalar transform point2,ultraviolet,1,1,elements,21205903.0,ns,5009235
scalar transform point2,ultraviolet,1,1,elements,22184672.0,ns,5247770
scalar transform point2,ultraviolet,1,1,elements,23289223.0,ns,5486305
scalar transform point2,ultraviolet,1,1,elements,24216606.0,ns,5724840
scalar transform point2,ultraviolet,1,1,elements,25231392.0,ns,5963375
scalar transform point2,ultraviolet,1,1,elements,26252175.0,ns,6201910
scalar transform point2,ultraviolet,1,1,elements,27279736.0,ns,6440445
scalar transform point2,ultraviolet,1,1,elements,28292565.0,ns,6678980
scalar transform point2,ultraviolet,1,1,elements,29216991.0,ns,6917515
scalar transform point2,ultraviolet,1,1,elements,30239609.0,ns,7156050
scalar transform point2,ultraviolet,1,1,elements,31257824.0,ns,7394585
scalar transform point2,ultraviolet,1,1,elements,32264937.0,ns,7633120
scalar transform point2,ultraviolet,1,1,elements,33309231.0,ns,7871655
scalar transform point2,ultraviolet,1,1,elements,34349892.0,ns,8110190
scalar transform point2,ultraviolet,1,1,elements,35289767.0,ns,8348725
scalar transform point2,ultraviolet,1,1,elements,36306931.0,ns,8587260
scalar transform point2,ultraviolet,1,1,elements,37300371.0,ns,8825795
scalar transform point2,ultraviolet,1,1,elements,38324483.0,ns,9064330
scalar transform point2,ultraviolet,1,1,elements,39308743.0,ns,9302865
scalar transform point2,ultraviolet,1,1,elements,40445810.0,ns,9541400
scalar transform point2,ultraviolet,1,1,elements,41364672.0,ns,9779935
scalar transform point2,ultraviolet,1,1,elements,42440434.0,ns,10018470
scalar transform point2,ultraviolet,1,1,elements,43472080.0,ns,10257005
scalar transform point2,ultraviolet,1,1,elements,44400519.0,ns,10495540
scalar transform point2,ultraviolet,1,1,elements,45389321.0,ns,10734075
scalar transform point2,ultraviolet,1,1,elements,46412112.0,ns,10972610
scalar transform point2,ultraviolet,1,1,elements,47414143.0,ns,11211145
scalar transform point2,ultraviolet,1,1,elements,48466994.0,ns,11449680
scalar transform point2,ultraviolet,1,1,elements,49433765.0,ns,11688215
scalar transform point2,ultraviolet,1,1,elements,50541032.0,ns,11926750
scalar transform point2,ultraviolet,1,1,elements,51399447.0,ns,12165285
scalar transform point2,ultraviolet,1,1,elements,52489061.0,ns,12403820
scalar transform point2,ultraviolet,1,1,elements,53406282.0,ns,12642355
scalar transform point2,ultraviolet,1,1,elements,54476532.0,ns,12880890
scalar transform point2,ultraviolet,1,1,elements,55471706.0,ns,13119425
scalar transform point2,ultraviolet,1,1,elements,56491063.0,ns,13357960
scalar transform point2,ultraviolet,1,1,elements,57535213.0,ns,13596495
scalar transform point2,ultraviolet,1,1,elements,58474386.0,ns,13835030
scalar transform point2,ultraviolet,1,1,elements,59519662.0,ns,14073565
scalar transform point2,ultraviolet,1,1,elements,60550217.0,ns,14312100
scalar transform point2,ultraviolet,1,1,elements,61641200.0,ns,14550635
scalar transform point2,ultraviolet,1,1,elements,62570345.0,ns,14789170
scalar transform point2,ultraviolet,1,1,elements,63576771.0,ns,15027705
scalar transform point2,ultraviolet,1,1,elements,64576586.0,ns,15266240
scalar transform point2,ultraviolet,1,1,elements,65763934.0,ns,15504775
scalar transform point2,ultraviolet,1,1,elements,67510433.0,ns,15743310
scalar transform point2,ultraviolet,1,1,elements,67655721.0,ns,15981845
scalar transform point2,ultraviolet,1,1,elements,71173994.0,ns,16220380
scalar transform point2,ultraviolet,1,1,elements,69914501.0,ns,16458915
scalar transform point2,ultraviolet,1,1,elements,70972648.0,ns,16697450
scalar transform point2,ultraviolet,1,1,elements,72026433.0,ns,16935985
scalar transform point2,ultraviolet,1,1,elements,72961522.0,ns,17174520
scalar transform point2,ultraviolet,1,1,elements,74009008.0,ns,17413055
scalar transform point2,ultraviolet,1,1,elements,75013667.0,ns,17651590
scalar transform point2,ultraviolet,1,1,elements,76119432.0,ns,17890125
scalar transform point2,ultraviolet,1,1,elements,77000967.0,ns,18128660
scalar transform point2,ultraviolet,1,1,elements,78106215.0,ns,18367195
scalar transform point2,ultraviolet,1,1,elements,79183334.0,ns,18605730
scalar transform point2,ultraviolet,1,1,elements,80133879.0,ns,18844265
scalar transform point2,ultraviolet,1,1,elements,81670583.0,ns,19082800
scalar transform point2,ultraviolet,1,1,elements,82105887.0,ns,19321335
scalar transform point2,ultraviolet,1,1,elements,83421348.0,ns,19559870
scalar transform point2,ultraviolet,1,1,elements,84187990.0,ns,19798405
scalar transform point2,ultraviolet,1,1,elements,85290474.0,ns,20036940
scalar transform point2,ultraviolet,1,1,elements,86203613.0,ns,20275475
scalar transform point2,ultraviolet,1,1,elements,87266640.0,ns,20514010
scalar transform point2,ultraviolet,1,1,elements,88265725.0,ns,20752545
scalar transform point2,ultraviolet,1,1,elements,89170288.0,ns,20991080
scalar transform point2,ultraviolet,1,1,elements,90215370.0,ns,21229615
scalar transform point2,ultraviolet,1,1,elements,91184429.0,ns,21468150
scalar transform point2,ultraviolet,1,1,elements,92403951.0,ns,21706685
scalar transform point2,ultraviolet,1,1,elements,93334981.0,ns,21945220
scalar transform point2,ultraviolet,1,1,elements,94250777.0,ns,22183755
scalar transform point2,ultraviolet,1,1,elements,95341964.0,ns,22422290
scalar transform point2,ultraviolet,1,1,elements,96329584.0,ns,22660825
scalar transform point2,ultraviolet,1,1,elements,97322365.0,ns,22899360
scalar transform point2,ultraviolet,1,1,elements,98353446.0,ns,23137895
scalar transform point2,ultraviolet,1,1,elements,99370127.0,ns,23376430
scalar transform point2,ultraviolet,1,1,elements,100251967.0,ns,23614965
scalar transform point2,ultraviolet,1,1,elements,101393512.0,ns,23853500
