group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform point3,cgmath,100,100,elements,981327.0,ns,1034
scalar transform point3,cgmath,100,100,elements,1967254.0,ns,2068
scalar transform point3,cgmath,100,100,elements,2954865.0,ns,3102
scalar transform point3,cgmath,100,100,elements,4106538.0,ns,4136
scalar transform point3,cgmath,100,100,elements,5047355.0,ns,5170
scalar transform point3,cgmath,100,100,elements,5942952.0,ns,6204
scalar transform point3,cgmath,100,100,elements,6806173.0,ns,7238
scalar transform point3,cgmath,100,100,elements,7945098.0,ns,8272
scalar transform point3,cgmath,100,100,elements,8766103.0,ns,9306
scalar transform point3,cgmath,100,100,elements,10086387.0,ns,10340
scalar transform point3,cgmath,100,100,elements,11287994.0,ns,11374
scalar transform point3,cgmath,100,100,elements,11723793.0,ns,12408
scalar transform point3,cgmath,100,100,elements,12541564.0,ns,13442
scalar transform point3,cgmath,100,100,elements,13558551.0,ns,14476
scalar transform point3,cgmath,100,100,elements,14990219.0,ns,15510
scalar transform point3,cgmath,100,100,elements,15650066.0,ns,16544
scalar transform point3,cgmath,100,100,elements,16727257.0,ns,17578
scalar transform point3,cgmath,100,100,elements,17908717.0,ns,18612
scalar transform point3,cgmath,100,100,elements,19033114.0,ns,19646
scalar transform point3,cgmath,100,100,elements,19726285.0,ns,20680
scalar transform point3,cgmath,100,100,elements,20685234.0,ns,21714
scalar transform point3,cgmath,100,100,elements,21476138.0,ns,22748
scalar transform point3,cgmath,100,100,elements,22756089.0,ns,23782
scalar transform point3,cgmath,100,100,elements,24297569.0,ns,24816
scalar transform point3,cgmath,100,100,elements,24321189.0,ns,25850
scalar transform point3,cgmath,100,100,elements,25159537.0,ns,26884
scalar transform point3,cgmath,100,100,elements,26657687.0,ns,27918
scalar transform point3,cgmath,100,100,elements,27943914.0,ns,28952
scalar transform point3,cgmath,100,100,elements,28964515.0,ns,29986
scalar transform point3,cgmath,100,100,elements,30203944.0,ns,31020
scalar transform point3,cgmath,100,100,elements,30366147.0,ns,32054
scalar transform point3,cgmath,100,100,elements,32267331.0,ns,33088
scalar transform point3,cgmath,100,100,elements,33429171.0,ns,34122
scalar transform point3,cgmath,100,100,elements,33248111.0,ns,35156
scalar transform point3,cgmath,100,100,elements,34178870.0,ns,36190
scalar transform point3,cgmath,100,100,elements,35990546.0,ns,37224
scalar transform point3,cgmath,100,100,elements,36698092.0,ns,38258
scalar transform point3,cgmath,100,100,elements,37894149.0,ns,39292
scalar transform point3,cgmath,100,100,elements,38514200.0,ns,40326
scalar transform point3,cgmath,100,100,elements,39513747.0,ns,41360
scalar transform point3,cgmath,100,100,elements,40453522.0,ns,42394
scalar transform point3,cgmath,100,100,elements,41549062.0,ns,43428
scalar transform point3,cgmath,100,100,elements,42014164.0,ns,44462
scalar transform point3,cgmath,100,100,elements,43272129.0,ns,45496
scalar transform point3,cgmath,100,100,elements,44412815.0,ns,46530
scalar transform point3,cgmath,100,100,elements,45456397.0,ns,47564
scalar transform point3,cgmath,100,100,elements,46558255.0,ns,48598
scalar transform point3,cgmath,100,100,elements,48743731.0,ns,49632
scalar transform point3,cgmath,100,100,elements,48778971.0,ns,50666
scalar transform point3,cgmath,100,100,elements,49444311.0,ns,51700
scalar transform point3,cgmath,100,100,elements,50977988.0,ns,52734
scalar transform point3,cgmath,100,100,elements,50557974.0,ns,53768
scalar transform point3,cgmath,100,100,elements,52842287.0,ns,54802
scalar transform point3,cgmath,100,100,elements,53625814.0,ns,55836
scalar transform point3,cgmath,100,100,elements,52986101.0,ns,56870
scalar transform point3,cgmath,100,100,elements,55978463.0,ns,57904
scalar transform point3,cgmath,100,100,elements,56753135.0,ns,58938
scalar transform point3,cgmath,100,100,elements,57985305.0,ns,59972
scalar transform point3,cgmath,100,100,elements,58979123.0,ns,61006
scalar transform point3,cgmath,100,100,elements,59885747.0,ns,62040
scalar transform point3,cgmath,100,100,elements,60782475.0,ns,63074
scalar transform point3,cgmath,100,100,elements,61367884.0,ns,64108
scalar transform point3,cgmath,100,100,elements,62634944.0,ns,65142
scalar transform point3,cgmath,100,100,elements,63098242.0,ns,66176
scalar transform point3,cgmath,100,100,elements,64323437.0,ns,67210
scalar transform point3,cgmath,100,100,elements,65676245.0,ns,68244
scalar transform point3,cgmath,100,100,elements,66729713.0,ns,69278
scalar transform point3,cgmath,100,100,elements,66698927.0,ns,70312
scalar transform point3,cgmath,100,100,elements,66874561.0,ns,71346
scalar transform point3,cgmath,100,100,elements,69033224.0,ns,72380
scalar transform point3,cgmath,100,100,elements,70336294.0,ns,73414
scalar transform point3,cgmath,100,100,elements,71583322.0,ns,74448
scalar transform point3,cgmath,100,100,elements,71771599.0,ns,75482
scalar transform point3,cgmath,100,100,elements,72369335.0,ns,76516
scalar transform point3,cgmath,100,100,elements,73709066.0,ns,77550
scalar transform point3,cgmath,100,100,elements,74673201.0,ns,78584
scalar transform point3,cgmath,100,100,elements,76713164.0,ns,79618
scalar transform point3,cgmath,100,100,elements,77407406.0,ns,80652
scalar transform point3,cgmath,100,100,elements,78304827.0,ns,81686
scalar transform point3,cgmath,100,100,elements,79411222.0,ns,82720
scalar transform point3,cgmath,100,100,elements,80392986.0,ns,83754
scalar transform point3,cgmath,100,100,elements,80975404.0,ns,84788
scalar transform point3,cgmath,100,100,elements,80720548.0,ns,85822
scalar transform point3,cgmath,100,100,elements,82431029.0,ns,86856
scalar transform point3,cgmath,100,100,elements,83161766.0,ns,87890
scalar transform point3,cgmath,100,100,elements,84323650.0,ns,88924
scalar transform point3,cgmath,100,100,elements,85284131.0,ns,89958
scalar transform point3,cgmath,100,100,elements,86946683.0,ns,90992
scalar transform point3,cgmath,100,100,elements,85900089.0,ns,92026
scalar transform point3,cgmath,100,100,elements,87574483.0,ns,93060
scalar transform point3,cgmath,100,100,elements,89083460.0,ns,94094
scalar transform point3,cgmath,100,100,elements,91022646.0,ns,95128
scalar transform point3,cgmath,100,100,elements,90880327.0,ns,96162
scalar transform point3,cgmath,100,100,elements,92725312.0,ns,97196
scalar transform point3,cgmath,100,100,elements,92679803.0,ns,98230
scalar transform point3,cgmath,100,100,elements,94201790.0,ns,99264
scalar transform point3,cgmath,100,100,elements,96400405.0,ns,100298
scalar transform point3,cgmath,100,100,elements,95665923.0,ns,101332
scalar transform point3,cgmath,100,100,elements,98924159.0,ns,102366
scalar transform point3,cgmath,100,100,elements,96824921.0,ns,103400
