group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform point3,vek,1,1,elements,1115983.0,ns,41651
scalar transform point3,vek,1,1,elements,2100059.0,ns,83302
scalar transform point3,vek,1,1,elements,3083591.0,ns,124953
scalar transform point3,vek,1,1,elements,4269141.0,ns,166604
scalar transform point3,vek,1,1,elements,5064820.0,ns,208255
scalar transform point3,vek,1,1,elements,6057104.0,ns,249906
scalar transform point3,vek,1,1,elements,7055253.0,ns,291557
scalar transform point3,vek,1,1,elements,8027843.0,ns,333208
scalar transform point3,vek,1,1,elements,9015726.0,ns,374859
scalar transform point3,vek,1,1,elements,10005656.0,ns,416510
scalar transform point3,vek,1,1,elements,11010269.0,ns,458161
scalar transform point3,vek,1,1,elements,11990729.0,ns,499812
scalar transform point3,vek,1,1,elements,12956053.0,ns,541463
scalar transform point3,vek,1,1,elements,13948028.0,ns,583114
scalar transform point3,vek,1,1,elements,14936702.0,ns,624765
scalar transform point3,vek,1,1,elements,15960620.0,ns,666416
scalar transform point3,vek,1,1,elements,17111184.0,ns,708067
scalar transform point3,vek,1,1,elements,17979646.0,ns,749718
scalar transform point3,vek,1,1,elements,19006672.0,ns,791369
scalar transform point3,vek,1,1,elements,19878136.0,ns,833020
scalar transform point3,vek,1,1,elements,20908898.0,ns,874671
scalar transform point3,vek,1,1,elements,21861453.0,ns,916322
scalar transform point3,vek,1,1,elements,22837544.0,ns,957973
scalar transform point3,vek,1,1,elements,23833429.0,ns,999624
scalar transform point3,vek,1,1,elements,24797430.0,ns,1041275
scalar transform point3,vek,1,1,elements,25864646.0,ns,1082926
scalar transform point3,vek,1,1,elements,27057706.0,ns,1124577
scalar transform point3,vek,1,1,elements,27857582.0,ns,1166228
scalar transform point3,vek,1,1,elements,28750150.0,ns,1207879
scalar transform point3,vek,1,1,elements,29732695.0,ns,1249530
scalar transform point3,vek,1,1,elements,30736391.0,ns,1291181
scalar transform point3,vek,1,1,elements,31725037.0,ns,1332832
scalar transform point3,vek,1,1,elements,32850717.0,ns,1374483
scalar transform point3,vek,1,1,elements,34047569.0,ns,1416134
scalar transform point3,vek,1,1,elements,34705542.0,ns,1457785
scalar transform point3,vek,1,1,elements,35695212.0,ns,1499436
scalar transform point3,vek,1,1,elements,36664973.0,ns,1541087
scalar transform point3,vek,1,1,elements,37671995.0,ns,1582738
scalar transform point3,vek,1,1,elements,38828271.0,ns,1624389
scalar transform point3,vek,1,1,elements,39620114.0,ns,1666040
scalar transform point3,vek,1,1,elements,40626617.0,ns,1707691
scalar transform point3,vek,1,1,elements,41656236.0,ns,1749342
scalar transform point3,vek,1,1,elements,42861914.0,ns,1790993
scalar transform point3,vek,1,1,elements,43736239.0,ns,1832644
scalar transform point3,vek,1,1,elements,44618297.0,ns,1874295
scalar transform point3,vek,1,1,elements,45700445.0,ns,1915946
scalar transform point3,vek,1,1,elements,46571072.0,ns,1957597
scalar transform point3,vek,1,1,elements,47779440.0,ns,1999248
scalar transform point3,vek,1,1,elements,48582166.0,ns,2040899
scalar transform point3,vek,1,1,elements,49467802.0,ns,2082550
scalar transform point3,vek,1,1,elements,50571398.0,ns,2124201
scalar transform point3,vek,1,1,elements,51726280.0,ns,2165852
scalar transform point3,vek,1,1,elements,52522667.0,ns,2207503
scalar transform point3,vek,1,1,elements,53463120.0,ns,2249154
