group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform vector3,euclid,100,100,elements,1105191.0,ns,1509
scalar transform vector3,euclid,100,100,elements,2157029.0,ns,3018
scalar transform vector3,euclid,100,100,elements,3085798.0,ns,4527
scalar transform vector3,euclid,100,100,elements,4138024.0,ns,6036
scalar transform vector3,euclid,100,100,elements,5093886.0,ns,7545
scalar transform vector3,euclid,100,100,elements,6095824.0,ns,9054
scalar transform vector3,euclid,100,100,elements,7164999.0,ns,10563
scalar transform vector3,euclid,100,100,elements,8074430.0,ns,12072
scalar transform vector3,euclid,100,100,elements,9045958.0,ns,13581
scalar transform vector3,euclid,100,100,elements,10066275.0,ns,15090
scalar transform vector3,euclid,100,100,elements,11118372.0,ns,16599
scalar transform vector3,euclid,100,100,elements,12009837.0,ns,18108
scalar transform vector3,euclid,100,100,elements,12990633.0,ns,19617
scalar transform vector3,euclid,100,100,elements,13945077.0,ns,21126
scalar transform vector3,euclid,100,100,elements,15075561.0,ns,22635
scalar transform vector3,euclid,100,100,elements,15963860.0,ns,24144
scalar transform vector3,euclid,100,100,elements,17001877.0,ns,25653
scalar transform vector3,euclid,100,100,elements,18100742.0,ns,27162
scalar transform vector3,euclid,100,100,elements,19093167.0,ns,28671
scalar transform vector3,euclid,100,100,elements,19902879.0,ns,30180
scalar transform vector3,euclid,100,100,elements,20943390.0,ns,31689
scalar transform vector3,euclid,100,100,elements,21952945.0,ns,33198
scalar transform vector3,euclid,100,100,elements,22886194.0,ns,34707
scalar transform vector3,euclid,100,100,elements,23881511.0,ns,36216
scalar transform vector3,euclid,100,100,elements,24855764.0,ns,37725
scalar transform vector3,euclid,100,100,elements,25889220.0,ns,39234
scalar transform vector3,euclid,100,100,elements,26858739.0,ns,40743
scalar transform vector3,euclid,100,100,elements,27904056.0,ns,42252
scalar transform vector3,euclid,100,100,elements,28765990.0,ns,43761
scalar transform vector3,euclid,100,100,elements,29807076.0,ns,45270
scalar transform vector3,euclid,100,100,elements,30955719.0,ns,46779
scalar transform vector3,euclid,100,100,elements,31848140.0,ns,48288
scalar transform vector3,euclid,100,100,elements,32289170.0,ns,49797
scalar transform vector3,euclid,100,100,elements,32766333.0,ns,51306
scalar transform vector3,euclid,100,100,elements,34664380.0,ns,52815
scalar transform vector3,euclid,100,100,elements,35791653.0,ns,54324
scalar transform vector3,euclid,100,100,elements,36676913.0,ns,55833
scalar transform vector3,euclid,100,100,elements,37636173.0,ns,57342
scalar transform vector3,euclid,100,100,elements,38794413.0,ns,58851
scalar transform vector3,euclid,100,100,elements,39679853.0,ns,60360
scalar transform vector3,euclid,100,100,elements,40312431.0,ns,61869
