group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform vector3,nalgebra,100,100,elements,1035806.0,ns,1227
scalar transform vector3,nalgebra,100,100,elements,2113783.0,ns,2454
scalar transform vector3,nalgebra,100,100,elements,3054099.0,ns,3681
scalar transform vector3,nalgebra,100,100,elements,4058857.0,ns,4908
scalar transform vector3,nalgebra,100,100,elements,5148130.0,ns,6135
scalar transform vector3,nalgebra,100,100,elements,6038159.0,ns,7362
scalar transform vector3,nalgebra,100,100,elements,7011634.0,ns,8589
scalar transform vector3,nalgebra,100,100,elements,7999768.0,ns,9816
scalar transform vector3,nalgebra,100,100,elements,8972763.0,ns,11043
scalar transform vector3,nalgebra,100,100,elements,10081007.0,ns,12270
scalar transform vector3,nalgebra,100,100,elements,10978897.0,ns,13497
scalar transform vector3,nalgebra,100,100,elements,11975321.0,ns,14724
scalar transform vector3,nalgebra,100,100,elements,12980893.0,ns,15951
scalar transform vector3,nalgebra,100,100,elements,13911948.0,ns,17178
scalar transform vector3,nalgebra,100,100,elements,14900018.0,ns,18405
scalar transform vector3,nalgebra,100,100,elements,15901814.0,ns,19632
scalar transform vector3,nalgebra,100,100,elements,16878002.0,ns,20859
scalar transform vector3,nalgebra,100,100,elements,17880668.0,ns,22086
scalar transform vector3,nalgebra,100,100,elements,19082302.0,ns,23313
scalar transform vector3,nalgebra,100,100,elements,19868257.0,ns,24540
scalar transform vector3,nalgebra,100,100,elements,20938189.0,ns,25767
scalar transform vector3,nalgebra,100,100,elements,21933116.0,ns,26994
scalar transform vector3,nalgebra,100,100,elements,22908355.0,ns,28221
scalar transform vector3,nalgebra,100,100,elements,23904416.0,ns,29448
scalar transform vector3,nalgebra,100,100,elements,24815451.0,ns,30675
scalar transform vector3,nalgebra,100,100,elements,25815580.0,ns,31902
scalar transform vector3,nalgebra,100,100,elements,26789427.0,ns,33129
scalar transform vector3,nalgebra,100,100,elements,27920730.0,ns,34356
scalar transform vector3,nalgebra,100,100,elements,28751687.0,ns,35583
scalar transform vector3,nalgebra,100,100,elements,29813078.0,ns,36810
