group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform vector3,vek,1,1,elements,1111727.0,ns,41428
scalar transform vector3,vek,1,1,elements,2100562.0,ns,82856
scalar transform vector3,vek,1,1,elements,3088357.0,ns,124284
scalar transform vector3,vek,1,1,elements,4274347.0,ns,165712
scalar transform vector3,vek,1,1,elements,5058189.0,ns,207140
scalar transform vector3,vek,1,1,elements,6059899.0,ns,248568
scalar transform vector3,vek,1,1,elements,7053919.0,ns,289996
scalar transform vector3,vek,1,1,elements,8017873.0,ns,331424
scalar transform vector3,vek,1,1,elements,9003505.0,ns,372852
scalar transform vector3,vek,1,1,elements,10004492.0,ns,414280
scalar transform vector3,vek,1,1,elements,11005305.0,ns,455708
scalar transform vector3,vek,1,1,elements,11966201.0,ns,497136
scalar transform vector3,vek,1,1,elements,13047248.0,ns,538564
scalar transform vector3,vek,1,1,elements,13938426.0,ns,579992
scalar transform vector3,vek,1,1,elements,14981678.0,ns,621420
scalar transform vector3,vek,1,1,elements,15987290.0,ns,662848
scalar transform vector3,vek,1,1,elements,16911376.0,ns,704276
scalar transform vector3,vek,1,1,elements,17907576.0,ns,745704
scalar transform vector3,vek,1,1,elements,18871465.0,ns,787132
scalar transform vector3,vek,1,1,elements,19879207.0,ns,828560
scalar transform vector3,vek,1,1,elements,20845495.0,ns,869988
scalar transform vector3,vek,1,1,elements,21884587.0,ns,911416
scalar transform vector3,vek,1,1,elements,22877642.0,ns,952844
scalar transform vector3,vek,1,1,elements,23825324.0,ns,994272
scalar transform vector3,vek,1,1,elements,24842778.0,ns,1035700
scalar transform vector3,vek,1,1,elements,25852767.0,ns,1077128
scalar transform vector3,vek,1,1,elements,26772186.0,ns,1118556
scalar transform vector3,vek,1,1,elements,27797107.0,ns,1159984
scalar transform vector3,vek,1,1,elements,28860054.0,ns,1201412
scalar transform vector3,vek,1,1,elements,30063388.0,ns,1242840
scalar transform vector3,vek,1,1,elements,30767538.0,ns,1284268
scalar transform vector3,vek,1,1,elements,31797986.0,ns,1325696
scalar transform vector3,vek,1,1,elements,32711185.0,ns,1367124
scalar transform vector3,vek,1,1,elements,33713654.0,ns,1408552
scalar transform vector3,vek,1,1,elements,34675049.0,ns,1449980
scalar transform vector3,vek,1,1,elements,35652842.0,ns,1491408
scalar transform vector3,vek,1,1,elements,36693103.0,ns,1532836
scalar transform vector3,vek,1,1,elements,37698331.0,ns,1574264
scalar transform vector3,vek,1,1,elements,38634926.0,ns,1615692
scalar transform vector3,vek,1,1,elements,39600908.0,ns,1657120
scalar transform vector3,vek,1,1,elements,40579288.0,ns,1698548
scalar transform vector3,vek,1,1,elements,41638717.0,ns,1739976
scalar transform vector3,vek,1,1,elements,42623304.0,ns,1781404
scalar transform vector3,vek,1,1,elements,43576488.0,ns,1822832
scalar transform vector3,vek,1,1,elements,44585104.0,ns,1864260
scalar transform vector3,vek,1,1,elements,45542410.0,ns,1905688
scalar transform vector3,vek,1,1,elements,46624932.0,ns,1947116
scalar transform vector3,vek,1,1,elements,47527806.0,ns,1988544
scalar transform vector3,vek,1,1,elements,48457584.0,ns,2029972
scalar transform vector3,vek,1,1,elements,49645951.0,ns,2071400
scalar transform vector3,vek,1,1,elements,50529651.0,ns,2112828
scalar transform vector3,vek,1,1,elements,51591193.0,ns,2154256
scalar transform vector3,vek,1,1,elements,52645017.0,ns,2195684
scalar transform vector3,vek,1,1,elements,53510745.0,ns,2237112
