group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform2 mul transform2,euclid,,,,1113770.0,ns,161489
scalar transform2 mul transform2,euclid,,,,2099668.0,ns,322978
scalar transform2 mul transform2,euclid,,,,3088434.0,ns,484467
scalar transform2 mul transform2,euclid,,,,4075257.0,ns,645956
scalar transform2 mul transform2,euclid,,,,5101804.0,ns,807445
scalar transform2 mul transform2,euclid,,,,6069879.0,ns,968934
scalar transform2 mul transform2,euclid,,,,7056878.0,ns,1130423
scalar transform2 mul transform2,euclid,,,,8023470.0,ns,1291912
scalar transform2 mul transform2,euclid,,,,9028833.0,ns,1453401
scalar transform2 mul transform2,euclid,,,,10016782.0,ns,1614890
scalar transform2 mul transform2,euclid,,,,11002743.0,ns,1776379
scalar transform2 mul transform2,euclid,,,,12008215.0,ns,1937868
scalar transform2 mul transform2,euclid,,,,12960291.0,ns,2099357
scalar transform2 mul transform2,euclid,,,,13964082.0,ns,2260846
scalar transform2 mul transform2,euclid,,,,14927472.0,ns,2422335
scalar transform2 mul transform2,euclid,,,,15912778.0,ns,2583824
scalar transform2 mul transform2,euclid,,,,17044261.0,ns,2745313
scalar transform2 mul transform2,euclid,,,,17942900.0,ns,2906802
scalar transform2 mul transform2,euclid,,,,18946325.0,ns,3068291
scalar transform2 mul transform2,euclid,,,,19952899.0,ns,3229780
scalar transform2 mul transform2,euclid,,,,20869594.0,ns,3391269
scalar transform2 mul transform2,euclid,,,,21895459.0,ns,3552758
scalar transform2 mul transform2,euclid,,,,22832369.0,ns,3714247
scalar transform2 mul transform2,euclid,,,,23830903.0,ns,3875736
scalar transform2 mul transform2,euclid,,,,24817350.0,ns,4037225
scalar transform2 mul transform2,euclid,,,,25833545.0,ns,4198714
scalar transform2 mul transform2,euclid,,,,26908916.0,ns,4360203
scalar transform2 mul transform2,euclid,,,,27866947.0,ns,4521692
scalar transform2 mul transform2,euclid,,,,28760524.0,ns,4683181
scalar transform2 mul transform2,euclid,,,,29770077.0,ns,4844670
scalar transform2 mul transform2,euclid,,,,30733523.0,ns,5006159
scalar transform2 mul transform2,euclid,,,,31712872.0,ns,5167648
scalar transform2 mul transform2,euclid,,,,32774087.0,ns,5329137
scalar transform2 mul transform2,euclid,,,,33752677.0,ns,5490626
scalar transform2 mul transform2,euclid,,,,34707058.0,ns,5652115
scalar transform2 mul transform2,euclid,,,,35691495.0,ns,5813604
scalar transform2 mul transform2,euclid,,,,36653364.0,ns,5975093
scalar transform2 mul transform2,euclid,,,,37662886.0,ns,6136582
scalar transform2 mul transform2,euclid,,,,38698551.0,ns,6298071
scalar transform2 mul transform2,euclid,,,,39662188.0,ns,6459560
scalar transform2 mul transform2,euclid,,,,40605612.0,ns,6621049
scalar transform2 mul transform2,euclid,,,,41648620.0,ns,6782538
scalar transform2 mul transform2,euclid,,,,43026854.0,ns,6944027
scalar transform2 mul transform2,euclid,,,,43814616.0,ns,7105516
scalar transform2 mul transform2,euclid,,,,44563455.0,ns,7267005
scalar transform2 mul transform2,euclid,,,,45595106.0,ns,7428494
scalar transform2 mul transform2,euclid,,,,46545952.0,ns,7589983
scalar transform2 mul transform2,euclid,,,,47573822.0,ns,7751472
scalar transform2 mul transform2,euclid,,,,48539971.0,ns,7912961
scalar transform2 mul transform2,euclid,,,,49571133.0,ns,8074450
scalar transform2 mul transform2,euclid,,,,50487927.0,ns,8235939
scalar transform2 mul transform2,euclid,,,,51555590.0,ns,8397428
