group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform3 inverse,euclid,,,,1117034.0,ns,17695
scalar transform3 inverse,euclid,,,,2103708.0,ns,35390
scalar transform3 inverse,euclid,,,,3096723.0,ns,53085
scalar transform3 inverse,euclid,,,,4333381.0,ns,70780
scalar transform3 inverse,euclid,,,,5070496.0,ns,88475
scalar transform3 inverse,euclid,,,,6073544.0,ns,106170
scalar transform3 inverse,euclid,,,,7051075.0,ns,123865
scalar transform3 inverse,euclid,,,,8033007.0,ns,141560
scalar transform3 inverse,euclid,,,,9069603.0,ns,159255
scalar transform3 inverse,euclid,,,,10017038.0,ns,176950
scalar transform3 inverse,euclid,,,,11082852.0,ns,194645
scalar transform3 inverse,euclid,,,,11980960.0,ns,212340
scalar transform3 inverse,euclid,,,,13115662.0,ns,230035
scalar transform3 inverse,euclid,,,,14021178.0,ns,247730
scalar transform3 inverse,euclid,,,,14969938.0,ns,265425
scalar transform3 inverse,euclid,,,,15964682.0,ns,283120
scalar transform3 inverse,euclid,,,,16928845.0,ns,300815
scalar transform3 inverse,euclid,,,,17946726.0,ns,318510
scalar transform3 inverse,euclid,,,,18900791.0,ns,336205
scalar transform3 inverse,euclid,,,,19921299.0,ns,353900
scalar transform3 inverse,euclid,,,,20919438.0,ns,371595
scalar transform3 inverse,euclid,,,,21950567.0,ns,389290
scalar transform3 inverse,euclid,,,,22958650.0,ns,406985
scalar transform3 inverse,euclid,,,,24035369.0,ns,424680
scalar transform3 inverse,euclid,,,,24843810.0,ns,442375
scalar transform3 inverse,euclid,,,,25929417.0,ns,460070
scalar transform3 inverse,euclid,,,,26864538.0,ns,477765
scalar transform3 inverse,euclid,,,,27830326.0,ns,495460
scalar transform3 inverse,euclid,,,,28873329.0,ns,513155
scalar transform3 inverse,euclid,,,,29871908.0,ns,530850
scalar transform3 inverse,euclid,,,,30839786.0,ns,548545
scalar transform3 inverse,euclid,,,,31752750.0,ns,566240
scalar transform3 inverse,euclid,,,,32837081.0,ns,583935
scalar transform3 inverse,euclid,,,,33715769.0,ns,601630
scalar transform3 inverse,euclid,,,,34699943.0,ns,619325
scalar transform3 inverse,euclid,,,,35855080.0,ns,637020
scalar transform3 inverse,euclid,,,,36737794.0,ns,654715
scalar transform3 inverse,euclid,,,,37692761.0,ns,672410
scalar transform3 inverse,euclid,,,,38638285.0,ns,690105
scalar transform3 inverse,euclid,,,,39617801.0,ns,707800
scalar transform3 inverse,euclid,,,,40699761.0,ns,725495
scalar transform3 inverse,euclid,,,,41661624.0,ns,743190
scalar transform3 inverse,euclid,,,,42634420.0,ns,760885
scalar transform3 inverse,euclid,,,,43616976.0,ns,778580
scalar transform3 inverse,euclid,,,,44610506.0,ns,796275
scalar transform3 inverse,euclid,,,,45668820.0,ns,813970
scalar transform3 inverse,euclid,,,,46564171.0,ns,831665
scalar transform3 inverse,euclid,,,,47521267.0,ns,849360
scalar transform3 inverse,euclid,,,,48578362.0,ns,867055
scalar transform3 inverse,euclid,,,,49646848.0,ns,884750
scalar transform3 inverse,euclid,,,,50500216.0,ns,902445
scalar transform3 inverse,euclid,,,,51510195.0,ns,920140
scalar transform3 inverse,euclid,,,,52536117.0,ns,937835
scalar transform3 inverse,euclid,,,,53764552.0,ns,955530
scalar transform3 inverse,euclid,,,,54687434.0,ns,973225
scalar transform3 inverse,euclid,,,,55460224.0,ns,990920
scalar transform3 inverse,euclid,,,,56535320.0,ns,1008615
scalar transform3 inverse,euclid,,,,57504973.0,ns,1026310
scalar transform3 inverse,euclid,,,,58381483.0,ns,1044005
scalar transform3 inverse,euclid,,,,59477918.0,ns,1061700
scalar transform3 inverse,euclid,,,,60525693.0,ns,1079395
scalar transform3 inverse,euclid,,,,61427713.0,ns,1097090
scalar transform3 inverse,euclid,,,,62399792.0,ns,1114785
scalar transform3 inverse,euclid,,,,63469527.0,ns,1132480
scalar transform3 inverse,euclid,,,,64416042.0,ns,1150175
scalar transform3 inverse,euclid,,,,65290332.0,ns,1167870
scalar transform3 inverse,euclid,,,,66544541.0,ns,1185565
scalar transform3 inverse,euclid,,,,67292228.0,ns,1203260
scalar transform3 inverse,euclid,,,,68276195.0,ns,1220955
scalar transform3 inverse,euclid,,,,69379027.0,ns,1238650
scalar transform3 inverse,euclid,,,,70581119.0,ns,1256345
scalar transform3 inverse,euclid,,,,71208405.0,ns,1274040
scalar transform3 inverse,euclid,,,,72376798.0,ns,1291735
scalar transform3 inverse,euclid,,,,73247758.0,ns,1309430
scalar transform3 inverse,euclid,,,,74236312.0,ns,1327125
scalar transform3 inverse,euclid,,,,75297598.0,ns,1344820
scalar transform3 inverse,euclid,,,,76242926.0,ns,1362515
scalar transform3 inverse,euclid,,,,77376091.0,ns,1380210
scalar transform3 inverse,euclid,,,,78222453.0,ns,1397905
scalar transform3 inverse,euclid,,,,79232527.0,ns,1415600
scalar transform3 inverse,euclid,,,,80391091.0,ns,1433295
scalar transform3 inverse,euclid,,,,81318935.0,ns,1450990
scalar transform3 inverse,euclid,,,,82235958.0,ns,1468685
scalar transform3 inverse,euclid,,,,83273717.0,ns,1486380
scalar transform3 inverse,euclid,,,,84207039.0,ns,1504075
scalar transform3 inverse,euclid,,,,85097141.0,ns,1521770
scalar transform3 inverse,euclid,,,,86209633.0,ns,1539465
scalar transform3 inverse,euclid,,,,87109016.0,ns,1557160
scalar transform3 inverse,euclid,,,,88068788.0,ns,1574855
scalar transform3 inverse,euclid,,,,89263589.0,ns,1592550
scalar transform3 inverse,euclid,,,,90052034.0,ns,1610245
scalar transform3 inverse,euclid,,,,91148374.0,ns,1627940
scalar transform3 inverse,euclid,,,,91968680.0,ns,1645635
scalar transform3 inverse,euclid,,,,93242168.0,ns,1663330
scalar transform3 inverse,euclid,,,,94251609.0,ns,1681025
scalar transform3 inverse,euclid,,,,95158135.0,ns,1698720
scalar transform3 inverse,euclid,,,,96091810.0,ns,1716415
scalar transform3 inverse,euclid,,,,96964927.0,ns,1734110
scalar transform3 inverse,euclid,,,,97952398.0,ns,1751805
scalar transform3 inverse,euclid,,,,99046497.0,ns,1769500
