group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform3 return self,pathfinder,,,,1114205.0,ns,141955
scalar transform3 return self,pathfinder,,,,2104328.0,ns,283910
scalar transform3 return self,pathfinder,,,,3094261.0,ns,425865
scalar transform3 return self,pathfinder,,,,4082011.0,ns,567820
scalar transform3 return self,pathfinder,,,,5071963.0,ns,709775
scalar transform3 return self,pathfinder,,,,6078198.0,ns,851730
scalar transform3 return self,pathfinder,,,,7076974.0,ns,993685
scalar transform3 return self,pathfinder,,,,8060129.0,ns,1135640
scalar transform3 return self,pathfinder,,,,9035211.0,ns,1277595
scalar transform3 return self,pathfinder,,,,10080098.0,ns,1419550
scalar transform3 return self,pathfinder,,,,11030634.0,ns,1561505
scalar transform3 return self,pathfinder,,,,11999273.0,ns,1703460
scalar transform3 return self,pathfinder,,,,13104265.0,ns,1845415
scalar transform3 return self,pathfinder,,,,14001722.0,ns,1987370
scalar transform3 return self,pathfinder,,,,14971328.0,ns,2129325
scalar transform3 return self,pathfinder,,,,16006572.0,ns,2271280
scalar transform3 return self,pathfinder,,,,16949093.0,ns,2413235
scalar transform3 return self,pathfinder,,,,17957436.0,ns,2555190
scalar transform3 return self,pathfinder,,,,18953910.0,ns,2697145
scalar transform3 return self,pathfinder,,,,19988322.0,ns,2839100
scalar transform3 return self,pathfinder,,,,20937890.0,ns,2981055
scalar transform3 return self,pathfinder,,,,21962134.0,ns,3123010
scalar transform3 return self,pathfinder,,,,23030223.0,ns,3264965
scalar transform3 return self,pathfinder,,,,23896070.0,ns,3406920
scalar transform3 return self,pathfinder,,,,25039453.0,ns,3548875
scalar transform3 return self,pathfinder,,,,27213916.0,ns,3690830
scalar transform3 return self,pathfinder,,,,27100494.0,ns,3832785
scalar transform3 return self,pathfinder,,,,27976817.0,ns,3974740
scalar transform3 return self,pathfinder,,,,28950402.0,ns,4116695
scalar transform3 return self,pathfinder,,,,29842401.0,ns,4258650
scalar transform3 return self,pathfinder,,,,30868247.0,ns,4400605
scalar transform3 return self,pathfinder,,,,31839125.0,ns,4542560
scalar transform3 return self,pathfinder,,,,32803179.0,ns,4684515
scalar transform3 return self,pathfinder,,,,33795031.0,ns,4826470
scalar transform3 return self,pathfinder,,,,35239637.0,ns,4968425
scalar transform3 return self,pathfinder,,,,35979332.0,ns,5110380
scalar transform3 return self,pathfinder,,,,36769905.0,ns,5252335
scalar transform3 return self,pathfinder,,,,37758730.0,ns,5394290
scalar transform3 return self,pathfinder,,,,38728999.0,ns,5536245
scalar transform3 return self,pathfinder,,,,39779387.0,ns,5678200
scalar transform3 return self,pathfinder,,,,41270898.0,ns,5820155
scalar transform3 return self,pathfinder,,,,41710602.0,ns,5962110
scalar transform3 return self,pathfinder,,,,42803936.0,ns,6104065
scalar transform3 return self,pathfinder,,,,43733716.0,ns,6246020
scalar transform3 return self,pathfinder,,,,44873838.0,ns,6387975
scalar transform3 return self,pathfinder,,,,45864052.0,ns,6529930
scalar transform3 return self,pathfinder,,,,46889466.0,ns,6671885
scalar transform3 return self,pathfinder,,,,47694795.0,ns,6813840
scalar transform3 return self,pathfinder,,,,48689063.0,ns,6955795
scalar transform3 return self,pathfinder,,,,49847547.0,ns,7097750
scalar transform3 return self,pathfinder,,,,50863314.0,ns,7239705
scalar transform3 return self,pathfinder,,,,51704176.0,ns,7381660
scalar transform3 return self,pathfinder,,,,52669560.0,ns,7523615
scalar transform3 return self,pathfinder,,,,53812238.0,ns,7665570
scalar transform3 return self,pathfinder,,,,54644669.0,ns,7807525
scalar transform3 return self,pathfinder,,,,55612958.0,ns,7949480
scalar transform3 return self,pathfinder,,,,56736050.0,ns,8091435
scalar transform3 return self,pathfinder,,,,57594839.0,ns,8233390
scalar transform3 return self,pathfinder,,,,58539740.0,ns,8375345
scalar transform3 return self,pathfinder,,,,59631818.0,ns,8517300
scalar transform3 return self,pathfinder,,,,60676191.0,ns,8659255
scalar transform3 return self,pathfinder,,,,62091375.0,ns,8801210
scalar transform3 return self,pathfinder,,,,62625968.0,ns,8943165
scalar transform3 return self,pathfinder,,,,63629826.0,ns,9085120
scalar transform3 return self,pathfinder,,,,64607344.0,ns,9227075
scalar transform3 return self,pathfinder,,,,65636891.0,ns,9369030
scalar transform3 return self,pathfinder,,,,66788877.0,ns,9510985
scalar transform3 return self,pathfinder,,,,67544065.0,ns,9652940
scalar transform3 return self,pathfinder,,,,68607790.0,ns,9794895
scalar transform3 return self,pathfinder,,,,69664904.0,ns,9936850
scalar transform3 return self,pathfinder,,,,70416562.0,ns,10078805
scalar transform3 return self,pathfinder,,,,71535510.0,ns,10220760
scalar transform3 return self,pathfinder,,,,72551135.0,ns,10362715
scalar transform3 return self,pathfinder,,,,73479724.0,ns,10504670
scalar transform3 return self,pathfinder,,,,74567988.0,ns,10646625
scalar transform3 return self,pathfinder,,,,75478130.0,ns,10788580
scalar transform3 return self,pathfinder,,,,76415438.0,ns,10930535
scalar transform3 return self,pathfinder,,,,77600399.0,ns,11072490
scalar transform3 return self,pathfinder,,,,78489269.0,ns,11214445
scalar transform3 return self,pathfinder,,,,79518385.0,ns,11356400
scalar transform3 return self,pathfinder,,,,80402386.0,ns,11498355
scalar transform3 return self,pathfinder,,,,81431123.0,ns,11640310
scalar transform3 return self,pathfinder,,,,82479583.0,ns,11782265
scalar transform3 return self,pathfinder,,,,83318741.0,ns,11924220
scalar transform3 return self,pathfinder,,,,84491272.0,ns,12066175
scalar transform3 return self,pathfinder,,,,85284278.0,ns,12208130
scalar transform3 return self,pathfinder,,,,86365612.0,ns,12350085
scalar transform3 return self,pathfinder,,,,87438684.0,ns,12492040
scalar transform3 return self,pathfinder,,,,88417945.0,ns,12633995
scalar transform3 return self,pathfinder,,,,89485903.0,ns,12775950
scalar transform3 return self,pathfinder,,,,90286749.0,ns,12917905
scalar transform3 return self,pathfinder,,,,91622558.0,ns,13059860
scalar transform3 return self,pathfinder,,,,92335180.0,ns,13201815
scalar transform3 return self,pathfinder,,,,93351203.0,ns,13343770
scalar transform3 return self,pathfinder,,,,94280185.0,ns,13485725
scalar transform3 return self,pathfinder,,,,95323260.0,ns,13627680
scalar transform3 return self,pathfinder,,,,96179187.0,ns,13769635
scalar transform3 return self,pathfinder,,,,97361259.0,ns,13911590
scalar transform3 return self,pathfinder,,,,98237534.0,ns,14053545
scalar transform3 return self,pathfinder,,,,99363308.0,ns,14195500
