group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar vector3 dot,nalgebra,,,,1028238.0,ns,430374
scalar vector3 dot,nalgebra,,,,1973774.0,ns,860748
scalar vector3 dot,nalgebra,,,,3027726.0,ns,1291122
scalar vector3 dot,nalgebra,,,,3960856.0,ns,1721496
scalar vector3 dot,nalgebra,,,,4941568.0,ns,2151870
scalar vector3 dot,nalgebra,,,,5910957.0,ns,2582244
scalar vector3 dot,nalgebra,,,,6929661.0,ns,3012618
scalar vector3 dot,nalgebra,,,,7924657.0,ns,3442992
scalar vector3 dot,nalgebra,,,,8924189.0,ns,3873366
scalar vector3 dot,nalgebra,,,,9881854.0,ns,4303740
scalar vector3 dot,nalgebra,,,,10898565.0,ns,4734114
scalar vector3 dot,nalgebra,,,,11867560.0,ns,5164488
scalar vector3 dot,nalgebra,,,,12860619.0,ns,5594862
scalar vector3 dot,nalgebra,,,,13840752.0,ns,6025236
scalar vector3 dot,nalgebra,,,,14856457.0,ns,6455610
scalar vector3 dot,nalgebra,,,,15780934.0,ns,6885984
scalar vector3 dot,nalgebra,,,,16828654.0,ns,7316358
scalar vector3 dot,nalgebra,,,,17832245.0,ns,7746732
scalar vector3 dot,nalgebra,,,,18882964.0,ns,8177106
scalar vector3 dot,nalgebra,,,,19791902.0,ns,8607480
scalar vector3 dot,nalgebra,,,,20765832.0,ns,9037854
scalar vector3 dot,nalgebra,,,,21803692.0,ns,9468228
scalar vector3 dot,nalgebra,,,,22727726.0,ns,9898602
scalar vector3 dot,nalgebra,,,,23817267.0,ns,10328976
scalar vector3 dot,nalgebra,,,,24734159.0,ns,10759350
scalar vector3 dot,nalgebra,,,,25674344.0,ns,11189724
scalar vector3 dot,nalgebra,,,,26657992.0,ns,11620098
scalar vector3 dot,nalgebra,,,,27766574.0,ns,12050472
scalar vector3 dot,nalgebra,,,,28647964.0,ns,12480846
scalar vector3 dot,nalgebra,,,,29679534.0,ns,12911220
scalar vector3 dot,nalgebra,,,,30642404.0,ns,13341594
scalar vector3 dot,nalgebra,,,,31630825.0,ns,13771968
scalar vector3 dot,nalgebra,,,,32569114.0,ns,14202342
scalar vector3 dot,nalgebra,,,,33604669.0,ns,14632716
scalar vector3 dot,nalgebra,,,,34663567.0,ns,15063090
scalar vector3 dot,nalgebra,,,,35639775.0,ns,15493464
scalar vector3 dot,nalgebra,,,,36553650.0,ns,15923838
scalar vector3 dot,nalgebra,,,,37586084.0,ns,16354212
scalar vector3 dot,nalgebra,,,,38522632.0,ns,16784586
scalar vector3 dot,nalgebra,,,,39568883.0,ns,17214960
scalar vector3 dot,nalgebra,,,,40599992.0,ns,17645334
scalar vector3 dot,nalgebra,,,,41500605.0,ns,18075708
scalar vector3 dot,nalgebra,,,,42528989.0,ns,18506082
scalar vector3 dot,nalgebra,,,,43543418.0,ns,18936456
scalar vector3 dot,nalgebra,,,,44543516.0,ns,19366830
scalar vector3 dot,nalgebra,,,,45484118.0,ns,19797204
scalar vector3 dot,nalgebra,,,,46448796.0,ns,20227578
scalar vector3 dot,nalgebra,,,,47505323.0,ns,20657952
scalar vector3 dot,nalgebra,,,,48478806.0,ns,21088326
scalar vector3 dot,nalgebra,,,,49420823.0,ns,21518700
