group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar vector3 normalize,vek,,,,994709.0,ns,122526
scalar vector3 normalize,vek,,,,1975018.0,ns,245052
scalar vector3 normalize,vek,,,,2962574.0,ns,367578
scalar vector3 normalize,vek,,,,3979681.0,ns,490104
scalar vector3 normalize,vek,,,,5051584.0,ns,612630
scalar vector3 normalize,vek,,,,5923585.0,ns,735156
scalar vector3 normalize,vek,,,,6970467.0,ns,857682
scalar vector3 normalize,vek,,,,7897246.0,ns,980208
scalar vector3 normalize,vek,,,,8901273.0,ns,1102734
scalar vector3 normalize,vek,,,,9930525.0,ns,1225260
scalar vector3 normalize,vek,,,,10874020.0,ns,1347786
scalar vector3 normalize,vek,,,,11869795.0,ns,1470312
scalar vector3 normalize,vek,,,,12834584.0,ns,1592838
scalar vector3 normalize,vek,,,,13817912.0,ns,1715364
scalar vector3 normalize,vek,,,,14841884.0,ns,1837890
scalar vector3 normalize,vek,,,,15791683.0,ns,1960416
scalar vector3 normalize,vek,,,,16782821.0,ns,2082942
scalar vector3 normalize,vek,,,,17805780.0,ns,2205468
scalar vector3 normalize,vek,,,,18749119.0,ns,2327994
scalar vector3 normalize,vek,,,,19741690.0,ns,2450520
scalar vector3 normalize,vek,,,,20765436.0,ns,2573046
scalar vector3 normalize,vek,,,,21753948.0,ns,2695572
scalar vector3 normalize,vek,,,,22723810.0,ns,2818098
scalar vector3 normalize,vek,,,,23727107.0,ns,2940624
scalar vector3 normalize,vek,,,,24672111.0,ns,3063150
scalar vector3 normalize,vek,,,,25680730.0,ns,3185676
scalar vector3 normalize,vek,,,,26667918.0,ns,3308202
scalar vector3 normalize,vek,,,,27633431.0,ns,3430728
scalar vector3 normalize,vek,,,,28662077.0,ns,3553254
scalar vector3 normalize,vek,,,,29645503.0,ns,3675780
scalar vector3 normalize,vek,,,,30633960.0,ns,3798306
scalar vector3 normalize,vek,,,,31587219.0,ns,3920832
scalar vector3 normalize,vek,,,,32592900.0,ns,4043358
scalar vector3 normalize,vek,,,,33594571.0,ns,4165884
scalar vector3 normalize,vek,,,,34582547.0,ns,4288410
scalar vector3 normalize,vek,,,,35617386.0,ns,4410936
scalar vector3 normalize,vek,,,,36534576.0,ns,4533462
scalar vector3 normalize,vek,,,,37517747.0,ns,4655988
