group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar vector3 return self,glam,,,,991534.0,ns,346562
scalar vector3 return self,glam,,,,1973872.0,ns,693124
scalar vector3 return self,glam,,,,2964068.0,ns,1039686
scalar vector3 return self,glam,,,,3963224.0,ns,1386248
scalar vector3 return self,glam,,,,4952034.0,ns,1732810
scalar vector3 return self,glam,,,,5948131.0,ns,2079372
scalar vector3 return self,glam,,,,6932919.0,ns,2425934
scalar vector3 return self,glam,,,,7902188.0,ns,2772496
scalar vector3 return self,glam,,,,8932848.0,ns,3119058
scalar vector3 return self,glam,,,,9876097.0,ns,3465620
scalar vector3 return self,glam,,,,10885838.0,ns,3812182
scalar vector3 return self,glam,,,,11853748.0,ns,4158744
scalar vector3 return self,glam,,,,12860360.0,ns,4505306
scalar vector3 return self,glam,,,,13860593.0,ns,4851868
scalar vector3 return self,glam,,,,14809186.0,ns,5198430
scalar vector3 return self,glam,,,,15846568.0,ns,5544992
scalar vector3 return self,glam,,,,16826711.0,ns,5891554
scalar vector3 return self,glam,,,,17798848.0,ns,6238116
scalar vector3 return self,glam,,,,18800710.0,ns,6584678
scalar vector3 return self,glam,,,,19780108.0,ns,6931240
scalar vector3 return self,glam,,,,20743130.0,ns,7277802
scalar vector3 return self,glam,,,,21728723.0,ns,7624364
scalar vector3 return self,glam,,,,22840831.0,ns,7970926
scalar vector3 return self,glam,,,,23735511.0,ns,8317488
scalar vector3 return self,glam,,,,24716555.0,ns,8664050
scalar vector3 return self,glam,,,,25739696.0,ns,9010612
scalar vector3 return self,glam,,,,26676364.0,ns,9357174
scalar vector3 return self,glam,,,,27708324.0,ns,9703736
scalar vector3 return self,glam,,,,28667937.0,ns,10050298
scalar vector3 return self,glam,,,,29637434.0,ns,10396860
scalar vector3 return self,glam,,,,30625275.0,ns,10743422
scalar vector3 return self,glam,,,,31886889.0,ns,11089984
scalar vector3 return self,glam,,,,32652941.0,ns,11436546
scalar vector3 return self,glam,,,,33602680.0,ns,11783108
scalar vector3 return self,glam,,,,34619189.0,ns,12129670
scalar vector3 return self,glam,,,,35561440.0,ns,12476232
scalar vector3 return self,glam,,,,36577764.0,ns,12822794
scalar vector3 return self,glam,,,,37664518.0,ns,13169356
scalar vector3 return self,glam,,,,38631479.0,ns,13515918
scalar vector3 return self,glam,,,,42086343.0,ns,13862480
scalar vector3 return self,glam,,,,40593561.0,ns,14209042
scalar vector3 return self,glam,,,,41535954.0,ns,14555604
scalar vector3 return self,glam,,,,42573312.0,ns,14902166
scalar vector3 return self,glam,,,,43500399.0,ns,15248728
scalar vector3 return self,glam,,,,44490066.0,ns,15595290
scalar vector3 return self,glam,,,,45476546.0,ns,15941852
scalar vector3 return self,glam,,,,46526546.0,ns,16288414
scalar vector3 return self,glam,,,,47488315.0,ns,16634976
scalar vector3 return self,glam,,,,48426093.0,ns,16981538
scalar vector3 return self,glam,,,,49397427.0,ns,17328100
scalar vector3 return self,glam,,,,50405379.0,ns,17674662
scalar vector3 return self,glam,,,,51444333.0,ns,18021224
scalar vector3 return self,glam,,,,52410586.0,ns,18367786
scalar vector3 return self,glam,,,,53384487.0,ns,18714348
scalar vector3 return self,glam,,,,54359923.0,ns,19060910
scalar vector3 return self,glam,,,,55428839.0,ns,19407472
scalar vector3 return self,glam,,,,56347755.0,ns,19754034
scalar vector3 return self,glam,,,,57320510.0,ns,20100596
scalar vector3 return self,glam,,,,58494992.0,ns,20447158
scalar vector3 return self,glam,,,,59714392.0,ns,20793720
scalar vector3 return self,glam,,,,60299379.0,ns,21140282
scalar vector3 return self,glam,,,,61353539.0,ns,21486844
scalar vector3 return self,glam,,,,62277140.0,ns,21833406
scalar vector3 return self,glam,,,,63325340.0,ns,22179968
scalar vector3 return self,glam,,,,64238140.0,ns,22526530
scalar vector3 return self,glam,,,,65300353.0,ns,22873092
scalar vector3 return self,glam,,,,66238256.0,ns,23219654
scalar vector3 return self,glam,,,,67294614.0,ns,23566216
scalar vector3 return self,glam,,,,68323702.0,ns,23912778
scalar vector3 return self,glam,,,,69190363.0,ns,24259340
scalar vector3 return self,glam,,,,70272401.0,ns,24605902
scalar vector3 return self,glam,,,,71327264.0,ns,24952464
scalar vector3 return self,glam,,,,72136525.0,ns,25299026
scalar vector3 return self,glam,,,,73409220.0,ns,25645588
scalar vector3 return self,glam,,,,74437266.0,ns,25992150
scalar vector3 return self,glam,,,,75204438.0,ns,26338712
scalar vector3 return self,glam,,,,76226182.0,ns,26685274
scalar vector3 return self,glam,,,,77089939.0,ns,27031836
scalar vector3 return self,glam,,,,78217086.0,ns,27378398
scalar vector3 return self,glam,,,,79099778.0,ns,27724960
scalar vector3 return self,glam,,,,80030255.0,ns,28071522
scalar vector3 return self,glam,,,,81190710.0,ns,28418084
scalar vector3 return self,glam,,,,82131979.0,ns,28764646
scalar vector3 return self,glam,,,,83398789.0,ns,29111208
scalar vector3 return self,glam,,,,84134681.0,ns,29457770
scalar vector3 return self,glam,,,,85012631.0,ns,29804332
