group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar vector3 return self,nalgebra,,,,997852.0,ns,319601
scalar vector3 return self,nalgebra,,,,1977518.0,ns,639202
scalar vector3 return self,nalgebra,,,,2968948.0,ns,958803
scalar vector3 return self,nalgebra,,,,3970875.0,ns,1278404
scalar vector3 return self,nalgebra,,,,4963146.0,ns,1598005
scalar vector3 return self,nalgebra,,,,5934971.0,ns,1917606
scalar vector3 return self,nalgebra,,,,7004353.0,ns,2237207
scalar vector3 return self,nalgebra,,,,7917294.0,ns,2556808
scalar vector3 return self,nalgebra,,,,8920739.0,ns,2876409
scalar vector3 return self,nalgebra,,,,9926960.0,ns,3196010
scalar vector3 return self,nalgebra,,,,10895115.0,ns,3515611
scalar vector3 return self,nalgebra,,,,11866803.0,ns,3835212
scalar vector3 return self,nalgebra,,,,12871889.0,ns,4154813
scalar vector3 return self,nalgebra,,,,13832222.0,ns,4474414
scalar vector3 return self,nalgebra,,,,14896361.0,ns,4794015
scalar vector3 return self,nalgebra,,,,15903944.0,ns,5113616
scalar vector3 return self,nalgebra,,,,16848603.0,ns,5433217
scalar vector3 return self,nalgebra,,,,17812201.0,ns,5752818
scalar vector3 return self,nalgebra,,,,18789897.0,ns,6072419
scalar vector3 return self,nalgebra,,,,19780881.0,ns,6392020
scalar vector3 return self,nalgebra,,,,20770683.0,ns,6711621
scalar vector3 return self,nalgebra,,,,21752528.0,ns,7031222
scalar vector3 return self,nalgebra,,,,22742854.0,ns,7350823
scalar vector3 return self,nalgebra,,,,23718180.0,ns,7670424
scalar vector3 return self,nalgebra,,,,24789046.0,ns,7990025
scalar vector3 return self,nalgebra,,,,25781478.0,ns,8309626
scalar vector3 return self,nalgebra,,,,26678166.0,ns,8629227
scalar vector3 return self,nalgebra,,,,27687539.0,ns,8948828
scalar vector3 return self,nalgebra,,,,28700986.0,ns,9268429
scalar vector3 return self,nalgebra,,,,29655436.0,ns,9588030
scalar vector3 return self,nalgebra,,,,30654979.0,ns,9907631
scalar vector3 return self,nalgebra,,,,31690808.0,ns,10227232
scalar vector3 return self,nalgebra,,,,32673138.0,ns,10546833
scalar vector3 return self,nalgebra,,,,33642162.0,ns,10866434
scalar vector3 return self,nalgebra,,,,34661375.0,ns,11186035
scalar vector3 return self,nalgebra,,,,35622593.0,ns,11505636
scalar vector3 return self,nalgebra,,,,36629899.0,ns,11825237
scalar vector3 return self,nalgebra,,,,37632219.0,ns,12144838
scalar vector3 return self,nalgebra,,,,38596097.0,ns,12464439
scalar vector3 return self,nalgebra,,,,39578416.0,ns,12784040
scalar vector3 return self,nalgebra,,,,40562362.0,ns,13103641
scalar vector3 return self,nalgebra,,,,41527330.0,ns,13423242
scalar vector3 return self,nalgebra,,,,42549032.0,ns,13742843
scalar vector3 return self,nalgebra,,,,43582836.0,ns,14062444
scalar vector3 return self,nalgebra,,,,44525840.0,ns,14382045
scalar vector3 return self,nalgebra,,,,45528464.0,ns,14701646
