group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide euler 3d,glam_f32x1,80000,80000,elements,1089982.0,ns,8
wide euler 3d,glam_f32x1,80000,80000,elements,2195816.0,ns,16
wide euler 3d,glam_f32x1,80000,80000,elements,3298752.0,ns,24
wide euler 3d,glam_f32x1,80000,80000,elements,4965106.0,ns,32
wide euler 3d,glam_f32x1,80000,80000,elements,5601077.0,ns,40
wide euler 3d,glam_f32x1,80000,80000,elements,6894367.0,ns,48
wide euler 3d,glam_f32x1,80000,80000,elements,8172472.0,ns,56
wide euler 3d,glam_f32x1,80000,80000,elements,8840981.0,ns,64
wide euler 3d,glam_f32x1,80000,80000,elements,10061985.0,ns,72
wide euler 3d,glam_f32x1,80000,80000,elements,11182196.0,ns,80
wide euler 3d,glam_f32x1,80000,80000,elements,12231760.0,ns,88
wide euler 3d,glam_f32x1,80000,80000,elements,13301220.0,ns,96
wide euler 3d,glam_f32x1,80000,80000,elements,14393516.0,ns,104
wide euler 3d,glam_f32x1,80000,80000,elements,15582688.0,ns,112
wide euler 3d,glam_f32x1,80000,80000,elements,16739069.0,ns,120
wide euler 3d,glam_f32x1,80000,80000,elements,17554164.0,ns,128
wide euler 3d,glam_f32x1,80000,80000,elements,19030519.0,ns,136
wide euler 3d,glam_f32x1,80000,80000,elements,20170609.0,ns,144
wide euler 3d,glam_f32x1,80000,80000,elements,21370303.0,ns,152
wide euler 3d,glam_f32x1,80000,80000,elements,22137383.0,ns,160
wide euler 3d,glam_f32x1,80000,80000,elements,23364860.0,ns,168
wide euler 3d,glam_f32x1,80000,80000,elements,24359719.0,ns,176
wide euler 3d,glam_f32x1,80000,80000,elements,25404580.0,ns,184
wide euler 3d,glam_f32x1,80000,80000,elements,26655367.0,ns,192
wide euler 3d,glam_f32x1,80000,80000,elements,27835007.0,ns,200
wide euler 3d,glam_f32x1,80000,80000,elements,29163684.0,ns,208
wide euler 3d,glam_f32x1,80000,80000,elements,30054995.0,ns,216
wide euler 3d,glam_f32x1,80000,80000,elements,31129020.0,ns,224
wide euler 3d,glam_f32x1,80000,80000,elements,32301439.0,ns,232
wide euler 3d,glam_f32x1,80000,80000,elements,33488737.0,ns,240
wide euler 3d,glam_f32x1,80000,80000,elements,34698392.0,ns,248
wide euler 3d,glam_f32x1,80000,80000,elements,35924765.0,ns,256
wide euler 3d,glam_f32x1,80000,80000,elements,36966034.0,ns,264
wide euler 3d,glam_f32x1,80000,80000,elements,37404024.0,ns,272
wide euler 3d,glam_f32x1,80000,80000,elements,38684442.0,ns,280
wide euler 3d,glam_f32x1,80000,80000,elements,39617194.0,ns,288
wide euler 3d,glam_f32x1,80000,80000,elements,40675709.0,ns,296
wide euler 3d,glam_f32x1,80000,80000,elements,42302597.0,ns,304
wide euler 3d,glam_f32x1,80000,80000,elements,42869270.0,ns,312
wide euler 3d,glam_f32x1,80000,80000,elements,44590154.0,ns,320
wide euler 3d,glam_f32x1,80000,80000,elements,45622510.0,ns,328
wide euler 3d,glam_f32x1,80000,80000,elements,46164874.0,ns,336
wide euler 3d,glam_f32x1,80000,80000,elements,47476639.0,ns,344
wide euler 3d,glam_f32x1,80000,80000,elements,48540908.0,ns,352
wide euler 3d,glam_f32x1,80000,80000,elements,50362585.0,ns,360
wide euler 3d,glam_f32x1,80000,80000,elements,51224573.0,ns,368
wide euler 3d,glam_f32x1,80000,80000,elements,52257789.0,ns,376
wide euler 3d,glam_f32x1,80000,80000,elements,52861323.0,ns,384
wide euler 3d,glam_f32x1,80000,80000,elements,53857725.0,ns,392
wide euler 3d,glam_f32x1,80000,80000,elements,55362838.0,ns,400
wide euler 3d,glam_f32x1,80000,80000,elements,56141391.0,ns,408
wide euler 3d,glam_f32x1,80000,80000,elements,58345735.0,ns,416
wide euler 3d,glam_f32x1,80000,80000,elements,58130620.0,ns,424
wide euler 3d,glam_f32x1,80000,80000,elements,60303490.0,ns,432
wide euler 3d,glam_f32x1,80000,80000,elements,60662009.0,ns,440
wide euler 3d,glam_f32x1,80000,80000,elements,62216773.0,ns,448
wide euler 3d,glam_f32x1,80000,80000,elements,63487755.0,ns,456
wide euler 3d,glam_f32x1,80000,80000,elements,63882378.0,ns,464
wide euler 3d,glam_f32x1,80000,80000,elements,65493538.0,ns,472
wide euler 3d,glam_f32x1,80000,80000,elements,65872611.0,ns,480
wide euler 3d,glam_f32x1,80000,80000,elements,67414397.0,ns,488
wide euler 3d,glam_f32x1,80000,80000,elements,68430770.0,ns,496
wide euler 3d,glam_f32x1,80000,80000,elements,69138032.0,ns,504
wide euler 3d,glam_f32x1,80000,80000,elements,71260844.0,ns,512
wide euler 3d,glam_f32x1,80000,80000,elements,71945374.0,ns,520
wide euler 3d,glam_f32x1,80000,80000,elements,73072748.0,ns,528
wide euler 3d,glam_f32x1,80000,80000,elements,73722360.0,ns,536
wide euler 3d,glam_f32x1,80000,80000,elements,74726343.0,ns,544
wide euler 3d,glam_f32x1,80000,80000,elements,76307239.0,ns,552
wide euler 3d,glam_f32x1,80000,80000,elements,77097724.0,ns,560
wide euler 3d,glam_f32x1,80000,80000,elements,78880033.0,ns,568
wide euler 3d,glam_f32x1,80000,80000,elements,79204841.0,ns,576
wide euler 3d,glam_f32x1,80000,80000,elements,81201068.0,ns,584
wide euler 3d,glam_f32x1,80000,80000,elements,82360052.0,ns,592
wide euler 3d,glam_f32x1,80000,80000,elements,82351541.0,ns,600
wide euler 3d,glam_f32x1,80000,80000,elements,84559082.0,ns,608
wide euler 3d,glam_f32x1,80000,80000,elements,84997461.0,ns,616
wide euler 3d,glam_f32x1,80000,80000,elements,86402872.0,ns,624
wide euler 3d,glam_f32x1,80000,80000,elements,87094052.0,ns,632
wide euler 3d,glam_f32x1,80000,80000,elements,89579688.0,ns,640
wide euler 3d,glam_f32x1,80000,80000,elements,89586646.0,ns,648
wide euler 3d,glam_f32x1,80000,80000,elements,90155567.0,ns,656
wide euler 3d,glam_f32x1,80000,80000,elements,91995078.0,ns,664
wide euler 3d,glam_f32x1,80000,80000,elements,92326082.0,ns,672
wide euler 3d,glam_f32x1,80000,80000,elements,93699336.0,ns,680
wide euler 3d,glam_f32x1,80000,80000,elements,94909144.0,ns,688
wide euler 3d,glam_f32x1,80000,80000,elements,95598553.0,ns,696
wide euler 3d,glam_f32x1,80000,80000,elements,97570986.0,ns,704
wide euler 3d,glam_f32x1,80000,80000,elements,97775998.0,ns,712
wide euler 3d,glam_f32x1,80000,80000,elements,99792543.0,ns,720
wide euler 3d,glam_f32x1,80000,80000,elements,100104792.0,ns,728
wide euler 3d,glam_f32x1,80000,80000,elements,101680516.0,ns,736
wide euler 3d,glam_f32x1,80000,80000,elements,102597470.0,ns,744
wide euler 3d,glam_f32x1,80000,80000,elements,106507310.0,ns,752
wide euler 3d,glam_f32x1,80000,80000,elements,105160348.0,ns,760
wide euler 3d,glam_f32x1,80000,80000,elements,106624826.0,ns,768
wide euler 3d,glam_f32x1,80000,80000,elements,107291179.0,ns,776
wide euler 3d,glam_f32x1,80000,80000,elements,109165008.0,ns,784
wide euler 3d,glam_f32x1,80000,80000,elements,109486094.0,ns,792
wide euler 3d,glam_f32x1,80000,80000,elements,110243921.0,ns,800
