group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,1042718.0,ns,11
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,2102026.0,ns,22
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,3114775.0,ns,33
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,4198530.0,ns,44
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,5229860.0,ns,55
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,6302983.0,ns,66
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,7400301.0,ns,77
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,8659940.0,ns,88
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,9426846.0,ns,99
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,10547868.0,ns,110
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,11511337.0,ns,121
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,12470301.0,ns,132
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,13551648.0,ns,143
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,14562540.0,ns,154
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,15628393.0,ns,165
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,16646842.0,ns,176
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,17688011.0,ns,187
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,18751630.0,ns,198
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,19801374.0,ns,209
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,20878866.0,ns,220
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,21904943.0,ns,231
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,23130497.0,ns,242
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,23986637.0,ns,253
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,24984167.0,ns,264
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,26137335.0,ns,275
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,27087352.0,ns,286
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,28117025.0,ns,297
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,29180431.0,ns,308
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,30399580.0,ns,319
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,31721748.0,ns,330
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,32296290.0,ns,341
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,33336721.0,ns,352
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,34448964.0,ns,363
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,35825088.0,ns,374
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,36797834.0,ns,385
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,37772073.0,ns,396
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,39249693.0,ns,407
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,40060589.0,ns,418
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,40709064.0,ns,429
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,41962585.0,ns,440
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,42764510.0,ns,451
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,43749784.0,ns,462
wide euler 3d,ultraviolet_f32x4,80000,80000,elements,44827883.0,ns,473
