group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix2 inverse,glam_f32x1,16,16,elements,988845.0,ns,24491
wide matrix2 inverse,glam_f32x1,16,16,elements,2006345.0,ns,48982
wide matrix2 inverse,glam_f32x1,16,16,elements,3092082.0,ns,73473
wide matrix2 inverse,glam_f32x1,16,16,elements,4064989.0,ns,97964
wide matrix2 inverse,glam_f32x1,16,16,elements,5350211.0,ns,122455
wide matrix2 inverse,glam_f32x1,16,16,elements,6378072.0,ns,146946
wide matrix2 inverse,glam_f32x1,16,16,elements,7055958.0,ns,171437
wide matrix2 inverse,glam_f32x1,16,16,elements,8158613.0,ns,195928
wide matrix2 inverse,glam_f32x1,16,16,elements,9154518.0,ns,220419
wide matrix2 inverse,glam_f32x1,16,16,elements,10114039.0,ns,244910
wide matrix2 inverse,glam_f32x1,16,16,elements,11207502.0,ns,269401
wide matrix2 inverse,glam_f32x1,16,16,elements,12077532.0,ns,293892
wide matrix2 inverse,glam_f32x1,16,16,elements,13123716.0,ns,318383
wide matrix2 inverse,glam_f32x1,16,16,elements,14121361.0,ns,342874
wide matrix2 inverse,glam_f32x1,16,16,elements,15351357.0,ns,367365
wide matrix2 inverse,glam_f32x1,16,16,elements,16037233.0,ns,391856
wide matrix2 inverse,glam_f32x1,16,16,elements,17258142.0,ns,416347
wide matrix2 inverse,glam_f32x1,16,16,elements,17902302.0,ns,440838
wide matrix2 inverse,glam_f32x1,16,16,elements,19467148.0,ns,465329
wide matrix2 inverse,glam_f32x1,16,16,elements,19666495.0,ns,489820
wide matrix2 inverse,glam_f32x1,16,16,elements,21356866.0,ns,514311
wide matrix2 inverse,glam_f32x1,16,16,elements,21824276.0,ns,538802
wide matrix2 inverse,glam_f32x1,16,16,elements,23301718.0,ns,563293
wide matrix2 inverse,glam_f32x1,16,16,elements,23860184.0,ns,587784
wide matrix2 inverse,glam_f32x1,16,16,elements,24994764.0,ns,612275
wide matrix2 inverse,glam_f32x1,16,16,elements,25978053.0,ns,636766
wide matrix2 inverse,glam_f32x1,16,16,elements,26739281.0,ns,661257
wide matrix2 inverse,glam_f32x1,16,16,elements,28281205.0,ns,685748
wide matrix2 inverse,glam_f32x1,16,16,elements,28702631.0,ns,710239
wide matrix2 inverse,glam_f32x1,16,16,elements,30239005.0,ns,734730
wide matrix2 inverse,glam_f32x1,16,16,elements,31094162.0,ns,759221
wide matrix2 inverse,glam_f32x1,16,16,elements,32230516.0,ns,783712
wide matrix2 inverse,glam_f32x1,16,16,elements,33391190.0,ns,808203
wide matrix2 inverse,glam_f32x1,16,16,elements,34515624.0,ns,832694
wide matrix2 inverse,glam_f32x1,16,16,elements,34768099.0,ns,857185
wide matrix2 inverse,glam_f32x1,16,16,elements,37431031.0,ns,881676
wide matrix2 inverse,glam_f32x1,16,16,elements,36676582.0,ns,906167
wide matrix2 inverse,glam_f32x1,16,16,elements,38824189.0,ns,930658
wide matrix2 inverse,glam_f32x1,16,16,elements,38253929.0,ns,955149
wide matrix2 inverse,glam_f32x1,16,16,elements,41026360.0,ns,979640
wide matrix2 inverse,glam_f32x1,16,16,elements,40322830.0,ns,1004131
wide matrix2 inverse,glam_f32x1,16,16,elements,43113715.0,ns,1028622
wide matrix2 inverse,glam_f32x1,16,16,elements,42228902.0,ns,1053113
wide matrix2 inverse,glam_f32x1,16,16,elements,44417703.0,ns,1077604
wide matrix2 inverse,glam_f32x1,16,16,elements,44709867.0,ns,1102095
wide matrix2 inverse,glam_f32x1,16,16,elements,46015707.0,ns,1126586
wide matrix2 inverse,glam_f32x1,16,16,elements,46904976.0,ns,1151077
wide matrix2 inverse,glam_f32x1,16,16,elements,48022512.0,ns,1175568
wide matrix2 inverse,glam_f32x1,16,16,elements,49681037.0,ns,1200059
wide matrix2 inverse,glam_f32x1,16,16,elements,50151149.0,ns,1224550
wide matrix2 inverse,glam_f32x1,16,16,elements,51224352.0,ns,1249041
wide matrix2 inverse,glam_f32x1,16,16,elements,51535665.0,ns,1273532
wide matrix2 inverse,glam_f32x1,16,16,elements,53520748.0,ns,1298023
wide matrix2 inverse,glam_f32x1,16,16,elements,53922808.0,ns,1322514
wide matrix2 inverse,glam_f32x1,16,16,elements,55470977.0,ns,1347005
wide matrix2 inverse,glam_f32x1,16,16,elements,56061902.0,ns,1371496
wide matrix2 inverse,glam_f32x1,16,16,elements,57665183.0,ns,1395987
wide matrix2 inverse,glam_f32x1,16,16,elements,57546093.0,ns,1420478
wide matrix2 inverse,glam_f32x1,16,16,elements,60013371.0,ns,1444969
wide matrix2 inverse,glam_f32x1,16,16,elements,59674036.0,ns,1469460
wide matrix2 inverse,glam_f32x1,16,16,elements,61669714.0,ns,1493951
wide matrix2 inverse,glam_f32x1,16,16,elements,61489704.0,ns,1518442
wide matrix2 inverse,glam_f32x1,16,16,elements,63113055.0,ns,1542933
