group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,1082818.0,ns,982
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,2079921.0,ns,1964
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,3075290.0,ns,2946
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,4311138.0,ns,3928
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,5056290.0,ns,4910
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,6062017.0,ns,5892
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,7017763.0,ns,6874
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,8052956.0,ns,7856
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,9040077.0,ns,8838
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,9971890.0,ns,9820
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,10981494.0,ns,10802
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,11960465.0,ns,11784
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,13021198.0,ns,12766
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,13952780.0,ns,13748
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,14946874.0,ns,14730
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,15951962.0,ns,15712
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,16919860.0,ns,16694
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,17891509.0,ns,17676
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,19354923.0,ns,18658
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,19936919.0,ns,19640
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,20864806.0,ns,20622
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,21868456.0,ns,21604
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,22920917.0,ns,22586
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,23787865.0,ns,23568
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,24883420.0,ns,24550
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,25865376.0,ns,25532
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,26829137.0,ns,26514
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,27784987.0,ns,27496
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,28871058.0,ns,28478
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,29831690.0,ns,29460
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,30788469.0,ns,30442
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,31873359.0,ns,31424
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,32710961.0,ns,32406
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,33728218.0,ns,33388
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,34866333.0,ns,34370
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,35770152.0,ns,35352
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,36819336.0,ns,36334
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,37694486.0,ns,37316
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,38693880.0,ns,38298
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,39779824.0,ns,39280
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,40700513.0,ns,40262
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,41687025.0,ns,41244
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,42727937.0,ns,42226
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,43787371.0,ns,43208
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,44805229.0,ns,44190
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,45745844.0,ns,45172
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,46503247.0,ns,46154
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,47914837.0,ns,47136
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,48622417.0,ns,48118
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,49667104.0,ns,49100
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,50544901.0,ns,50082
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,51546676.0,ns,51064
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,52583249.0,ns,52046
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,53544104.0,ns,53028
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,54731644.0,ns,54010
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,55445207.0,ns,54992
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,56555597.0,ns,55974
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,57514175.0,ns,56956
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,58596564.0,ns,57938
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,59504407.0,ns,58920
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,60409774.0,ns,59902
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,62263531.0,ns,60884
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,62565049.0,ns,61866
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,63552916.0,ns,62848
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,64624851.0,ns,63830
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,65467938.0,ns,64812
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,66642300.0,ns,65794
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,67861180.0,ns,66776
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,68196769.0,ns,67758
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,69390381.0,ns,68740
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,71725971.0,ns,69722
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,72453964.0,ns,70704
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,73466624.0,ns,71686
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,74791884.0,ns,72668
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,75401332.0,ns,73650
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,78174688.0,ns,74632
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,77630926.0,ns,75614
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,78333478.0,ns,76596
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,79778510.0,ns,77578
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,80627975.0,ns,78560
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,81279867.0,ns,79542
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,82290145.0,ns,80524
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,82993527.0,ns,81506
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,83904011.0,ns,82488
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,84912557.0,ns,83470
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,85818269.0,ns,84452
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,86843449.0,ns,85434
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,87760647.0,ns,86416
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,88996103.0,ns,87398
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,89884727.0,ns,88380
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,92132371.0,ns,89362
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,91901827.0,ns,90344
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,92881903.0,ns,91326
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,93093029.0,ns,92308
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,94266303.0,ns,93290
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,99517106.0,ns,94272
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,98017147.0,ns,95254
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,95250181.0,ns,96236
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,96885262.0,ns,97218
wide matrix2 mul matrix2,nalgebra_f32x4,256,256,elements,97304521.0,ns,98200
