group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix2 mul vector2,glam_f32x1,16,16,elements,984435.0,ns,19009
wide matrix2 mul vector2,glam_f32x1,16,16,elements,1960208.0,ns,38018
wide matrix2 mul vector2,glam_f32x1,16,16,elements,2998897.0,ns,57027
wide matrix2 mul vector2,glam_f32x1,16,16,elements,3926311.0,ns,76036
wide matrix2 mul vector2,glam_f32x1,16,16,elements,4996664.0,ns,95045
wide matrix2 mul vector2,glam_f32x1,16,16,elements,6133208.0,ns,114054
wide matrix2 mul vector2,glam_f32x1,16,16,elements,6895250.0,ns,133063
wide matrix2 mul vector2,glam_f32x1,16,16,elements,7878335.0,ns,152072
wide matrix2 mul vector2,glam_f32x1,16,16,elements,8880415.0,ns,171081
wide matrix2 mul vector2,glam_f32x1,16,16,elements,9834412.0,ns,190090
wide matrix2 mul vector2,glam_f32x1,16,16,elements,10794789.0,ns,209099
wide matrix2 mul vector2,glam_f32x1,16,16,elements,11798330.0,ns,228108
wide matrix2 mul vector2,glam_f32x1,16,16,elements,12755756.0,ns,247117
wide matrix2 mul vector2,glam_f32x1,16,16,elements,13824519.0,ns,266126
wide matrix2 mul vector2,glam_f32x1,16,16,elements,14781946.0,ns,285135
wide matrix2 mul vector2,glam_f32x1,16,16,elements,15763424.0,ns,304144
wide matrix2 mul vector2,glam_f32x1,16,16,elements,16729669.0,ns,323153
wide matrix2 mul vector2,glam_f32x1,16,16,elements,17691775.0,ns,342162
wide matrix2 mul vector2,glam_f32x1,16,16,elements,18967491.0,ns,361171
wide matrix2 mul vector2,glam_f32x1,16,16,elements,19696643.0,ns,380180
wide matrix2 mul vector2,glam_f32x1,16,16,elements,20648721.0,ns,399189
wide matrix2 mul vector2,glam_f32x1,16,16,elements,21652355.0,ns,418198
wide matrix2 mul vector2,glam_f32x1,16,16,elements,22631458.0,ns,437207
wide matrix2 mul vector2,glam_f32x1,16,16,elements,23644671.0,ns,456216
wide matrix2 mul vector2,glam_f32x1,16,16,elements,24597488.0,ns,475225
wide matrix2 mul vector2,glam_f32x1,16,16,elements,25558727.0,ns,494234
wide matrix2 mul vector2,glam_f32x1,16,16,elements,26537469.0,ns,513243
wide matrix2 mul vector2,glam_f32x1,16,16,elements,27636120.0,ns,532252
wide matrix2 mul vector2,glam_f32x1,16,16,elements,28677274.0,ns,551261
wide matrix2 mul vector2,glam_f32x1,16,16,elements,29552195.0,ns,570270
wide matrix2 mul vector2,glam_f32x1,16,16,elements,30738431.0,ns,589279
wide matrix2 mul vector2,glam_f32x1,16,16,elements,31762243.0,ns,608288
wide matrix2 mul vector2,glam_f32x1,16,16,elements,32699698.0,ns,627297
wide matrix2 mul vector2,glam_f32x1,16,16,elements,33400240.0,ns,646306
wide matrix2 mul vector2,glam_f32x1,16,16,elements,35042685.0,ns,665315
wide matrix2 mul vector2,glam_f32x1,16,16,elements,35598609.0,ns,684324
wide matrix2 mul vector2,glam_f32x1,16,16,elements,36434340.0,ns,703333
wide matrix2 mul vector2,glam_f32x1,16,16,elements,37490254.0,ns,722342
wide matrix2 mul vector2,glam_f32x1,16,16,elements,38518788.0,ns,741351
wide matrix2 mul vector2,glam_f32x1,16,16,elements,39500563.0,ns,760360
wide matrix2 mul vector2,glam_f32x1,16,16,elements,40543456.0,ns,779369
wide matrix2 mul vector2,glam_f32x1,16,16,elements,41314664.0,ns,798378
wide matrix2 mul vector2,glam_f32x1,16,16,elements,42323684.0,ns,817387
wide matrix2 mul vector2,glam_f32x1,16,16,elements,43385537.0,ns,836396
wide matrix2 mul vector2,glam_f32x1,16,16,elements,44291837.0,ns,855405
wide matrix2 mul vector2,glam_f32x1,16,16,elements,45282839.0,ns,874414
wide matrix2 mul vector2,glam_f32x1,16,16,elements,46216463.0,ns,893423
wide matrix2 mul vector2,glam_f32x1,16,16,elements,47153670.0,ns,912432
wide matrix2 mul vector2,glam_f32x1,16,16,elements,48336775.0,ns,931441
wide matrix2 mul vector2,glam_f32x1,16,16,elements,49624143.0,ns,950450
