group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,1121567.0,ns,1783
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,2152518.0,ns,3566
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,3331854.0,ns,5349
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,4107993.0,ns,7132
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,5101947.0,ns,8915
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,6113669.0,ns,10698
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,7076690.0,ns,12481
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,8074521.0,ns,14264
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,9020487.0,ns,16047
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,10079138.0,ns,17830
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,10976557.0,ns,19613
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,12073278.0,ns,21396
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,12961060.0,ns,23179
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,14062649.0,ns,24962
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,14922877.0,ns,26745
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,16030732.0,ns,28528
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,17148528.0,ns,30311
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,17967708.0,ns,32094
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,18880629.0,ns,33877
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,19974262.0,ns,35660
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,20787406.0,ns,37443
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,22013004.0,ns,39226
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,22831253.0,ns,41009
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,23980499.0,ns,42792
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,24682162.0,ns,44575
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,25954362.0,ns,46358
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,26680910.0,ns,48141
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,27980877.0,ns,49924
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,28666899.0,ns,51707
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,29894641.0,ns,53490
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,30617490.0,ns,55273
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,31898930.0,ns,57056
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,32645219.0,ns,58839
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,33918690.0,ns,60622
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,34532485.0,ns,62405
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,35896252.0,ns,64188
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,36551443.0,ns,65971
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,37880603.0,ns,67754
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,38478941.0,ns,69537
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,39854823.0,ns,71320
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,40396300.0,ns,73103
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,41850304.0,ns,74886
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,42412975.0,ns,76669
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,43800976.0,ns,78452
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,44474864.0,ns,80235
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,45766768.0,ns,82018
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,46346214.0,ns,83801
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,47842468.0,ns,85584
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,48364652.0,ns,87367
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,49776539.0,ns,89150
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,50281196.0,ns,90933
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,51261634.0,ns,92716
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,52251436.0,ns,94499
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,53638396.0,ns,96282
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,54075514.0,ns,98065
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,55746085.0,ns,99848
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,56180906.0,ns,101631
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,57774606.0,ns,103414
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,58134120.0,ns,105197
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,59080282.0,ns,106980
wide matrix2 mul vector2,ultraviolet_f32x8,256,256,elements,60033122.0,ns,108763
