group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix2 return self,glam_f32x1,16,16,elements,996398.0,ns,24827
wide matrix2 return self,glam_f32x1,16,16,elements,1975375.0,ns,49654
wide matrix2 return self,glam_f32x1,16,16,elements,3019300.0,ns,74481
wide matrix2 return self,glam_f32x1,16,16,elements,4084375.0,ns,99308
wide matrix2 return self,glam_f32x1,16,16,elements,5250970.0,ns,124135
wide matrix2 return self,glam_f32x1,16,16,elements,6082156.0,ns,148962
wide matrix2 return self,glam_f32x1,16,16,elements,7016399.0,ns,173789
wide matrix2 return self,glam_f32x1,16,16,elements,7972299.0,ns,198616
wide matrix2 return self,glam_f32x1,16,16,elements,8902829.0,ns,223443
wide matrix2 return self,glam_f32x1,16,16,elements,9906265.0,ns,248270
wide matrix2 return self,glam_f32x1,16,16,elements,10910597.0,ns,273097
wide matrix2 return self,glam_f32x1,16,16,elements,11960583.0,ns,297924
wide matrix2 return self,glam_f32x1,16,16,elements,12906807.0,ns,322751
wide matrix2 return self,glam_f32x1,16,16,elements,13873452.0,ns,347578
wide matrix2 return self,glam_f32x1,16,16,elements,14892615.0,ns,372405
wide matrix2 return self,glam_f32x1,16,16,elements,15888291.0,ns,397232
wide matrix2 return self,glam_f32x1,16,16,elements,16956414.0,ns,422059
wide matrix2 return self,glam_f32x1,16,16,elements,17782561.0,ns,446886
wide matrix2 return self,glam_f32x1,16,16,elements,18727181.0,ns,471713
wide matrix2 return self,glam_f32x1,16,16,elements,19893407.0,ns,496540
wide matrix2 return self,glam_f32x1,16,16,elements,20630007.0,ns,521367
wide matrix2 return self,glam_f32x1,16,16,elements,21874721.0,ns,546194
wide matrix2 return self,glam_f32x1,16,16,elements,22673119.0,ns,571021
wide matrix2 return self,glam_f32x1,16,16,elements,23810489.0,ns,595848
wide matrix2 return self,glam_f32x1,16,16,elements,24728027.0,ns,620675
wide matrix2 return self,glam_f32x1,16,16,elements,25846301.0,ns,645502
wide matrix2 return self,glam_f32x1,16,16,elements,26777903.0,ns,670329
wide matrix2 return self,glam_f32x1,16,16,elements,27593040.0,ns,695156
wide matrix2 return self,glam_f32x1,16,16,elements,28700243.0,ns,719983
wide matrix2 return self,glam_f32x1,16,16,elements,29651516.0,ns,744810
wide matrix2 return self,glam_f32x1,16,16,elements,30587232.0,ns,769637
wide matrix2 return self,glam_f32x1,16,16,elements,32262412.0,ns,794464
wide matrix2 return self,glam_f32x1,16,16,elements,32828754.0,ns,819291
wide matrix2 return self,glam_f32x1,16,16,elements,33810460.0,ns,844118
wide matrix2 return self,glam_f32x1,16,16,elements,34577629.0,ns,868945
wide matrix2 return self,glam_f32x1,16,16,elements,36299321.0,ns,893772
wide matrix2 return self,glam_f32x1,16,16,elements,36832992.0,ns,918599
wide matrix2 return self,glam_f32x1,16,16,elements,37492779.0,ns,943426
wide matrix2 return self,glam_f32x1,16,16,elements,38834551.0,ns,968253
wide matrix2 return self,glam_f32x1,16,16,elements,39433608.0,ns,993080
wide matrix2 return self,glam_f32x1,16,16,elements,40945053.0,ns,1017907
wide matrix2 return self,glam_f32x1,16,16,elements,41466475.0,ns,1042734
wide matrix2 return self,glam_f32x1,16,16,elements,42947449.0,ns,1067561
wide matrix2 return self,glam_f32x1,16,16,elements,43518264.0,ns,1092388
wide matrix2 return self,glam_f32x1,16,16,elements,44728570.0,ns,1117215
wide matrix2 return self,glam_f32x1,16,16,elements,46186731.0,ns,1142042
wide matrix2 return self,glam_f32x1,16,16,elements,46639385.0,ns,1166869
wide matrix2 return self,glam_f32x1,16,16,elements,47277285.0,ns,1191696
wide matrix2 return self,glam_f32x1,16,16,elements,48772019.0,ns,1216523
wide matrix2 return self,glam_f32x1,16,16,elements,49236492.0,ns,1241350
wide matrix2 return self,glam_f32x1,16,16,elements,50834017.0,ns,1266177
wide matrix2 return self,glam_f32x1,16,16,elements,51325519.0,ns,1291004
wide matrix2 return self,glam_f32x1,16,16,elements,52894103.0,ns,1315831
wide matrix2 return self,glam_f32x1,16,16,elements,53245582.0,ns,1340658
wide matrix2 return self,glam_f32x1,16,16,elements,54577178.0,ns,1365485
wide matrix2 return self,glam_f32x1,16,16,elements,55399886.0,ns,1390312
wide matrix2 return self,glam_f32x1,16,16,elements,56562403.0,ns,1415139
wide matrix2 return self,glam_f32x1,16,16,elements,57222585.0,ns,1439966
wide matrix2 return self,glam_f32x1,16,16,elements,58159202.0,ns,1464793
wide matrix2 return self,glam_f32x1,16,16,elements,59296289.0,ns,1489620
wide matrix2 return self,glam_f32x1,16,16,elements,59841711.0,ns,1514447
wide matrix2 return self,glam_f32x1,16,16,elements,61199291.0,ns,1539274
wide matrix2 return self,glam_f32x1,16,16,elements,62019158.0,ns,1564101
wide matrix2 return self,glam_f32x1,16,16,elements,63218149.0,ns,1588928
wide matrix2 return self,glam_f32x1,16,16,elements,63900617.0,ns,1613755
wide matrix2 return self,glam_f32x1,16,16,elements,65655481.0,ns,1638582
wide matrix2 return self,glam_f32x1,16,16,elements,66449614.0,ns,1663409
wide matrix2 return self,glam_f32x1,16,16,elements,67494523.0,ns,1688236
wide matrix2 return self,glam_f32x1,16,16,elements,67680675.0,ns,1713063
wide matrix2 return self,glam_f32x1,16,16,elements,69271817.0,ns,1737890
wide matrix2 return self,glam_f32x1,16,16,elements,69801147.0,ns,1762717
wide matrix2 return self,glam_f32x1,16,16,elements,70944304.0,ns,1787544
wide matrix2 return self,glam_f32x1,16,16,elements,72010268.0,ns,1812371
wide matrix2 return self,glam_f32x1,16,16,elements,72842797.0,ns,1837198
wide matrix2 return self,glam_f32x1,16,16,elements,74580209.0,ns,1862025
wide matrix2 return self,glam_f32x1,16,16,elements,74493181.0,ns,1886852
wide matrix2 return self,glam_f32x1,16,16,elements,76677295.0,ns,1911679
wide matrix2 return self,glam_f32x1,16,16,elements,76180263.0,ns,1936506
wide matrix2 return self,glam_f32x1,16,16,elements,78409415.0,ns,1961333
wide matrix2 return self,glam_f32x1,16,16,elements,78507351.0,ns,1986160
wide matrix2 return self,glam_f32x1,16,16,elements,80258960.0,ns,2010987
wide matrix2 return self,glam_f32x1,16,16,elements,81739300.0,ns,2035814
wide matrix2 return self,glam_f32x1,16,16,elements,82477499.0,ns,2060641
wide matrix2 return self,glam_f32x1,16,16,elements,82921431.0,ns,2085468
wide matrix2 return self,glam_f32x1,16,16,elements,84773511.0,ns,2110295
wide matrix2 return self,glam_f32x1,16,16,elements,84649220.0,ns,2135122
wide matrix2 return self,glam_f32x1,16,16,elements,86570267.0,ns,2159949
wide matrix2 return self,glam_f32x1,16,16,elements,86617508.0,ns,2184776
wide matrix2 return self,glam_f32x1,16,16,elements,88837654.0,ns,2209603
wide matrix2 return self,glam_f32x1,16,16,elements,88331543.0,ns,2234430
wide matrix2 return self,glam_f32x1,16,16,elements,89974065.0,ns,2259257
wide matrix2 return self,glam_f32x1,16,16,elements,90597890.0,ns,2284084
wide matrix2 return self,glam_f32x1,16,16,elements,92156252.0,ns,2308911
wide matrix2 return self,glam_f32x1,16,16,elements,92634411.0,ns,2333738
wide matrix2 return self,glam_f32x1,16,16,elements,93381103.0,ns,2358565
wide matrix2 return self,glam_f32x1,16,16,elements,95558366.0,ns,2383392
wide matrix2 return self,glam_f32x1,16,16,elements,94930678.0,ns,2408219
wide matrix2 return self,glam_f32x1,16,16,elements,96755096.0,ns,2433046
wide matrix2 return self,glam_f32x1,16,16,elements,97688116.0,ns,2457873
wide matrix2 return self,glam_f32x1,16,16,elements,98550417.0,ns,2482700
