group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix2 transpose,glam_f32x1,16,16,elements,975899.0,ns,30080
wide matrix2 transpose,glam_f32x1,16,16,elements,1980945.0,ns,60160
wide matrix2 transpose,glam_f32x1,16,16,elements,3166398.0,ns,90240
wide matrix2 transpose,glam_f32x1,16,16,elements,4523529.0,ns,120320
wide matrix2 transpose,glam_f32x1,16,16,elements,7006505.0,ns,150400
wide matrix2 transpose,glam_f32x1,16,16,elements,6681280.0,ns,180480
wide matrix2 transpose,glam_f32x1,16,16,elements,7075095.0,ns,210560
wide matrix2 transpose,glam_f32x1,16,16,elements,7890323.0,ns,240640
wide matrix2 transpose,glam_f32x1,16,16,elements,8901528.0,ns,270720
wide matrix2 transpose,glam_f32x1,16,16,elements,9946256.0,ns,300800
wide matrix2 transpose,glam_f32x1,16,16,elements,10681351.0,ns,330880
wide matrix2 transpose,glam_f32x1,16,16,elements,11663530.0,ns,360960
wide matrix2 transpose,glam_f32x1,16,16,elements,12734492.0,ns,391040
wide matrix2 transpose,glam_f32x1,16,16,elements,13684743.0,ns,421120
wide matrix2 transpose,glam_f32x1,16,16,elements,14753201.0,ns,451200
wide matrix2 transpose,glam_f32x1,16,16,elements,16057335.0,ns,481280
wide matrix2 transpose,glam_f32x1,16,16,elements,16817730.0,ns,511360
wide matrix2 transpose,glam_f32x1,16,16,elements,17548635.0,ns,541440
wide matrix2 transpose,glam_f32x1,16,16,elements,18792711.0,ns,571520
wide matrix2 transpose,glam_f32x1,16,16,elements,20752007.0,ns,601600
wide matrix2 transpose,glam_f32x1,16,16,elements,20989750.0,ns,631680
wide matrix2 transpose,glam_f32x1,16,16,elements,21582981.0,ns,661760
wide matrix2 transpose,glam_f32x1,16,16,elements,22556150.0,ns,691840
wide matrix2 transpose,glam_f32x1,16,16,elements,23630418.0,ns,721920
wide matrix2 transpose,glam_f32x1,16,16,elements,24408444.0,ns,752000
wide matrix2 transpose,glam_f32x1,16,16,elements,25628615.0,ns,782080
wide matrix2 transpose,glam_f32x1,16,16,elements,26832610.0,ns,812160
wide matrix2 transpose,glam_f32x1,16,16,elements,28285181.0,ns,842240
wide matrix2 transpose,glam_f32x1,16,16,elements,28869597.0,ns,872320
wide matrix2 transpose,glam_f32x1,16,16,elements,29921678.0,ns,902400
wide matrix2 transpose,glam_f32x1,16,16,elements,33196415.0,ns,932480
wide matrix2 transpose,glam_f32x1,16,16,elements,31842837.0,ns,962560
wide matrix2 transpose,glam_f32x1,16,16,elements,32585973.0,ns,992640
wide matrix2 transpose,glam_f32x1,16,16,elements,34268857.0,ns,1022720
wide matrix2 transpose,glam_f32x1,16,16,elements,35754133.0,ns,1052800
wide matrix2 transpose,glam_f32x1,16,16,elements,35546727.0,ns,1082880
wide matrix2 transpose,glam_f32x1,16,16,elements,36349584.0,ns,1112960
wide matrix2 transpose,glam_f32x1,16,16,elements,37521691.0,ns,1143040
wide matrix2 transpose,glam_f32x1,16,16,elements,38282267.0,ns,1173120
wide matrix2 transpose,glam_f32x1,16,16,elements,39755883.0,ns,1203200
