group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,1033058.0,ns,39566
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,2030575.0,ns,79132
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,3138431.0,ns,118698
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,4025796.0,ns,158264
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,5060388.0,ns,197830
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,5974683.0,ns,237396
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,6940143.0,ns,276962
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,8036019.0,ns,316528
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,8912640.0,ns,356094
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,9893135.0,ns,395660
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,11053944.0,ns,435226
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,11895800.0,ns,474792
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,12879233.0,ns,514358
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,13832219.0,ns,553924
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,14912018.0,ns,593490
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,15858295.0,ns,633056
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,17025490.0,ns,672622
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,17860070.0,ns,712188
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,18818155.0,ns,751754
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,19801138.0,ns,791320
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,20922927.0,ns,830886
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,21858740.0,ns,870452
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,22913450.0,ns,910018
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,23787570.0,ns,949584
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,24875255.0,ns,989150
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,25689683.0,ns,1028716
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,26704939.0,ns,1068282
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,27848614.0,ns,1107848
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,28763408.0,ns,1147414
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,30567184.0,ns,1186980
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,30702661.0,ns,1226546
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,31728531.0,ns,1266112
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,32768291.0,ns,1305678
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,33752390.0,ns,1345244
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,34685942.0,ns,1384810
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,35602403.0,ns,1424376
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,36690063.0,ns,1463942
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,37508124.0,ns,1503508
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,38790078.0,ns,1543074
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,39601846.0,ns,1582640
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,40616871.0,ns,1622206
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,41638170.0,ns,1661772
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,42451741.0,ns,1701338
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,43646430.0,ns,1740904
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,44405604.0,ns,1780470
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,45637777.0,ns,1820036
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,46501314.0,ns,1859602
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,47568560.0,ns,1899168
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,48563765.0,ns,1938734
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,49544990.0,ns,1978300
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,50292805.0,ns,2017866
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,51619884.0,ns,2057432
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,53128006.0,ns,2096998
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,53416394.0,ns,2136564
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,54552558.0,ns,2176130
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,55413090.0,ns,2215696
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,56460696.0,ns,2255262
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,57382405.0,ns,2294828
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,58372637.0,ns,2334394
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,59557510.0,ns,2373960
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,60279820.0,ns,2413526
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,61821653.0,ns,2453092
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,62575978.0,ns,2492658
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,63205828.0,ns,2532224
wide matrix3 determinant,ultraviolet_f32x4,16,16,elements,64540998.0,ns,2571790
