group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,1013827.0,ns,348
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,1985912.0,ns,696
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,2970249.0,ns,1044
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,3980711.0,ns,1392
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,5031697.0,ns,1740
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,5921354.0,ns,2088
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,7091809.0,ns,2436
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,7901422.0,ns,2784
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,8829975.0,ns,3132
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,9826616.0,ns,3480
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,10916851.0,ns,3828
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,11809929.0,ns,4176
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,12810859.0,ns,4524
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,13797468.0,ns,4872
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,14756094.0,ns,5220
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,15759889.0,ns,5568
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,16748160.0,ns,5916
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,18001252.0,ns,6264
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,18637915.0,ns,6612
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,20032249.0,ns,6960
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,20671625.0,ns,7308
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,21606254.0,ns,7656
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,22883752.0,ns,8004
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,23664981.0,ns,8352
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,24653335.0,ns,8700
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,25615826.0,ns,9048
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,26567685.0,ns,9396
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,27832505.0,ns,9744
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,28613337.0,ns,10092
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,29683165.0,ns,10440
wide matrix3 mul matrix3,glam_f32x1,256,256,elements,30970811.0,ns,10788
