group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,1079068.0,ns,447
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,2081237.0,ns,894
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,3158976.0,ns,1341
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,4061765.0,ns,1788
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,5079912.0,ns,2235
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,6062936.0,ns,2682
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,7020276.0,ns,3129
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,8037014.0,ns,3576
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,9116619.0,ns,4023
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,10023724.0,ns,4470
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,11003625.0,ns,4917
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,11972351.0,ns,5364
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,13053583.0,ns,5811
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,13925482.0,ns,6258
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,15054510.0,ns,6705
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,15959109.0,ns,7152
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,17057428.0,ns,7599
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,17901539.0,ns,8046
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,19003874.0,ns,8493
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,19884061.0,ns,8940
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,21102934.0,ns,9387
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,21958162.0,ns,9834
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,22944588.0,ns,10281
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,23858020.0,ns,10728
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,24923476.0,ns,11175
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,25926278.0,ns,11622
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,27037637.0,ns,12069
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,27941751.0,ns,12516
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,28872632.0,ns,12963
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,29848768.0,ns,13410
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,30937983.0,ns,13857
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,31704531.0,ns,14304
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,32879906.0,ns,14751
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,33924283.0,ns,15198
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,34874592.0,ns,15645
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,35870546.0,ns,16092
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,36762754.0,ns,16539
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,37823383.0,ns,16986
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,38809594.0,ns,17433
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,39795915.0,ns,17880
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,40933776.0,ns,18327
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,41843672.0,ns,18774
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,42730827.0,ns,19221
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,43808382.0,ns,19668
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,44663214.0,ns,20115
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,46007199.0,ns,20562
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,46747147.0,ns,21009
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,47715317.0,ns,21456
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,48778953.0,ns,21903
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,49586708.0,ns,22350
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,50796956.0,ns,22797
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,51580124.0,ns,23244
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,52687646.0,ns,23691
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,53682550.0,ns,24138
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,54701408.0,ns,24585
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,55705871.0,ns,25032
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,56661162.0,ns,25479
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,57744182.0,ns,25926
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,58778654.0,ns,26373
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,59565865.0,ns,26820
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,60604899.0,ns,27267
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,61508224.0,ns,27714
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,62549312.0,ns,28161
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,63522200.0,ns,28608
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,64774389.0,ns,29055
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,65597037.0,ns,29502
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,66631920.0,ns,29949
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,67718235.0,ns,30396
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,68629085.0,ns,30843
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,69572062.0,ns,31290
wide matrix3 mul matrix3,nalgebra_f32x4,256,256,elements,70423741.0,ns,31737
