group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,1156848.0,ns,8638
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,2200887.0,ns,17276
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,3196151.0,ns,25914
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,4190858.0,ns,34552
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,5201921.0,ns,43190
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,6380173.0,ns,51828
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,7586857.0,ns,60466
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,8432825.0,ns,69104
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,9692784.0,ns,77742
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,10164025.0,ns,86380
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,11161200.0,ns,95018
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,12149321.0,ns,103656
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,13165957.0,ns,112294
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,14945876.0,ns,120932
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,15050637.0,ns,129570
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,16058363.0,ns,138208
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,17006535.0,ns,146846
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,18029411.0,ns,155484
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,18983954.0,ns,164122
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,21291051.0,ns,172760
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,21004530.0,ns,181398
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,22014376.0,ns,190036
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,23024048.0,ns,198674
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,23957978.0,ns,207312
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,24977512.0,ns,215950
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,25891602.0,ns,224588
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,26938248.0,ns,233226
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,29711540.0,ns,241864
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,28832899.0,ns,250502
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,29886091.0,ns,259140
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,30928338.0,ns,267778
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,31819136.0,ns,276416
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,32921309.0,ns,285054
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,34531467.0,ns,293692
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,37218708.0,ns,302330
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,38198351.0,ns,310968
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,36896709.0,ns,319606
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,40214661.0,ns,328244
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,39020196.0,ns,336882
