group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,1179151.0,ns,8621
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,2198106.0,ns,17242
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,3250617.0,ns,25863
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,4241959.0,ns,34484
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,5216107.0,ns,43105
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,6189401.0,ns,51726
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,7193173.0,ns,60347
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,8167036.0,ns,68968
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,9625109.0,ns,77589
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,10696672.0,ns,86210
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,11777070.0,ns,94831
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,12899431.0,ns,103452
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,13953107.0,ns,112073
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,14816413.0,ns,120694
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,15756516.0,ns,129315
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,17020140.0,ns,137936
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,16848003.0,ns,146557
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,19058943.0,ns,155178
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,20154495.0,ns,163799
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,21385015.0,ns,172420
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,22268270.0,ns,181041
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,23642203.0,ns,189662
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,24454919.0,ns,198283
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,25535552.0,ns,206904
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,26614889.0,ns,215525
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,27368464.0,ns,224146
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,27198136.0,ns,232767
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,29469076.0,ns,241388
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,30910233.0,ns,250009
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,29909584.0,ns,258630
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,32909028.0,ns,267251
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,32090476.0,ns,275872
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,34812218.0,ns,284493
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,33791304.0,ns,293114
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,34998782.0,ns,301735
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,35651593.0,ns,310356
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,39195534.0,ns,318977
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,38160531.0,ns,327598
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,40849727.0,ns,336219
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,42394006.0,ns,344840
wide matrix3 mul matrix3,ultraviolet_f32x8,16,16,elements,43486655.0,ns,353461
