group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,1376496.0,ns,22899
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,2450030.0,ns,45798
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,3480557.0,ns,68697
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,4459886.0,ns,91596
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,5571875.0,ns,114495
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,6262861.0,ns,137394
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,7403001.0,ns,160293
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,8626194.0,ns,183192
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,9273512.0,ns,206091
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,10346642.0,ns,228990
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,11316965.0,ns,251889
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,13301374.0,ns,274788
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,14538088.0,ns,297687
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,15560173.0,ns,320586
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,15213238.0,ns,343485
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,17290257.0,ns,366384
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,16984214.0,ns,389283
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,18038471.0,ns,412182
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,19022378.0,ns,435081
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,20015349.0,ns,457980
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,20996215.0,ns,480879
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,22114527.0,ns,503778
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,22879773.0,ns,526677
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,23985545.0,ns,549576
wide matrix3 mul vector3,nalgebra_f32x8,16,16,elements,24922191.0,ns,572475
