group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,1366011.0,ns,24026
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,2421129.0,ns,48052
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,3448143.0,ns,72078
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,4469249.0,ns,96104
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,5488024.0,ns,120130
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,6488281.0,ns,144156
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,7492378.0,ns,168182
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,8548560.0,ns,192208
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,9536110.0,ns,216234
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,10460980.0,ns,240260
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,11511130.0,ns,264286
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,12448059.0,ns,288312
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,13450185.0,ns,312338
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,14445220.0,ns,336364
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,15493602.0,ns,360390
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,16382081.0,ns,384416
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,17331075.0,ns,408442
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,18317268.0,ns,432468
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,19331362.0,ns,456494
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,20353518.0,ns,480520
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,21364157.0,ns,504546
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,22370455.0,ns,528572
wide matrix3 mul vector3,ultraviolet_f32x4,16,16,elements,23641628.0,ns,552598
