group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix3 return self,nalgebra_f32x4,16,16,elements,1046500.0,ns,13202
wide matrix3 return self,nalgebra_f32x4,16,16,elements,2077752.0,ns,26404
wide matrix3 return self,nalgebra_f32x4,16,16,elements,3078363.0,ns,39606
wide matrix3 return self,nalgebra_f32x4,16,16,elements,4082782.0,ns,52808
wide matrix3 return self,nalgebra_f32x4,16,16,elements,5095360.0,ns,66010
wide matrix3 return self,nalgebra_f32x4,16,16,elements,6115521.0,ns,79212
wide matrix3 return self,nalgebra_f32x4,16,16,elements,7088818.0,ns,92414
wide matrix3 return self,nalgebra_f32x4,16,16,elements,8098046.0,ns,105616
wide matrix3 return self,nalgebra_f32x4,16,16,elements,9220036.0,ns,118818
wide matrix3 return self,nalgebra_f32x4,16,16,elements,10104790.0,ns,132020
wide matrix3 return self,nalgebra_f32x4,16,16,elements,11141649.0,ns,145222
wide matrix3 return self,nalgebra_f32x4,16,16,elements,12122408.0,ns,158424
wide matrix3 return self,nalgebra_f32x4,16,16,elements,13230655.0,ns,171626
wide matrix3 return self,nalgebra_f32x4,16,16,elements,14090136.0,ns,184828
wide matrix3 return self,nalgebra_f32x4,16,16,elements,15161185.0,ns,198030
wide matrix3 return self,nalgebra_f32x4,16,16,elements,16095862.0,ns,211232
wide matrix3 return self,nalgebra_f32x4,16,16,elements,17005197.0,ns,224434
wide matrix3 return self,nalgebra_f32x4,16,16,elements,18200706.0,ns,237636
wide matrix3 return self,nalgebra_f32x4,16,16,elements,19166697.0,ns,250838
wide matrix3 return self,nalgebra_f32x4,16,16,elements,20127887.0,ns,264040
wide matrix3 return self,nalgebra_f32x4,16,16,elements,21003516.0,ns,277242
wide matrix3 return self,nalgebra_f32x4,16,16,elements,22105457.0,ns,290444
wide matrix3 return self,nalgebra_f32x4,16,16,elements,23168613.0,ns,303646
wide matrix3 return self,nalgebra_f32x4,16,16,elements,24237137.0,ns,316848
wide matrix3 return self,nalgebra_f32x4,16,16,elements,25139319.0,ns,330050
wide matrix3 return self,nalgebra_f32x4,16,16,elements,26081640.0,ns,343252
wide matrix3 return self,nalgebra_f32x4,16,16,elements,26949677.0,ns,356454
wide matrix3 return self,nalgebra_f32x4,16,16,elements,28170750.0,ns,369656
wide matrix3 return self,nalgebra_f32x4,16,16,elements,29227160.0,ns,382858
wide matrix3 return self,nalgebra_f32x4,16,16,elements,30331316.0,ns,396060
wide matrix3 return self,nalgebra_f32x4,16,16,elements,31252570.0,ns,409262
wide matrix3 return self,nalgebra_f32x4,16,16,elements,32056870.0,ns,422464
wide matrix3 return self,nalgebra_f32x4,16,16,elements,33193964.0,ns,435666
wide matrix3 return self,nalgebra_f32x4,16,16,elements,34163696.0,ns,448868
wide matrix3 return self,nalgebra_f32x4,16,16,elements,35143974.0,ns,462070
wide matrix3 return self,nalgebra_f32x4,16,16,elements,36368902.0,ns,475272
wide matrix3 return self,nalgebra_f32x4,16,16,elements,37059776.0,ns,488474
wide matrix3 return self,nalgebra_f32x4,16,16,elements,38176192.0,ns,501676
wide matrix3 return self,nalgebra_f32x4,16,16,elements,39450326.0,ns,514878
wide matrix3 return self,nalgebra_f32x4,16,16,elements,40103287.0,ns,528080
wide matrix3 return self,nalgebra_f32x4,16,16,elements,41207986.0,ns,541282
wide matrix3 return self,nalgebra_f32x4,16,16,elements,45857887.0,ns,554484
wide matrix3 return self,nalgebra_f32x4,16,16,elements,43749172.0,ns,567686
wide matrix3 return self,nalgebra_f32x4,16,16,elements,44280385.0,ns,580888
wide matrix3 return self,nalgebra_f32x4,16,16,elements,45212524.0,ns,594090
wide matrix3 return self,nalgebra_f32x4,16,16,elements,46239511.0,ns,607292
wide matrix3 return self,nalgebra_f32x4,16,16,elements,48085992.0,ns,620494
wide matrix3 return self,nalgebra_f32x4,16,16,elements,48904821.0,ns,633696
wide matrix3 return self,nalgebra_f32x4,16,16,elements,49145914.0,ns,646898
wide matrix3 return self,nalgebra_f32x4,16,16,elements,50221580.0,ns,660100
wide matrix3 return self,nalgebra_f32x4,16,16,elements,50776088.0,ns,673302
wide matrix3 return self,nalgebra_f32x4,16,16,elements,52146389.0,ns,686504
wide matrix3 return self,nalgebra_f32x4,16,16,elements,53536900.0,ns,699706
wide matrix3 return self,nalgebra_f32x4,16,16,elements,54135800.0,ns,712908
wide matrix3 return self,nalgebra_f32x4,16,16,elements,55288582.0,ns,726110
wide matrix3 return self,nalgebra_f32x4,16,16,elements,56022373.0,ns,739312
wide matrix3 return self,nalgebra_f32x4,16,16,elements,57079751.0,ns,752514
wide matrix3 return self,nalgebra_f32x4,16,16,elements,58892216.0,ns,765716
wide matrix3 return self,nalgebra_f32x4,16,16,elements,58945922.0,ns,778918
wide matrix3 return self,nalgebra_f32x4,16,16,elements,60030614.0,ns,792120
wide matrix3 return self,nalgebra_f32x4,16,16,elements,61064667.0,ns,805322
wide matrix3 return self,nalgebra_f32x4,16,16,elements,61983983.0,ns,818524
wide matrix3 return self,nalgebra_f32x4,16,16,elements,63059622.0,ns,831726
wide matrix3 return self,nalgebra_f32x4,16,16,elements,64886222.0,ns,844928
wide matrix3 return self,nalgebra_f32x4,16,16,elements,65141330.0,ns,858130
wide matrix3 return self,nalgebra_f32x4,16,16,elements,66138183.0,ns,871332
wide matrix3 return self,nalgebra_f32x4,16,16,elements,67934386.0,ns,884534
wide matrix3 return self,nalgebra_f32x4,16,16,elements,68095142.0,ns,897736
wide matrix3 return self,nalgebra_f32x4,16,16,elements,69470178.0,ns,910938
wide matrix3 return self,nalgebra_f32x4,16,16,elements,70138730.0,ns,924140
wide matrix3 return self,nalgebra_f32x4,16,16,elements,71827762.0,ns,937342
wide matrix3 return self,nalgebra_f32x4,16,16,elements,72213486.0,ns,950544
wide matrix3 return self,nalgebra_f32x4,16,16,elements,73144458.0,ns,963746
wide matrix3 return self,nalgebra_f32x4,16,16,elements,73780971.0,ns,976948
wide matrix3 return self,nalgebra_f32x4,16,16,elements,75082794.0,ns,990150
wide matrix3 return self,nalgebra_f32x4,16,16,elements,76363190.0,ns,1003352
wide matrix3 return self,nalgebra_f32x4,16,16,elements,77294853.0,ns,1016554
wide matrix3 return self,nalgebra_f32x4,16,16,elements,77996389.0,ns,1029756
wide matrix3 return self,nalgebra_f32x4,16,16,elements,78834847.0,ns,1042958
wide matrix3 return self,nalgebra_f32x4,16,16,elements,80167374.0,ns,1056160
wide matrix3 return self,nalgebra_f32x4,16,16,elements,80919388.0,ns,1069362
wide matrix3 return self,nalgebra_f32x4,16,16,elements,82095601.0,ns,1082564
wide matrix3 return self,nalgebra_f32x4,16,16,elements,82917949.0,ns,1095766
wide matrix3 return self,nalgebra_f32x4,16,16,elements,84213760.0,ns,1108968
wide matrix3 return self,nalgebra_f32x4,16,16,elements,84975906.0,ns,1122170
wide matrix3 return self,nalgebra_f32x4,16,16,elements,85782896.0,ns,1135372
wide matrix3 return self,nalgebra_f32x4,16,16,elements,87034845.0,ns,1148574
wide matrix3 return self,nalgebra_f32x4,16,16,elements,88131709.0,ns,1161776
wide matrix3 return self,nalgebra_f32x4,16,16,elements,89013384.0,ns,1174978
wide matrix3 return self,nalgebra_f32x4,16,16,elements,89677635.0,ns,1188180
wide matrix3 return self,nalgebra_f32x4,16,16,elements,90956017.0,ns,1201382
wide matrix3 return self,nalgebra_f32x4,16,16,elements,93229276.0,ns,1214584
wide matrix3 return self,nalgebra_f32x4,16,16,elements,93196970.0,ns,1227786
wide matrix3 return self,nalgebra_f32x4,16,16,elements,93668939.0,ns,1240988
wide matrix3 return self,nalgebra_f32x4,16,16,elements,95210904.0,ns,1254190
wide matrix3 return self,nalgebra_f32x4,16,16,elements,95920155.0,ns,1267392
wide matrix3 return self,nalgebra_f32x4,16,16,elements,97214217.0,ns,1280594
wide matrix3 return self,nalgebra_f32x4,16,16,elements,98166192.0,ns,1293796
