group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix3 return self,nalgebra_f32x4,16,16,elements,1001119.0,ns,11872
wide matrix3 return self,nalgebra_f32x4,16,16,elements,2035813.0,ns,23744
wide matrix3 return self,nalgebra_f32x4,16,16,elements,3018696.0,ns,35616
wide matrix3 return self,nalgebra_f32x4,16,16,elements,3978592.0,ns,47488
wide matrix3 return self,nalgebra_f32x4,16,16,elements,5049594.0,ns,59360
wide matrix3 return self,nalgebra_f32x4,16,16,elements,6008312.0,ns,71232
wide matrix3 return self,nalgebra_f32x4,16,16,elements,6871581.0,ns,83104
wide matrix3 return self,nalgebra_f32x4,16,16,elements,7873758.0,ns,94976
wide matrix3 return self,nalgebra_f32x4,16,16,elements,8845895.0,ns,106848
wide matrix3 return self,nalgebra_f32x4,16,16,elements,9858717.0,ns,118720
wide matrix3 return self,nalgebra_f32x4,16,16,elements,10776754.0,ns,130592
wide matrix3 return self,nalgebra_f32x4,16,16,elements,11749357.0,ns,142464
wide matrix3 return self,nalgebra_f32x4,16,16,elements,12716357.0,ns,154336
wide matrix3 return self,nalgebra_f32x4,16,16,elements,13746318.0,ns,166208
wide matrix3 return self,nalgebra_f32x4,16,16,elements,14754741.0,ns,178080
wide matrix3 return self,nalgebra_f32x4,16,16,elements,15645168.0,ns,189952
wide matrix3 return self,nalgebra_f32x4,16,16,elements,16623139.0,ns,201824
wide matrix3 return self,nalgebra_f32x4,16,16,elements,17764672.0,ns,213696
wide matrix3 return self,nalgebra_f32x4,16,16,elements,18675518.0,ns,225568
wide matrix3 return self,nalgebra_f32x4,16,16,elements,19534310.0,ns,237440
wide matrix3 return self,nalgebra_f32x4,16,16,elements,20520661.0,ns,249312
wide matrix3 return self,nalgebra_f32x4,16,16,elements,21683781.0,ns,261184
wide matrix3 return self,nalgebra_f32x4,16,16,elements,22498167.0,ns,273056
wide matrix3 return self,nalgebra_f32x4,16,16,elements,23507765.0,ns,284928
wide matrix3 return self,nalgebra_f32x4,16,16,elements,24607243.0,ns,296800
wide matrix3 return self,nalgebra_f32x4,16,16,elements,25564796.0,ns,308672
wide matrix3 return self,nalgebra_f32x4,16,16,elements,26452464.0,ns,320544
wide matrix3 return self,nalgebra_f32x4,16,16,elements,27343915.0,ns,332416
wide matrix3 return self,nalgebra_f32x4,16,16,elements,28375372.0,ns,344288
wide matrix3 return self,nalgebra_f32x4,16,16,elements,29234639.0,ns,356160
wide matrix3 return self,nalgebra_f32x4,16,16,elements,30318795.0,ns,368032
wide matrix3 return self,nalgebra_f32x4,16,16,elements,31262278.0,ns,379904
wide matrix3 return self,nalgebra_f32x4,16,16,elements,32429361.0,ns,391776
wide matrix3 return self,nalgebra_f32x4,16,16,elements,33490805.0,ns,403648
wide matrix3 return self,nalgebra_f32x4,16,16,elements,34296545.0,ns,415520
wide matrix3 return self,nalgebra_f32x4,16,16,elements,35109332.0,ns,427392
wide matrix3 return self,nalgebra_f32x4,16,16,elements,36272205.0,ns,439264
wide matrix3 return self,nalgebra_f32x4,16,16,elements,37072643.0,ns,451136
wide matrix3 return self,nalgebra_f32x4,16,16,elements,38224818.0,ns,463008
wide matrix3 return self,nalgebra_f32x4,16,16,elements,39076955.0,ns,474880
wide matrix3 return self,nalgebra_f32x4,16,16,elements,40062809.0,ns,486752
wide matrix3 return self,nalgebra_f32x4,16,16,elements,41080181.0,ns,498624
wide matrix3 return self,nalgebra_f32x4,16,16,elements,42169967.0,ns,510496
wide matrix3 return self,nalgebra_f32x4,16,16,elements,43024924.0,ns,522368
wide matrix3 return self,nalgebra_f32x4,16,16,elements,43987365.0,ns,534240
wide matrix3 return self,nalgebra_f32x4,16,16,elements,45107055.0,ns,546112
wide matrix3 return self,nalgebra_f32x4,16,16,elements,46001242.0,ns,557984
wide matrix3 return self,nalgebra_f32x4,16,16,elements,46752922.0,ns,569856
wide matrix3 return self,nalgebra_f32x4,16,16,elements,48033254.0,ns,581728
wide matrix3 return self,nalgebra_f32x4,16,16,elements,49027160.0,ns,593600
wide matrix3 return self,nalgebra_f32x4,16,16,elements,49812825.0,ns,605472
wide matrix3 return self,nalgebra_f32x4,16,16,elements,50683450.0,ns,617344
wide matrix3 return self,nalgebra_f32x4,16,16,elements,51731608.0,ns,629216
wide matrix3 return self,nalgebra_f32x4,16,16,elements,52947881.0,ns,641088
wide matrix3 return self,nalgebra_f32x4,16,16,elements,53511022.0,ns,652960
wide matrix3 return self,nalgebra_f32x4,16,16,elements,54700810.0,ns,664832
wide matrix3 return self,nalgebra_f32x4,16,16,elements,55607081.0,ns,676704
wide matrix3 return self,nalgebra_f32x4,16,16,elements,56620420.0,ns,688576
wide matrix3 return self,nalgebra_f32x4,16,16,elements,57610014.0,ns,700448
wide matrix3 return self,nalgebra_f32x4,16,16,elements,58800372.0,ns,712320
wide matrix3 return self,nalgebra_f32x4,16,16,elements,59612785.0,ns,724192
wide matrix3 return self,nalgebra_f32x4,16,16,elements,60510270.0,ns,736064
wide matrix3 return self,nalgebra_f32x4,16,16,elements,61589342.0,ns,747936
wide matrix3 return self,nalgebra_f32x4,16,16,elements,62739507.0,ns,759808
wide matrix3 return self,nalgebra_f32x4,16,16,elements,63465687.0,ns,771680
wide matrix3 return self,nalgebra_f32x4,16,16,elements,64565655.0,ns,783552
wide matrix3 return self,nalgebra_f32x4,16,16,elements,65469255.0,ns,795424
wide matrix3 return self,nalgebra_f32x4,16,16,elements,66668732.0,ns,807296
wide matrix3 return self,nalgebra_f32x4,16,16,elements,67704359.0,ns,819168
wide matrix3 return self,nalgebra_f32x4,16,16,elements,68703513.0,ns,831040
wide matrix3 return self,nalgebra_f32x4,16,16,elements,69581543.0,ns,842912
wide matrix3 return self,nalgebra_f32x4,16,16,elements,70138062.0,ns,854784
wide matrix3 return self,nalgebra_f32x4,16,16,elements,71173606.0,ns,866656
wide matrix3 return self,nalgebra_f32x4,16,16,elements,72262591.0,ns,878528
wide matrix3 return self,nalgebra_f32x4,16,16,elements,73246119.0,ns,890400
wide matrix3 return self,nalgebra_f32x4,16,16,elements,74580891.0,ns,902272
wide matrix3 return self,nalgebra_f32x4,16,16,elements,75271825.0,ns,914144
wide matrix3 return self,nalgebra_f32x4,16,16,elements,76606184.0,ns,926016
wide matrix3 return self,nalgebra_f32x4,16,16,elements,77093797.0,ns,937888
wide matrix3 return self,nalgebra_f32x4,16,16,elements,78139338.0,ns,949760
wide matrix3 return self,nalgebra_f32x4,16,16,elements,79066176.0,ns,961632
wide matrix3 return self,nalgebra_f32x4,16,16,elements,79729714.0,ns,973504
wide matrix3 return self,nalgebra_f32x4,16,16,elements,81216497.0,ns,985376
wide matrix3 return self,nalgebra_f32x4,16,16,elements,82120858.0,ns,997248
wide matrix3 return self,nalgebra_f32x4,16,16,elements,83294957.0,ns,1009120
wide matrix3 return self,nalgebra_f32x4,16,16,elements,84129245.0,ns,1020992
wide matrix3 return self,nalgebra_f32x4,16,16,elements,84873706.0,ns,1032864
wide matrix3 return self,nalgebra_f32x4,16,16,elements,85879609.0,ns,1044736
wide matrix3 return self,nalgebra_f32x4,16,16,elements,87427672.0,ns,1056608
wide matrix3 return self,nalgebra_f32x4,16,16,elements,88224152.0,ns,1068480
wide matrix3 return self,nalgebra_f32x4,16,16,elements,88774208.0,ns,1080352
wide matrix3 return self,nalgebra_f32x4,16,16,elements,90181448.0,ns,1092224
wide matrix3 return self,nalgebra_f32x4,16,16,elements,90823494.0,ns,1104096
wide matrix3 return self,nalgebra_f32x4,16,16,elements,91755861.0,ns,1115968
wide matrix3 return self,nalgebra_f32x4,16,16,elements,92644194.0,ns,1127840
wide matrix3 return self,nalgebra_f32x4,16,16,elements,93695837.0,ns,1139712
