group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,1049788.0,ns,13356
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,2078575.0,ns,26712
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,3360667.0,ns,40068
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,4440616.0,ns,53424
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,5235824.0,ns,66780
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,6251983.0,ns,80136
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,7323429.0,ns,93492
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,8242063.0,ns,106848
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,9290170.0,ns,120204
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,10231224.0,ns,133560
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,11074881.0,ns,146916
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,12169914.0,ns,160272
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,13095822.0,ns,173628
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,14174015.0,ns,186984
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,15390292.0,ns,200340
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,17437384.0,ns,213696
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,18672926.0,ns,227052
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,18477436.0,ns,240408
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,19128355.0,ns,253764
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,20153671.0,ns,267120
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,21502395.0,ns,280476
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,23140469.0,ns,293832
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,23466871.0,ns,307188
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,24464150.0,ns,320544
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,25229064.0,ns,333900
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,25995570.0,ns,347256
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,27040303.0,ns,360612
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,28066778.0,ns,373968
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,29024669.0,ns,387324
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,29999840.0,ns,400680
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,31105724.0,ns,414036
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,31900724.0,ns,427392
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,33207788.0,ns,440748
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,34428915.0,ns,454104
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,35339963.0,ns,467460
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,36283963.0,ns,480816
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,37078723.0,ns,494172
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,38004474.0,ns,507528
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,39023550.0,ns,520884
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,39874589.0,ns,534240
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,41022237.0,ns,547596
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,42129123.0,ns,560952
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,42970887.0,ns,574308
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,44180571.0,ns,587664
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,45408403.0,ns,601020
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,46014708.0,ns,614376
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,47012333.0,ns,627732
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,47919982.0,ns,641088
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,48997044.0,ns,654444
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,49886491.0,ns,667800
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,50853584.0,ns,681156
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,52251234.0,ns,694512
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,52723541.0,ns,707868
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,54293826.0,ns,721224
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,55111018.0,ns,734580
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,55998772.0,ns,747936
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,56972003.0,ns,761292
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,57825228.0,ns,774648
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,58881651.0,ns,788004
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,60120804.0,ns,801360
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,61086648.0,ns,814716
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,61992045.0,ns,828072
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,62904564.0,ns,841428
wide matrix3 return self,ultraviolet_f32x4,16,16,elements,63932006.0,ns,854784
