group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,1040125.0,ns,5609
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,1981037.0,ns,11218
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,2988884.0,ns,16827
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,3983129.0,ns,22436
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,5007618.0,ns,28045
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,6045419.0,ns,33654
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,6958764.0,ns,39263
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,8002205.0,ns,44872
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,9022502.0,ns,50481
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,9919259.0,ns,56090
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,10898231.0,ns,61699
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,11988490.0,ns,67308
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,12859125.0,ns,72917
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,13868226.0,ns,78526
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,14955568.0,ns,84135
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,15873941.0,ns,89744
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,16918049.0,ns,95353
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,17849492.0,ns,100962
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,18964778.0,ns,106571
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,19813283.0,ns,112180
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,20802409.0,ns,117789
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,21884874.0,ns,123398
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,22853665.0,ns,129007
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,23618552.0,ns,134616
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,24841368.0,ns,140225
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,25771576.0,ns,145834
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,26848602.0,ns,151443
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,27822930.0,ns,157052
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,28841589.0,ns,162661
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,29707182.0,ns,168270
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,30776053.0,ns,173879
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,31954113.0,ns,179488
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,32625557.0,ns,185097
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,33424100.0,ns,190706
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,34642865.0,ns,196315
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,35728898.0,ns,201924
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,36551274.0,ns,207533
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,38227795.0,ns,213142
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,38542997.0,ns,218751
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,39389026.0,ns,224360
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,40625539.0,ns,229969
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,41442760.0,ns,235578
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,42437065.0,ns,241187
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,43592965.0,ns,246796
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,44626574.0,ns,252405
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,45746250.0,ns,258014
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,46600655.0,ns,263623
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,47672646.0,ns,269232
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,48380321.0,ns,274841
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,49529732.0,ns,280450
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,50519134.0,ns,286059
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,51430631.0,ns,291668
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,52590271.0,ns,297277
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,53761988.0,ns,302886
wide matrix4 inverse,ultraviolet_f32x4,16,16,elements,54742879.0,ns,308495
