group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix4 mul vector4,glam_f32x1,256,256,elements,1139606.0,ns,623
wide matrix4 mul vector4,glam_f32x1,256,256,elements,2126523.0,ns,1246
wide matrix4 mul vector4,glam_f32x1,256,256,elements,3161049.0,ns,1869
wide matrix4 mul vector4,glam_f32x1,256,256,elements,4122569.0,ns,2492
wide matrix4 mul vector4,glam_f32x1,256,256,elements,5130297.0,ns,3115
wide matrix4 mul vector4,glam_f32x1,256,256,elements,7436799.0,ns,3738
wide matrix4 mul vector4,glam_f32x1,256,256,elements,7129553.0,ns,4361
wide matrix4 mul vector4,glam_f32x1,256,256,elements,8111187.0,ns,4984
wide matrix4 mul vector4,glam_f32x1,256,256,elements,9051294.0,ns,5607
wide matrix4 mul vector4,glam_f32x1,256,256,elements,10102804.0,ns,6230
wide matrix4 mul vector4,glam_f32x1,256,256,elements,11068171.0,ns,6853
wide matrix4 mul vector4,glam_f32x1,256,256,elements,12061268.0,ns,7476
wide matrix4 mul vector4,glam_f32x1,256,256,elements,13105714.0,ns,8099
wide matrix4 mul vector4,glam_f32x1,256,256,elements,14080250.0,ns,8722
wide matrix4 mul vector4,glam_f32x1,256,256,elements,15038288.0,ns,9345
wide matrix4 mul vector4,glam_f32x1,256,256,elements,16061856.0,ns,9968
wide matrix4 mul vector4,glam_f32x1,256,256,elements,17016326.0,ns,10591
wide matrix4 mul vector4,glam_f32x1,256,256,elements,17960175.0,ns,11214
wide matrix4 mul vector4,glam_f32x1,256,256,elements,18967444.0,ns,11837
wide matrix4 mul vector4,glam_f32x1,256,256,elements,19970477.0,ns,12460
wide matrix4 mul vector4,glam_f32x1,256,256,elements,21047537.0,ns,13083
wide matrix4 mul vector4,glam_f32x1,256,256,elements,22040149.0,ns,13706
wide matrix4 mul vector4,glam_f32x1,256,256,elements,22986244.0,ns,14329
wide matrix4 mul vector4,glam_f32x1,256,256,elements,23898163.0,ns,14952
wide matrix4 mul vector4,glam_f32x1,256,256,elements,25008004.0,ns,15575
wide matrix4 mul vector4,glam_f32x1,256,256,elements,25884190.0,ns,16198
wide matrix4 mul vector4,glam_f32x1,256,256,elements,26858861.0,ns,16821
wide matrix4 mul vector4,glam_f32x1,256,256,elements,27892200.0,ns,17444
wide matrix4 mul vector4,glam_f32x1,256,256,elements,28969259.0,ns,18067
wide matrix4 mul vector4,glam_f32x1,256,256,elements,29908932.0,ns,18690
wide matrix4 mul vector4,glam_f32x1,256,256,elements,30889291.0,ns,19313
wide matrix4 mul vector4,glam_f32x1,256,256,elements,31799617.0,ns,19936
wide matrix4 mul vector4,glam_f32x1,256,256,elements,32774562.0,ns,20559
wide matrix4 mul vector4,glam_f32x1,256,256,elements,33850671.0,ns,21182
wide matrix4 mul vector4,glam_f32x1,256,256,elements,34810029.0,ns,21805
wide matrix4 mul vector4,glam_f32x1,256,256,elements,35863103.0,ns,22428
wide matrix4 mul vector4,glam_f32x1,256,256,elements,36834475.0,ns,23051
wide matrix4 mul vector4,glam_f32x1,256,256,elements,37765948.0,ns,23674
wide matrix4 mul vector4,glam_f32x1,256,256,elements,38819030.0,ns,24297
wide matrix4 mul vector4,glam_f32x1,256,256,elements,39783358.0,ns,24920
wide matrix4 mul vector4,glam_f32x1,256,256,elements,40738633.0,ns,25543
wide matrix4 mul vector4,glam_f32x1,256,256,elements,41761271.0,ns,26166
wide matrix4 mul vector4,glam_f32x1,256,256,elements,42769187.0,ns,26789
wide matrix4 mul vector4,glam_f32x1,256,256,elements,43874104.0,ns,27412
wide matrix4 mul vector4,glam_f32x1,256,256,elements,44732929.0,ns,28035
wide matrix4 mul vector4,glam_f32x1,256,256,elements,45749140.0,ns,28658
wide matrix4 mul vector4,glam_f32x1,256,256,elements,46681506.0,ns,29281
wide matrix4 mul vector4,glam_f32x1,256,256,elements,48024711.0,ns,29904
wide matrix4 mul vector4,glam_f32x1,256,256,elements,48714601.0,ns,30527
wide matrix4 mul vector4,glam_f32x1,256,256,elements,49644585.0,ns,31150
wide matrix4 mul vector4,glam_f32x1,256,256,elements,50671805.0,ns,31773
wide matrix4 mul vector4,glam_f32x1,256,256,elements,51771555.0,ns,32396
wide matrix4 mul vector4,glam_f32x1,256,256,elements,52709464.0,ns,33019
wide matrix4 mul vector4,glam_f32x1,256,256,elements,53649937.0,ns,33642
wide matrix4 mul vector4,glam_f32x1,256,256,elements,54686939.0,ns,34265
wide matrix4 mul vector4,glam_f32x1,256,256,elements,55597743.0,ns,34888
wide matrix4 mul vector4,glam_f32x1,256,256,elements,56657494.0,ns,35511
wide matrix4 mul vector4,glam_f32x1,256,256,elements,57607642.0,ns,36134
wide matrix4 mul vector4,glam_f32x1,256,256,elements,58567855.0,ns,36757
wide matrix4 mul vector4,glam_f32x1,256,256,elements,59560891.0,ns,37380
wide matrix4 mul vector4,glam_f32x1,256,256,elements,60529753.0,ns,38003
wide matrix4 mul vector4,glam_f32x1,256,256,elements,61727795.0,ns,38626
wide matrix4 mul vector4,glam_f32x1,256,256,elements,62574852.0,ns,39249
wide matrix4 mul vector4,glam_f32x1,256,256,elements,63438469.0,ns,39872
wide matrix4 mul vector4,glam_f32x1,256,256,elements,67428048.0,ns,40495
wide matrix4 mul vector4,glam_f32x1,256,256,elements,66286891.0,ns,41118
wide matrix4 mul vector4,glam_f32x1,256,256,elements,66424154.0,ns,41741
wide matrix4 mul vector4,glam_f32x1,256,256,elements,67506993.0,ns,42364
wide matrix4 mul vector4,glam_f32x1,256,256,elements,68396932.0,ns,42987
wide matrix4 mul vector4,glam_f32x1,256,256,elements,69448853.0,ns,43610
wide matrix4 mul vector4,glam_f32x1,256,256,elements,70484070.0,ns,44233
wide matrix4 mul vector4,glam_f32x1,256,256,elements,71313399.0,ns,44856
wide matrix4 mul vector4,glam_f32x1,256,256,elements,72466000.0,ns,45479
wide matrix4 mul vector4,glam_f32x1,256,256,elements,73584619.0,ns,46102
wide matrix4 mul vector4,glam_f32x1,256,256,elements,74612996.0,ns,46725
wide matrix4 mul vector4,glam_f32x1,256,256,elements,75377872.0,ns,47348
wide matrix4 mul vector4,glam_f32x1,256,256,elements,76277570.0,ns,47971
